,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
61046,2010,2009-10,1610612744,Golden State Warriors,201627,Anthony Morrow,G,SG,02-25-2010,20900858,GSW,DEN,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.9,14.05,8,4,0,12
61047,2010,2009-10,1610612743,Denver Nuggets,201167,Arron Afflalo,G,SG,02-25-2010,20900858,GSW,DEN,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,2.9,27.15,22,4,0,23
61048,2010,2009-10,1610612744,Golden State Warriors,201229,Anthony Tolliver,F,PF,02-25-2010,20900858,GSW,DEN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-17.4,11.65,18,4,1,11
61050,2010,2009-10,1610612743,Denver Nuggets,2747,JR Smith,G,SG,02-25-2010,20900858,GSW,DEN,Made Shot,True,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-22.5,20.35,27,4,1,30
61051,2010,2009-10,1610612744,Golden State Warriors,201229,Anthony Tolliver,F,PF,02-25-2010,20900858,GSW,DEN,Missed Shot,False,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,6.15,1,4,1,38
61052,2010,2009-10,1610612744,Golden State Warriors,201805,Chris Hunter,C,C,02-25-2010,20900858,GSW,DEN,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-6.4,22.75,18,4,2,7
61053,2010,2009-10,1610612743,Denver Nuggets,2124,Malik Allen,F,PF,02-25-2010,20900858,GSW,DEN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-14.0,13.55,16,4,2,16
61054,2010,2009-10,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,02-25-2010,20900858,GSW,DEN,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,5.65,1,4,2,32
61055,2010,2009-10,1610612743,Denver Nuggets,2124,Malik Allen,F,PF,02-25-2010,20900858,GSW,DEN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.0,21.45,19,4,2,41
61056,2010,2009-10,1610612744,Golden State Warriors,201627,Anthony Morrow,G,SG,02-25-2010,20900858,GSW,DEN,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,6.65,1,4,3,2
61057,2010,2009-10,1610612743,Denver Nuggets,101121,Joey Graham,F,SF,02-25-2010,20900858,GSW,DEN,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.7,10.55,5,4,3,8
61058,2010,2009-10,1610612743,Denver Nuggets,1497,Chauncey Billups,G,PG,02-25-2010,20900858,GSW,DEN,Made Shot,True,Fadeaway Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-7.0,30.75,26,4,3,33
61061,2010,2009-10,1610612743,Denver Nuggets,2546,Carmelo Anthony,F,SF,02-25-2010,20900858,GSW,DEN,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-14.3,19.25,20,4,4,7
61063,2010,2009-10,1610612744,Golden State Warriors,201627,Anthony Morrow,G,SG,02-25-2010,20900858,GSW,DEN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-10.3,18.65,16,4,4,23
61067,2010,2009-10,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,02-25-2010,20900858,GSW,DEN,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-4.7,31.35,26,4,4,45
61068,2010,2009-10,1610612743,Denver Nuggets,2747,JR Smith,G,SG,02-25-2010,20900858,GSW,DEN,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.6,29.95,28,4,4,57
61069,2010,2009-10,1610612743,Denver Nuggets,2403,Nene,C,C,02-25-2010,20900858,GSW,DEN,Missed Shot,False,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,6.45,1,4,5,12
