,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
200334,2010,2009-10,1610612746,Los Angeles Clippers,200783,Craig Smith,F,PF,10-27-2009,20900004,LAL,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.1,38.15,36,4,0,0
200335,2010,2009-10,1610612747,Los Angeles Lakers,1885,Lamar Odom,F,PF,10-27-2009,20900004,LAL,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-16.3,40.35,38,4,0,0
200336,2010,2009-10,1610612746,Los Angeles Clippers,2742,Sebastian Telfair,G,PG,10-27-2009,20900004,LAL,LAC,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,18.5,5.35,18,4,0,24
200338,2010,2009-10,1610612746,Los Angeles Clippers,948,Marcus Camby,F,PF-C,10-27-2009,20900004,LAL,LAC,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,0,50
200339,2010,2009-10,1610612746,Los Angeles Clippers,2549,Chris Kaman,C,C,10-27-2009,20900004,LAL,LAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-11.3,6.75,11,4,0,50
200341,2010,2009-10,1610612746,Los Angeles Clippers,201154,Al Thornton,F,SF,10-27-2009,20900004,LAL,LAC,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-7.0,4.95,7,4,0,56
200342,2010,2009-10,1610612747,Los Angeles Lakers,101115,Andrew Bynum,C,C,10-27-2009,20900004,LAL,LAC,Made Shot,True,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,1,8
200344,2010,2009-10,1610612746,Los Angeles Clippers,201569,Eric Gordon,G,SG,10-27-2009,20900004,LAL,LAC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,1,31
200345,2010,2009-10,1610612747,Los Angeles Lakers,977,Kobe Bryant,G,SG,10-27-2009,20900004,LAL,LAC,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,1,53
200347,2010,2009-10,1610612746,Los Angeles Clippers,201154,Al Thornton,F,SF,10-27-2009,20900004,LAL,LAC,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,3.5,27.25,22,4,2,13
