,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
91083,2010,2009-10,1610612748,Miami Heat,2548,Dwyane Wade,G,SG,01-27-2010,20900665,TOR,MIA,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.9,3.35,22,4,0,6
91095,2010,2009-10,1610612761,Toronto Raptors,101120,Antoine Wright,F,SF,01-27-2010,20900665,TOR,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.3,5.05,23,4,0,15
91101,2010,2009-10,1610612748,Miami Heat,2748,Dorell Wright,F,SF,01-27-2010,20900665,TOR,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.7,26.35,24,4,0,40
91114,2010,2009-10,1610612748,Miami Heat,2548,Dwyane Wade,G,SG,01-27-2010,20900665,TOR,MIA,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,6.95,1,4,1,7
91119,2010,2009-10,1610612761,Toronto Raptors,101120,Antoine Wright,F,SF,01-27-2010,20900665,TOR,MIA,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.4,6.15,2,4,1,11
91130,2010,2009-10,1610612748,Miami Heat,2548,Dwyane Wade,G,SG,01-27-2010,20900665,TOR,MIA,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,9.8,27.45,24,4,1,33
91155,2010,2009-10,1610612748,Miami Heat,979,Jermaine O'Neal,C,C,01-27-2010,20900665,TOR,MIA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,6.35,2,4,2,0
91159,2010,2009-10,1610612761,Toronto Raptors,2547,Chris Bosh,C,C,01-27-2010,20900665,TOR,MIA,Made Shot,True,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.3,7.15,4,4,2,16
91184,2010,2009-10,1610612748,Miami Heat,1747,Rafer Alston,G,PG,01-27-2010,20900665,TOR,MIA,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.1,6.15,2,4,2,34
91187,2010,2009-10,1610612761,Toronto Raptors,101181,Jose Calderon,G,PG,01-27-2010,20900665,TOR,MIA,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.8,5.95,1,4,2,55
91193,2010,2009-10,1610612748,Miami Heat,1747,Rafer Alston,G,PG,01-27-2010,20900665,TOR,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-5.8,29.45,24,4,3,21
91201,2010,2009-10,1610612761,Toronto Raptors,2045,Hedo Turkoglu,F,SF,01-27-2010,20900665,TOR,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-7.3,29.35,25,4,3,39
91206,2010,2009-10,1610612748,Miami Heat,2548,Dwyane Wade,G,SG,01-27-2010,20900665,TOR,MIA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.3,6.65,1,4,3,59
