,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
78515,2010,2009-10,1610612751,New Jersey Nets,201584,Courtney Lee,G,SG,02-06-2010,20900744,DET,NJN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.8,25.85,24,4,0,2
78531,2010,2009-10,1610612751,New Jersey Nets,201584,Courtney Lee,G,SG,02-06-2010,20900744,DET,NJN,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,0,15
78570,2010,2009-10,1610612765,Detroit Pistons,2419,Tayshaun Prince,F,SF,02-06-2010,20900744,DET,NJN,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,0,18
78579,2010,2009-10,1610612751,New Jersey Nets,2734,Devin Harris,G,PG,02-06-2010,20900744,DET,NJN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,13.9,11.05,15,4,0,31
78585,2010,2009-10,1610612765,Detroit Pistons,201155,Rodney Stuckey,G,PG,02-06-2010,20900744,DET,NJN,Missed Shot,False,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,12.8,10.05,13,4,0,44
78605,2010,2009-10,1610612751,New Jersey Nets,2743,Kris Humphries,F,PF,02-06-2010,20900744,DET,NJN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,13.3,8.95,13,4,1,6
78615,2010,2009-10,1610612751,New Jersey Nets,2553,Jarvis Hayes,F,SF,02-06-2010,20900744,DET,NJN,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.7,7.55,23,4,1,39
78640,2010,2009-10,1610612751,New Jersey Nets,201584,Courtney Lee,G,SG,02-06-2010,20900744,DET,NJN,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.8,6.65,22,4,2,11
78645,2010,2009-10,1610612765,Detroit Pistons,101131,Jason Maxiell,C,C,02-06-2010,20900744,DET,NJN,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,2,43
78653,2010,2009-10,1610612751,New Jersey Nets,2734,Devin Harris,G,PG,02-06-2010,20900744,DET,NJN,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,2,59
78660,2010,2009-10,1610612765,Detroit Pistons,101131,Jason Maxiell,C,C,02-06-2010,20900744,DET,NJN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-12.7,11.35,14,4,3,12
78664,2010,2009-10,1610612751,New Jersey Nets,201572,Brook Lopez,C,C,02-06-2010,20900744,DET,NJN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-5.1,25.05,20,4,3,34
78670,2010,2009-10,1610612765,Detroit Pistons,101131,Jason Maxiell,C,C,02-06-2010,20900744,DET,NJN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-7.3,22.55,18,4,3,53
78678,2010,2009-10,1610612751,New Jersey Nets,2743,Kris Humphries,F,PF,02-06-2010,20900744,DET,NJN,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,4,14
78685,2010,2009-10,1610612765,Detroit Pistons,1888,Richard Hamilton,G,SG,02-06-2010,20900744,DET,NJN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,17.4,7.25,17,4,4,33
78725,2010,2009-10,1610612751,New Jersey Nets,2039,Keyon Dooling,G,PG,02-06-2010,20900744,DET,NJN,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.1,13.85,24,4,5,17
78742,2010,2009-10,1610612765,Detroit Pistons,1888,Richard Hamilton,G,SG,02-06-2010,20900744,DET,NJN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,21.7,7.45,21,4,6,13
78749,2010,2009-10,1610612751,New Jersey Nets,201944,Terrence Williams,F,SF,02-06-2010,20900744,DET,NJN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-14.3,13.25,16,4,6,21
78755,2010,2009-10,1610612765,Detroit Pistons,1888,Richard Hamilton,G,SG,02-06-2010,20900744,DET,NJN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-11.0,8.85,11,4,6,42
78768,2010,2009-10,1610612751,New Jersey Nets,2734,Devin Harris,G,PG,02-06-2010,20900744,DET,NJN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.1,29.85,27,4,7,1
78777,2010,2009-10,1610612765,Detroit Pistons,101131,Jason Maxiell,C,C,02-06-2010,20900744,DET,NJN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.8,24.15,18,4,7,26
78782,2010,2009-10,1610612751,New Jersey Nets,2039,Keyon Dooling,G,PG,02-06-2010,20900744,DET,NJN,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.3,11.95,23,4,7,48
