,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
137176,2010,2009-10,1610612751,New Jersey Nets,2039,Keyon Dooling,G,PG,12-19-2009,20900388,NJN,LAL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.2,24.45,19,4,0,11
137185,2010,2009-10,1610612747,Los Angeles Lakers,2788,DJ Mbenga,C,C,12-19-2009,20900388,NJN,LAL,Missed Shot,False,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,1.5,13.55,8,4,0,56
137197,2010,2009-10,1610612747,Los Angeles Lakers,200747,Adam Morrison,F,SF,12-19-2009,20900388,NJN,LAL,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,6.5,14.15,11,4,1,29
137200,2010,2009-10,1610612751,New Jersey Nets,2039,Keyon Dooling,G,PG,12-19-2009,20900388,NJN,LAL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,21.8,15.75,24,4,1,51
137202,2010,2009-10,1610612747,Los Angeles Lakers,200770,Jordan Farmar,G,PG,12-19-2009,20900388,NJN,LAL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,2,11
137206,2010,2009-10,1610612751,New Jersey Nets,2250,Bobby Simmons,F,PF,12-19-2009,20900388,NJN,LAL,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.4,4.15,22,4,2,33
137214,2010,2009-10,1610612751,New Jersey Nets,201584,Courtney Lee,G,SG,12-19-2009,20900388,NJN,LAL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,2,45
137220,2010,2009-10,1610612747,Los Angeles Lakers,200747,Adam Morrison,F,SF,12-19-2009,20900388,NJN,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,1.3,29.45,24,4,2,53
137246,2010,2009-10,1610612747,Los Angeles Lakers,2694,Josh Powell,F,PF,12-19-2009,20900388,NJN,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,2.3,30.45,25,4,3,26
137251,2010,2009-10,1610612751,New Jersey Nets,201572,Brook Lopez,C,C,12-19-2009,20900388,NJN,LAL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.1,6.35,8,4,3,34
137253,2010,2009-10,1610612747,Los Angeles Lakers,200769,Shannon Brown,G,SG,12-19-2009,20900388,NJN,LAL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-1.3,29.45,24,4,3,50
137264,2010,2009-10,1610612751,New Jersey Nets,201584,Courtney Lee,G,SG,12-19-2009,20900388,NJN,LAL,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,15.2,5.55,15,4,4,10
137267,2010,2009-10,1610612747,Los Angeles Lakers,2200,Pau Gasol,C,C,12-19-2009,20900388,NJN,LAL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,4,21
137304,2010,2009-10,1610612751,New Jersey Nets,200767,Josh Boone,F,PF,12-19-2009,20900388,NJN,LAL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,6.8,12.65,10,4,5,0
137306,2010,2009-10,1610612747,Los Angeles Lakers,200770,Jordan Farmar,G,PG,12-19-2009,20900388,NJN,LAL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,5,24
137319,2010,2009-10,1610612747,Los Angeles Lakers,200770,Jordan Farmar,G,PG,12-19-2009,20900388,NJN,LAL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,10.3,17.55,16,4,5,41
137327,2010,2009-10,1610612751,New Jersey Nets,201572,Brook Lopez,C,C,12-19-2009,20900388,NJN,LAL,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-2.6,13.25,8,4,5,52
137333,2010,2009-10,1610612747,Los Angeles Lakers,200769,Shannon Brown,G,SG,12-19-2009,20900388,NJN,LAL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-1.7,25.05,19,4,6,7
137347,2010,2009-10,1610612747,Los Angeles Lakers,200769,Shannon Brown,G,SG,12-19-2009,20900388,NJN,LAL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-14.4,16.85,18,4,6,44
137352,2010,2009-10,1610612751,New Jersey Nets,201604,Chris Douglas-Roberts,F,SF,12-19-2009,20900388,NJN,LAL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,6,56
