,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
187500,2010,2009-10,1610612751,New Jersey Nets,2059,Eduardo Najera,F,PF,11-06-2009,20900075,PHI,NJN,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-8.0,10.45,9,4,0,12
187555,2010,2009-10,1610612755,Philadelphia 76ers,2738,Andre Iguodala,F,SF,11-06-2009,20900075,PHI,NJN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-16.6,15.15,19,4,0,27
187560,2010,2009-10,1610612751,New Jersey Nets,1747,Rafer Alston,G,PG,11-06-2009,20900075,PHI,NJN,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,0,50
187563,2010,2009-10,1610612755,Philadelphia 76ers,2584,Willie Green,G,SG,11-06-2009,20900075,PHI,NJN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.8,28.55,26,4,1,1
187611,2010,2009-10,1610612751,New Jersey Nets,201572,Brook Lopez,C,C,11-06-2009,20900075,PHI,NJN,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,1,24
187623,2010,2009-10,1610612751,New Jersey Nets,1747,Rafer Alston,G,PG,11-06-2009,20900075,PHI,NJN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.3,25.55,26,4,1,42
187627,2010,2009-10,1610612755,Philadelphia 76ers,2738,Andre Iguodala,F,SF,11-06-2009,20900075,PHI,NJN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.6,23.15,26,4,2,2
187641,2010,2009-10,1610612755,Philadelphia 76ers,101150,Lou Williams,G,PG,11-06-2009,20900075,PHI,NJN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,3.4,23.35,18,4,2,34
187672,2010,2009-10,1610612755,Philadelphia 76ers,101150,Lou Williams,G,PG,11-06-2009,20900075,PHI,NJN,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,2.7,24.95,19,4,3,11
187676,2010,2009-10,1610612751,New Jersey Nets,1747,Rafer Alston,G,PG,11-06-2009,20900075,PHI,NJN,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,3,31
187678,2010,2009-10,1610612755,Philadelphia 76ers,101150,Lou Williams,G,PG,11-06-2009,20900075,PHI,NJN,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,3,47
187732,2010,2009-10,1610612751,New Jersey Nets,201944,Terrence Williams,F,SF,11-06-2009,20900075,PHI,NJN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,13.3,14.85,16,4,4,42
