,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
35196,2010,2009-10,1610612740,New Orleans Hornets,201954,Darren Collison,G,PG,03-17-2010,20901014,GSW,NOH,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.4,27.65,22,4,0,13
35198,2010,2009-10,1610612744,Golden State Warriors,202130,Reggie Williams,F,SF,03-17-2010,20901014,GSW,NOH,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-14.9,16.45,18,4,0,19
35200,2010,2009-10,1610612740,New Orleans Hornets,201954,Darren Collison,G,PG,03-17-2010,20901014,GSW,NOH,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.1,8.65,23,4,0,41
35219,2010,2009-10,1610612744,Golden State Warriors,201229,Anthony Tolliver,F,PF,03-17-2010,20901014,GSW,NOH,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,20.5,19.15,24,4,0,56
35227,2010,2009-10,1610612740,New Orleans Hornets,2050,Morris Peterson,G,SG,03-17-2010,20901014,GSW,NOH,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,21.0,15.75,23,4,1,26
35257,2010,2009-10,1610612744,Golden State Warriors,101145,Monta Ellis,G,SG,03-17-2010,20901014,GSW,NOH,Missed Shot,False,Driving Slam Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,6.95,1,4,1,43
35283,2010,2009-10,1610612744,Golden State Warriors,202130,Reggie Williams,F,SF,03-17-2010,20901014,GSW,NOH,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.0,17.35,25,4,2,12
35286,2010,2009-10,1610612740,New Orleans Hornets,201954,Darren Collison,G,PG,03-17-2010,20901014,GSW,NOH,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.1,25.25,25,4,2,25
35307,2010,2009-10,1610612740,New Orleans Hornets,201977,Marcus Thornton,G,SG,03-17-2010,20901014,GSW,NOH,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.7,24.45,24,4,2,43
35310,2010,2009-10,1610612744,Golden State Warriors,201627,Anthony Morrow,G,SG,03-17-2010,20901014,GSW,NOH,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.8,7.25,22,4,3,9
35318,2010,2009-10,1610612740,New Orleans Hornets,201977,Marcus Thornton,G,SG,03-17-2010,20901014,GSW,NOH,Made Shot,True,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.2,12.95,7,4,3,25
35328,2010,2009-10,1610612744,Golden State Warriors,201229,Anthony Tolliver,F,PF,03-17-2010,20901014,GSW,NOH,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-21.1,20.15,25,4,3,48
