,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
33027,2010,2009-10,1610612760,Oklahoma City Thunder,201591,DJ White,F,PF,03-19-2010,20901019,TOR,OKC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-10.0,20.95,18,4,0,32
33029,2010,2009-10,1610612761,Toronto Raptors,201603,Sonny Weems,G,SG,03-19-2010,20901019,TOR,OKC,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-14.9,7.75,15,4,0,58
33031,2010,2009-10,1610612761,Toronto Raptors,2501,Reggie Evans,F,PF,03-19-2010,20901019,TOR,OKC,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,8.55,3,4,1,1
33034,2010,2009-10,1610612761,Toronto Raptors,1725,Rasho Nesterovic,C,C,03-19-2010,20901019,TOR,OKC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,11.2,14.65,14,4,1,10
33036,2010,2009-10,1610612761,Toronto Raptors,1725,Rasho Nesterovic,C,C,03-19-2010,20901019,TOR,OKC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,9.7,20.35,17,4,1,43
33039,2010,2009-10,1610612760,Oklahoma City Thunder,201591,DJ White,F,PF,03-19-2010,20901019,TOR,OKC,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,1,50
33042,2010,2009-10,1610612760,Oklahoma City Thunder,201591,DJ White,F,PF,03-19-2010,20901019,TOR,OKC,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,1,52
33044,2010,2009-10,1610612760,Oklahoma City Thunder,2041,Etan Thomas,C,C,03-19-2010,20901019,TOR,OKC,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,7.5,12.15,10,4,1,53
33048,2010,2009-10,1610612760,Oklahoma City Thunder,201591,DJ White,F,PF,03-19-2010,20901019,TOR,OKC,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,15.3,5.55,15,4,2,28
33056,2010,2009-10,1610612760,Oklahoma City Thunder,201953,Eric Maynor,G,PG,03-19-2010,20901019,TOR,OKC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,5.85,1,4,3,9
