,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
162253,2010,2009-10,1610612753,Orlando Magic,2730,Dwight Howard,C,C,11-28-2009,20900236,MIL,ORL,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,0,3
162255,2010,2009-10,1610612753,Orlando Magic,1713,Vince Carter,G,SG,11-28-2009,20900236,MIL,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,5.7,9.65,7,4,0,6
162258,2010,2009-10,1610612749,Milwaukee Bucks,2557,Luke Ridnour,G,PG,11-28-2009,20900236,MIL,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-14.0,20.05,20,4,0,27
162261,2010,2009-10,1610612749,Milwaukee Bucks,101141,Ersan Ilyasova,F,PF,11-28-2009,20900236,MIL,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-5.9,30.15,25,4,0,31
162265,2010,2009-10,1610612753,Orlando Magic,1740,Rashard Lewis,F,PF,11-28-2009,20900236,MIL,ORL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-10.2,9.35,10,4,0,44
162269,2010,2009-10,1610612753,Orlando Magic,1713,Vince Carter,G,SG,11-28-2009,20900236,MIL,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,4.1,14.15,9,4,0,55
162281,2010,2009-10,1610612753,Orlando Magic,1715,Jason Williams,G,PG,11-28-2009,20900236,MIL,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-2.3,24.95,19,4,1,10
162284,2010,2009-10,1610612749,Milwaukee Bucks,201943,Brandon Jennings,G,PG,11-28-2009,20900236,MIL,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-7.2,19.05,15,4,1,22
162292,2010,2009-10,1610612749,Milwaukee Bucks,101141,Ersan Ilyasova,F,PF,11-28-2009,20900236,MIL,ORL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,2,2
162293,2010,2009-10,1610612749,Milwaukee Bucks,201943,Brandon Jennings,G,PG,11-28-2009,20900236,MIL,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,11.9,20.55,19,4,2,4
162297,2010,2009-10,1610612753,Orlando Magic,2730,Dwight Howard,C,C,11-28-2009,20900236,MIL,ORL,Made Shot,True,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,2,19
162301,2010,2009-10,1610612753,Orlando Magic,1713,Vince Carter,G,SG,11-28-2009,20900236,MIL,ORL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,2,21
162303,2010,2009-10,1610612749,Milwaukee Bucks,201943,Brandon Jennings,G,PG,11-28-2009,20900236,MIL,ORL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,10.1,28.35,25,4,2,40
162309,2010,2009-10,1610612753,Orlando Magic,1713,Vince Carter,G,SG,11-28-2009,20900236,MIL,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,23.1,17.95,26,4,2,52
162311,2010,2009-10,1610612749,Milwaukee Bucks,2557,Luke Ridnour,G,PG,11-28-2009,20900236,MIL,ORL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,17.2,6.35,17,4,3,2
162314,2010,2009-10,1610612753,Orlando Magic,1713,Vince Carter,G,SG,11-28-2009,20900236,MIL,ORL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.3,18.15,15,4,3,17
162320,2010,2009-10,1610612749,Milwaukee Bucks,2557,Luke Ridnour,G,PG,11-28-2009,20900236,MIL,ORL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,3,31
162328,2010,2009-10,1610612749,Milwaukee Bucks,201943,Brandon Jennings,G,PG,11-28-2009,20900236,MIL,ORL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,3,50
162342,2010,2009-10,1610612753,Orlando Magic,1740,Rashard Lewis,F,PF,11-28-2009,20900236,MIL,ORL,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,4,10
162344,2010,2009-10,1610612753,Orlando Magic,1713,Vince Carter,G,SG,11-28-2009,20900236,MIL,ORL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,4,13
162346,2010,2009-10,1610612749,Milwaukee Bucks,101141,Ersan Ilyasova,F,PF,11-28-2009,20900236,MIL,ORL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,15.7,11.85,17,4,4,24
162348,2010,2009-10,1610612749,Milwaukee Bucks,2557,Luke Ridnour,G,PG,11-28-2009,20900236,MIL,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-2.9,25.05,20,4,4,34
162353,2010,2009-10,1610612749,Milwaukee Bucks,2557,Luke Ridnour,G,PG,11-28-2009,20900236,MIL,ORL,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,5,6
162364,2010,2009-10,1610612753,Orlando Magic,200755,JJ Redick,G,SG,11-28-2009,20900236,MIL,ORL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,5,27
162367,2010,2009-10,1610612749,Milwaukee Bucks,2568,Carlos Delfino,F,SF,11-28-2009,20900236,MIL,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,13.3,19.45,19,4,5,46
