,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
147325,2010,2009-10,1610612753,Orlando Magic,1740,Rashard Lewis,F,PF,12-11-2009,20900330,PHX,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.4,6.65,23,4,0,3
147327,2010,2009-10,1610612756,Phoenix Suns,2405,Amar'e Stoudemire,F,PF,12-11-2009,20900330,PHX,ORL,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,0,6
147329,2010,2009-10,1610612756,Phoenix Suns,201162,Jared Dudley,F,SF,12-11-2009,20900330,PHX,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.5,5.65,22,4,0,9
147330,2010,2009-10,1610612753,Orlando Magic,1533,Anthony Johnson,G,PG,12-11-2009,20900330,PHX,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.7,23.05,25,4,0,56
147331,2010,2009-10,1610612756,Phoenix Suns,255,Grant Hill,F,SF,12-11-2009,20900330,PHX,ORL,Made Shot,True,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,10.5,10.45,11,4,1,9
147333,2010,2009-10,1610612753,Orlando Magic,1740,Rashard Lewis,F,PF,12-11-2009,20900330,PHX,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-14.0,5.95,14,4,1,38
147346,2010,2009-10,1610612753,Orlando Magic,2554,Mickael Pietrus,F,SF,12-11-2009,20900330,PHX,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-20.3,19.75,24,4,2,10
147351,2010,2009-10,1610612756,Phoenix Suns,2202,Jason Richardson,G,SG,12-11-2009,20900330,PHX,ORL,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,2,16
147352,2010,2009-10,1610612756,Phoenix Suns,201162,Jared Dudley,F,SF,12-11-2009,20900330,PHX,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.1,25.05,24,4,2,18
147357,2010,2009-10,1610612753,Orlando Magic,1533,Anthony Johnson,G,PG,12-11-2009,20900330,PHX,ORL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,2,35
147360,2010,2009-10,1610612756,Phoenix Suns,2202,Jason Richardson,G,SG,12-11-2009,20900330,PHX,ORL,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.9,9.65,24,4,2,56
147362,2010,2009-10,1610612753,Orlando Magic,1533,Anthony Johnson,G,PG,12-11-2009,20900330,PHX,ORL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.8,19.85,18,4,3,12
147367,2010,2009-10,1610612756,Phoenix Suns,201162,Jared Dudley,F,SF,12-11-2009,20900330,PHX,ORL,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.0,4.95,23,4,3,30
147376,2010,2009-10,1610612753,Orlando Magic,1533,Anthony Johnson,G,PG,12-11-2009,20900330,PHX,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.5,14.05,8,4,3,49
147394,2010,2009-10,1610612753,Orlando Magic,1533,Anthony Johnson,G,PG,12-11-2009,20900330,PHX,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-7.0,10.05,8,4,4,16
147401,2010,2009-10,1610612756,Phoenix Suns,255,Grant Hill,F,SF,12-11-2009,20900330,PHX,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-15.7,15.75,18,4,4,47
147417,2010,2009-10,1610612753,Orlando Magic,1533,Anthony Johnson,G,PG,12-11-2009,20900330,PHX,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,21.0,19.05,25,4,5,27
147423,2010,2009-10,1610612756,Phoenix Suns,201162,Jared Dudley,F,SF,12-11-2009,20900330,PHX,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-14.3,11.65,15,4,5,39
147427,2010,2009-10,1610612753,Orlando Magic,1740,Rashard Lewis,F,PF,12-11-2009,20900330,PHX,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,7.5,5.05,7,4,5,50
147434,2010,2009-10,1610612756,Phoenix Suns,959,Steve Nash,G,PG,12-11-2009,20900330,PHX,ORL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-5.8,29.45,24,4,6,13
147438,2010,2009-10,1610612753,Orlando Magic,1533,Anthony Johnson,G,PG,12-11-2009,20900330,PHX,ORL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,20.2,21.25,25,4,6,21
147440,2010,2009-10,1610612756,Phoenix Suns,255,Grant Hill,F,SF,12-11-2009,20900330,PHX,ORL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-14.3,4.75,14,4,6,42
147444,2010,2009-10,1610612753,Orlando Magic,2440,Matt Barnes,F,SF,12-11-2009,20900330,PHX,ORL,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,6,49
147452,2010,2009-10,1610612756,Phoenix Suns,255,Grant Hill,F,SF,12-11-2009,20900330,PHX,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-13.0,17.15,17,4,7,13
147463,2010,2009-10,1610612753,Orlando Magic,201583,Ryan Anderson,F,PF,12-11-2009,20900330,PHX,ORL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,7,31
147474,2010,2009-10,1610612753,Orlando Magic,201583,Ryan Anderson,F,PF,12-11-2009,20900330,PHX,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,14.1,16.55,18,4,7,51
147478,2010,2009-10,1610612756,Phoenix Suns,101112,Channing Frye,C,C,12-11-2009,20900330,PHX,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-4.0,29.65,24,4,8,4
147483,2010,2009-10,1610612753,Orlando Magic,1533,Anthony Johnson,G,PG,12-11-2009,20900330,PHX,ORL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,8,26
147490,2010,2009-10,1610612756,Phoenix Suns,2202,Jason Richardson,G,SG,12-11-2009,20900330,PHX,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.3,12.45,7,4,8,37
147521,2010,2009-10,1610612756,Phoenix Suns,2405,Amar'e Stoudemire,F,PF,12-11-2009,20900330,PHX,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.0,20.85,19,4,9,4
147532,2010,2009-10,1610612756,Phoenix Suns,2202,Jason Richardson,G,SG,12-11-2009,20900330,PHX,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,4.8,22.25,17,4,9,28
147537,2010,2009-10,1610612753,Orlando Magic,2554,Mickael Pietrus,F,SF,12-11-2009,20900330,PHX,ORL,Made Shot,True,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.8,11.55,6,4,9,46
147539,2010,2009-10,1610612756,Phoenix Suns,2202,Jason Richardson,G,SG,12-11-2009,20900330,PHX,ORL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,14.7,17.35,19,4,10,2
147545,2010,2009-10,1610612753,Orlando Magic,2554,Mickael Pietrus,F,SF,12-11-2009,20900330,PHX,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.9,5.35,23,4,10,19
147550,2010,2009-10,1610612753,Orlando Magic,2554,Mickael Pietrus,F,SF,12-11-2009,20900330,PHX,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,7.1,10.85,9,4,10,24
147559,2010,2009-10,1610612756,Phoenix Suns,201162,Jared Dudley,F,SF,12-11-2009,20900330,PHX,ORL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,10,48
