,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
80249,2010,2009-10,1610612755,Philadelphia 76ers,2738,Andre Iguodala,F,SF,02-05-2010,20900737,NOH,PHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.9,38.95,38,4,0,0
80254,2010,2009-10,1610612740,New Orleans Hornets,978,Peja Stojakovic,F,SF,02-05-2010,20900737,NOH,PHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,1.3,33.15,27,4,0,25
80278,2010,2009-10,1610612740,New Orleans Hornets,201954,Darren Collison,G,PG,02-05-2010,20900737,NOH,PHI,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.0,29.95,24,4,0,36
80285,2010,2009-10,1610612740,New Orleans Hornets,201954,Darren Collison,G,PG,02-05-2010,20900737,NOH,PHI,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-1.3,12.15,7,4,0,48
80321,2010,2009-10,1610612755,Philadelphia 76ers,2738,Andre Iguodala,F,SF,02-05-2010,20900737,NOH,PHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-8.1,20.15,16,4,1,23
80324,2010,2009-10,1610612740,New Orleans Hornets,2443,Darius Songaila,C,C,02-05-2010,20900737,NOH,PHI,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,1,44
80348,2010,2009-10,1610612740,New Orleans Hornets,201954,Darren Collison,G,PG,02-05-2010,20900737,NOH,PHI,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-7.8,28.85,24,4,2,30
80349,2010,2009-10,1610612755,Philadelphia 76ers,101150,Lou Williams,G,PG,02-05-2010,20900737,NOH,PHI,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,2,47
80365,2010,2009-10,1610612740,New Orleans Hornets,978,Peja Stojakovic,F,SF,02-05-2010,20900737,NOH,PHI,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-18.2,14.85,20,4,3,3
80373,2010,2009-10,1610612755,Philadelphia 76ers,2738,Andre Iguodala,F,SF,02-05-2010,20900737,NOH,PHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-16.5,5.85,16,4,3,18
