,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
162278,2010,2009-10,1610612757,Portland Trail Blazers,436,Juwan Howard,C,C,11-28-2009,20900237,UTA,POR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.0,22.05,16,4,0,12
162283,2010,2009-10,1610612762,Utah Jazz,201178,Kyrylo Fesenko,C,C,11-28-2009,20900237,UTA,POR,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,0,23
162285,2010,2009-10,1610612762,Utah Jazz,201585,Kosta Koufos,C,C,11-28-2009,20900237,UTA,POR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,3.7,22.75,17,4,0,25
162287,2010,2009-10,1610612757,Portland Trail Blazers,201967,Dante Cunningham,F,PF,11-28-2009,20900237,UTA,POR,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.1,19.05,17,4,0,45
162289,2010,2009-10,1610612757,Portland Trail Blazers,201967,Dante Cunningham,F,PF,11-28-2009,20900237,UTA,POR,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-10.5,22.75,20,4,1,9
162300,2010,2009-10,1610612757,Portland Trail Blazers,436,Juwan Howard,C,C,11-28-2009,20900237,UTA,POR,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,1,47
162302,2010,2009-10,1610612757,Portland Trail Blazers,201164,Rudy Fernandez,G,SG,11-28-2009,20900237,UTA,POR,Missed Shot,False,Running Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,0.2,19.25,14,4,1,49
162319,2010,2009-10,1610612762,Utah Jazz,101114,Deron Williams,G,PG,11-28-2009,20900237,UTA,POR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,9.3,22.75,19,4,2,28
162323,2010,2009-10,1610612757,Portland Trail Blazers,201164,Rudy Fernandez,G,SG,11-28-2009,20900237,UTA,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.5,6.65,22,4,2,52
162326,2010,2009-10,1610612762,Utah Jazz,201953,Eric Maynor,G,PG,11-28-2009,20900237,UTA,POR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.4,23.35,25,4,3,7
