,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
85089,2010,2009-10,1610612758,Sacramento Kings,2755,Kevin Martin,G,SG,02-01-2010,20900708,DEN,SAC,Missed Shot,False,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,12.8,9.75,13,5,0,2
85090,2010,2009-10,1610612743,Denver Nuggets,201167,Arron Afflalo,G,SG,02-01-2010,20900708,DEN,SAC,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,20.4,9.25,20,5,0,18
85091,2010,2009-10,1610612743,Denver Nuggets,2403,Nene,C,C,02-01-2010,20900708,DEN,SAC,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,5,1,18
85092,2010,2009-10,1610612743,Denver Nuggets,1497,Chauncey Billups,G,PG,02-01-2010,20900708,DEN,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-18.5,24.05,26,5,1,27
85093,2010,2009-10,1610612758,Sacramento Kings,201150,Spencer Hawes,C,C,02-01-2010,20900708,DEN,SAC,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.8,7.05,22,5,1,36
85094,2010,2009-10,1610612743,Denver Nuggets,1497,Chauncey Billups,G,PG,02-01-2010,20900708,DEN,SAC,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,13.1,7.75,13,5,1,58
85095,2010,2009-10,1610612743,Denver Nuggets,2747,JR Smith,G,SG,02-01-2010,20900708,DEN,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.2,24.25,24,5,2,34
85096,2010,2009-10,1610612758,Sacramento Kings,2755,Kevin Martin,G,SG,02-01-2010,20900708,DEN,SAC,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,5,2,59
85097,2010,2009-10,1610612743,Denver Nuggets,2030,Kenyon Martin,F,PF,02-01-2010,20900708,DEN,SAC,Made Shot,True,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,3.9,9.55,5,5,3,38
85098,2010,2009-10,1610612758,Sacramento Kings,2755,Kevin Martin,G,SG,02-01-2010,20900708,DEN,SAC,Missed Shot,False,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,14.6,11.25,15,5,3,54
85099,2010,2009-10,1610612743,Denver Nuggets,1497,Chauncey Billups,G,PG,02-01-2010,20900708,DEN,SAC,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-14.9,10.55,15,5,4,9
85100,2010,2009-10,1610612758,Sacramento Kings,2755,Kevin Martin,G,SG,02-01-2010,20900708,DEN,SAC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.7,21.95,24,5,4,28
85101,2010,2009-10,1610612743,Denver Nuggets,201167,Arron Afflalo,G,SG,02-01-2010,20900708,DEN,SAC,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,11.1,17.95,16,5,4,43
85102,2010,2009-10,1610612743,Denver Nuggets,1497,Chauncey Billups,G,PG,02-01-2010,20900708,DEN,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-15.2,17.15,19,5,4,47
85105,2010,2009-10,1610612758,Sacramento Kings,201150,Spencer Hawes,C,C,02-01-2010,20900708,DEN,SAC,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-16.9,15.65,19,4,0,0
85111,2010,2009-10,1610612743,Denver Nuggets,1497,Chauncey Billups,G,PG,02-01-2010,20900708,DEN,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.9,24.05,24,4,0,5
85115,2010,2009-10,1610612758,Sacramento Kings,201150,Spencer Hawes,C,C,02-01-2010,20900708,DEN,SAC,Made Shot,True,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,0,27
85117,2010,2009-10,1610612758,Sacramento Kings,201956,Omri Casspi,F,SF,02-01-2010,20900708,DEN,SAC,Missed Shot,False,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.1,10.85,5,4,0,28
