,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
65437,2010,2009-10,1610612759,San Antonio Spurs,1495,Tim Duncan,C,C,02-21-2010,20900825,DET,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-2.0,33.95,28,5,0,0
65440,2010,2009-10,1610612759,San Antonio Spurs,1495,Tim Duncan,C,C,02-21-2010,20900825,DET,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,9.8,28.85,25,5,0,6
65445,2010,2009-10,1610612759,San Antonio Spurs,686,Antonio McDyess,F,PF,02-21-2010,20900825,DET,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,14.1,7.55,14,5,0,21
65448,2010,2009-10,1610612759,San Antonio Spurs,1938,Manu Ginobili,G,SG,02-21-2010,20900825,DET,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.0,6.15,23,5,0,23
65449,2010,2009-10,1610612759,San Antonio Spurs,2427,Roger Mason Jr.,G,SG,02-21-2010,20900825,DET,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,6.2,29.85,25,5,0,32
65455,2010,2009-10,1610612765,Detroit Pistons,201155,Rodney Stuckey,G,PG,02-21-2010,20900825,DET,SAS,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,5,0,58
65457,2010,2009-10,1610612759,San Antonio Spurs,201588,George Hill,G,PG,02-21-2010,20900825,DET,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.4,27.95,25,5,1,20
65462,2010,2009-10,1610612765,Detroit Pistons,201155,Rodney Stuckey,G,PG,02-21-2010,20900825,DET,SAS,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.9,23.85,18,5,1,28
65472,2010,2009-10,1610612765,Detroit Pistons,1888,Richard Hamilton,G,SG,02-21-2010,20900825,DET,SAS,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.2,12.65,11,5,2,4
65474,2010,2009-10,1610612759,San Antonio Spurs,1495,Tim Duncan,C,C,02-21-2010,20900825,DET,SAS,Made Shot,True,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,8.2,9.75,9,5,2,25
65475,2010,2009-10,1610612765,Detroit Pistons,201155,Rodney Stuckey,G,PG,02-21-2010,20900825,DET,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-7.2,30.15,25,5,2,48
65478,2010,2009-10,1610612759,San Antonio Spurs,1938,Manu Ginobili,G,SG,02-21-2010,20900825,DET,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.2,30.65,25,5,3,13
65480,2010,2009-10,1610612765,Detroit Pistons,2419,Tayshaun Prince,F,SF,02-21-2010,20900825,DET,SAS,Made Shot,True,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,3.7,11.35,7,5,3,26
65483,2010,2009-10,1610612759,San Antonio Spurs,686,Antonio McDyess,F,PF,02-21-2010,20900825,DET,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.0,11.85,6,5,3,44
65484,2010,2009-10,1610612759,San Antonio Spurs,201588,George Hill,G,PG,02-21-2010,20900825,DET,SAS,Missed Shot,False,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,4.9,14.85,10,5,4,4
65489,2010,2009-10,1610612765,Detroit Pistons,201155,Rodney Stuckey,G,PG,02-21-2010,20900825,DET,SAS,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,5,4,23
