,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
173083,2010,2009-10,1610612759,San Antonio Spurs,2427,Roger Mason Jr.,G,SG,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-3.4,29.05,24,4,0,11
173086,2010,2009-10,1610612762,Utah Jazz,1905,Andrei Kirilenko,F,SF,11-19-2009,20900171,SAS,UTA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.7,23.95,18,4,0,21
173099,2010,2009-10,1610612759,San Antonio Spurs,686,Antonio McDyess,F,PF,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-1.2,13.25,8,4,0,45
173101,2010,2009-10,1610612762,Utah Jazz,2430,Carlos Boozer,F,PF,11-19-2009,20900171,SAS,UTA,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.8,5.65,1,4,1,8
173107,2010,2009-10,1610612762,Utah Jazz,2430,Carlos Boozer,F,PF,11-19-2009,20900171,SAS,UTA,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.4,18.95,13,4,1,40
173110,2010,2009-10,1610612762,Utah Jazz,1905,Andrei Kirilenko,F,SF,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-16.3,24.25,25,4,1,57
173117,2010,2009-10,1610612762,Utah Jazz,200758,Ronnie Brewer,G,SG,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-16.3,13.75,18,4,2,19
173119,2010,2009-10,1610612759,San Antonio Spurs,2210,Richard Jefferson,F,SF,11-19-2009,20900171,SAS,UTA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-16.3,7.55,16,4,2,36
173128,2010,2009-10,1610612759,San Antonio Spurs,201588,George Hill,G,PG,11-19-2009,20900171,SAS,UTA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.25,0,4,3,7
173133,2010,2009-10,1610612762,Utah Jazz,2430,Carlos Boozer,F,PF,11-19-2009,20900171,SAS,UTA,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,4.45,0,4,3,20
173135,2010,2009-10,1610612759,San Antonio Spurs,686,Antonio McDyess,F,PF,11-19-2009,20900171,SAS,UTA,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,5.65,0,4,3,35
173136,2010,2009-10,1610612762,Utah Jazz,2430,Carlos Boozer,F,PF,11-19-2009,20900171,SAS,UTA,Made Shot,True,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,1.1,11.85,6,4,3,58
173138,2010,2009-10,1610612762,Utah Jazz,1905,Andrei Kirilenko,F,SF,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-10.8,27.75,24,4,4,19
173142,2010,2009-10,1610612762,Utah Jazz,2430,Carlos Boozer,F,PF,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,5.65,1,4,4,55
173145,2010,2009-10,1610612762,Utah Jazz,101114,Deron Williams,G,PG,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,5.35,1,4,5,4
173146,2010,2009-10,1610612759,San Antonio Spurs,201588,George Hill,G,PG,11-19-2009,20900171,SAS,UTA,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-15.4,11.35,16,4,5,28
173151,2010,2009-10,1610612759,San Antonio Spurs,1495,Tim Duncan,C,C,11-19-2009,20900171,SAS,UTA,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.75,0,4,6,6
173154,2010,2009-10,1610612762,Utah Jazz,101114,Deron Williams,G,PG,11-19-2009,20900171,SAS,UTA,Made Shot,True,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,1.9,17.85,12,4,6,37
173157,2010,2009-10,1610612759,San Antonio Spurs,2427,Roger Mason Jr.,G,SG,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,13.6,15.35,16,4,6,45
173159,2010,2009-10,1610612762,Utah Jazz,1905,Andrei Kirilenko,F,SF,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,3.5,22.75,17,4,7,6
173160,2010,2009-10,1610612759,San Antonio Spurs,2210,Richard Jefferson,F,SF,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-7.8,21.95,18,4,7,25
173162,2010,2009-10,1610612762,Utah Jazz,200758,Ronnie Brewer,G,SG,11-19-2009,20900171,SAS,UTA,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,3.85,1,4,7,38
173165,2010,2009-10,1610612762,Utah Jazz,2430,Carlos Boozer,F,PF,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.85,0,4,7,47
173169,2010,2009-10,1610612759,San Antonio Spurs,1495,Tim Duncan,C,C,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-14.9,12.45,16,4,8,27
173170,2010,2009-10,1610612759,San Antonio Spurs,2586,Keith Bogans,F,SF,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.95,0,4,8,30
173179,2010,2009-10,1610612762,Utah Jazz,200794,Paul Millsap,F,PF,11-19-2009,20900171,SAS,UTA,Made Shot,True,Putback Slam Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.8,6.15,1,4,8,49
173180,2010,2009-10,1610612762,Utah Jazz,200758,Ronnie Brewer,G,SG,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-14.9,14.65,17,4,8,50
173186,2010,2009-10,1610612759,San Antonio Spurs,2210,Richard Jefferson,F,SF,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.3,6.35,1,4,9,14
173189,2010,2009-10,1610612762,Utah Jazz,101114,Deron Williams,G,PG,11-19-2009,20900171,SAS,UTA,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.8,4.75,0,4,9,30
173190,2010,2009-10,1610612759,San Antonio Spurs,2427,Roger Mason Jr.,G,SG,11-19-2009,20900171,SAS,UTA,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,16.0,12.45,17,4,9,43
173191,2010,2009-10,1610612762,Utah Jazz,1905,Andrei Kirilenko,F,SF,11-19-2009,20900171,SAS,UTA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,18.5,10.55,19,4,9,59
173193,2010,2009-10,1610612759,San Antonio Spurs,714,Michael Finley,F,SF,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,3.7,15.95,11,4,10,10
173198,2010,2009-10,1610612762,Utah Jazz,200794,Paul Millsap,F,PF,11-19-2009,20900171,SAS,UTA,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,5.85,1,4,10,30
173199,2010,2009-10,1610612759,San Antonio Spurs,2427,Roger Mason Jr.,G,SG,11-19-2009,20900171,SAS,UTA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-4.3,30.15,25,4,10,52
173203,2010,2009-10,1610612762,Utah Jazz,1905,Andrei Kirilenko,F,SF,11-19-2009,20900171,SAS,UTA,Made Shot,True,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-3.7,5.25,3,4,11,15
173205,2010,2009-10,1610612759,San Antonio Spurs,714,Michael Finley,F,SF,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-18.5,11.05,19,4,11,34
173211,2010,2009-10,1610612759,San Antonio Spurs,1495,Tim Duncan,C,C,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Running Jump Shot,3PT Field Goal,Above the Break 3,Back Court,BC,Back Court Shot,-0.0,46.35,41,3,0,0
173213,2010,2009-10,1610612762,Utah Jazz,101114,Deron Williams,G,PG,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.7,7.55,5,3,0,2
173214,2010,2009-10,1610612759,San Antonio Spurs,2427,Roger Mason Jr.,G,SG,11-19-2009,20900171,SAS,UTA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,16.4,4.45,16,3,0,25
173218,2010,2009-10,1610612762,Utah Jazz,200794,Paul Millsap,F,PF,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,5.55,1,3,0,36
173221,2010,2009-10,1610612759,San Antonio Spurs,714,Michael Finley,F,SF,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.4,17.65,25,3,0,59
173223,2010,2009-10,1610612762,Utah Jazz,2430,Carlos Boozer,F,PF,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.0,10.75,5,3,1,10
173224,2010,2009-10,1610612759,San Antonio Spurs,1495,Tim Duncan,C,C,11-19-2009,20900171,SAS,UTA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,11.1,16.55,15,3,1,30
173226,2010,2009-10,1610612762,Utah Jazz,202083,Wesley Matthews,G,SG,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.1,12.75,24,3,1,46
173228,2010,2009-10,1610612759,San Antonio Spurs,2427,Roger Mason Jr.,G,SG,11-19-2009,20900171,SAS,UTA,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,2.6,13.75,8,3,2,7
173233,2010,2009-10,1610612762,Utah Jazz,200794,Paul Millsap,F,PF,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,7.6,22.55,18,3,2,23
173235,2010,2009-10,1610612759,San Antonio Spurs,1495,Tim Duncan,C,C,11-19-2009,20900171,SAS,UTA,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,5.95,0,3,2,44
173237,2010,2009-10,1610612762,Utah Jazz,201953,Eric Maynor,G,PG,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,10.0,23.55,20,3,3,1
173238,2010,2009-10,1610612762,Utah Jazz,200794,Paul Millsap,F,PF,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Turnaround Bank shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,15.0,11.05,16,3,3,9
173241,2010,2009-10,1610612759,San Antonio Spurs,686,Antonio McDyess,F,PF,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-12.4,20.95,20,3,3,24
173244,2010,2009-10,1610612762,Utah Jazz,2430,Carlos Boozer,F,PF,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,6.0,12.15,9,3,3,36
173245,2010,2009-10,1610612759,San Antonio Spurs,686,Antonio McDyess,F,PF,11-19-2009,20900171,SAS,UTA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,13.4,10.45,14,3,3,52
173247,2010,2009-10,1610612762,Utah Jazz,101114,Deron Williams,G,PG,11-19-2009,20900171,SAS,UTA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,1.3,29.65,24,3,4,11
173250,2010,2009-10,1610612759,San Antonio Spurs,201588,George Hill,G,PG,11-19-2009,20900171,SAS,UTA,Made Shot,True,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.8,7.15,2,3,4,38
173251,2010,2009-10,1610612759,San Antonio Spurs,201588,George Hill,G,PG,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,5.65,1,3,4,40
173254,2010,2009-10,1610612759,San Antonio Spurs,2210,Richard Jefferson,F,SF,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-5.1,17.05,12,3,4,47
173256,2010,2009-10,1610612759,San Antonio Spurs,1495,Tim Duncan,C,C,11-19-2009,20900171,SAS,UTA,Missed Shot,False,Turnaround Bank shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,13.8,9.65,14,3,4,54
173258,2010,2009-10,1610612762,Utah Jazz,101114,Deron Williams,G,PG,11-19-2009,20900171,SAS,UTA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,5.6,29.95,25,3,5,15
173261,2010,2009-10,1610612759,San Antonio Spurs,1495,Tim Duncan,C,C,11-19-2009,20900171,SAS,UTA,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,5.85,1,3,5,30
