,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
31909,2010,2009-10,1610612761,Toronto Raptors,2547,Chris Bosh,C,C,03-20-2010,20901031,NJN,TOR,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,0,17
31913,2010,2009-10,1610612761,Toronto Raptors,101127,Jarrett Jack,G,PG,03-20-2010,20901031,NJN,TOR,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,0,20
31919,2010,2009-10,1610612751,New Jersey Nets,2553,Jarvis Hayes,F,SF,03-20-2010,20901031,NJN,TOR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.2,26.65,24,4,0,39
31924,2010,2009-10,1610612751,New Jersey Nets,201572,Brook Lopez,C,C,03-20-2010,20901031,NJN,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,11.7,18.65,17,4,0,44
31925,2010,2009-10,1610612761,Toronto Raptors,101127,Jarrett Jack,G,PG,03-20-2010,20901031,NJN,TOR,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,1,0
31929,2010,2009-10,1610612751,New Jersey Nets,2553,Jarvis Hayes,F,SF,03-20-2010,20901031,NJN,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-18.5,25.05,27,4,1,20
31933,2010,2009-10,1610612751,New Jersey Nets,201572,Brook Lopez,C,C,03-20-2010,20901031,NJN,TOR,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,12.2,10.45,13,4,1,24
31934,2010,2009-10,1610612761,Toronto Raptors,2547,Chris Bosh,C,C,03-20-2010,20901031,NJN,TOR,Made Shot,True,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,1,40
31940,2010,2009-10,1610612761,Toronto Raptors,200745,Andrea Bargnani,F,PF,03-20-2010,20901031,NJN,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,7.6,21.75,18,4,1,41
31947,2010,2009-10,1610612751,New Jersey Nets,201944,Terrence Williams,F,SF,03-20-2010,20901031,NJN,TOR,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,2,1
