,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
140946,2010,2009-10,1610612761,Toronto Raptors,200822,Pops Mensah-Bonsu,F,PF,12-16-2009,20900360,ORL,TOR,Made Shot,True,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,0,6
140951,2010,2009-10,1610612753,Orlando Magic,2440,Matt Barnes,F,SF,12-16-2009,20900360,ORL,TOR,Missed Shot,False,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,0,21
140952,2010,2009-10,1610612761,Toronto Raptors,201158,Marco Belinelli,G,SG,12-16-2009,20900360,ORL,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,15.5,17.65,19,4,0,26
140956,2010,2009-10,1610612753,Orlando Magic,101138,Brandon Bass,F,PF,12-16-2009,20900360,ORL,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,9.2,19.75,17,4,0,39
140961,2010,2009-10,1610612761,Toronto Raptors,200822,Pops Mensah-Bonsu,F,PF,12-16-2009,20900360,ORL,TOR,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,0,49
140964,2010,2009-10,1610612761,Toronto Raptors,2556,Marcus Banks,G,PG,12-16-2009,20900360,ORL,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-9.1,26.35,22,4,0,49
140971,2010,2009-10,1610612753,Orlando Magic,101162,Marcin Gortat,C,C,12-16-2009,20900360,ORL,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-7.7,21.95,18,4,1,1
140975,2010,2009-10,1610612761,Toronto Raptors,200822,Pops Mensah-Bonsu,F,PF,12-16-2009,20900360,ORL,TOR,Made Shot,True,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,1,12
140983,2010,2009-10,1610612753,Orlando Magic,200755,JJ Redick,G,SG,12-16-2009,20900360,ORL,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-10.8,20.15,18,4,1,36
140990,2010,2009-10,1610612761,Toronto Raptors,2556,Marcus Banks,G,PG,12-16-2009,20900360,ORL,TOR,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-13.2,18.75,18,4,1,47
140994,2010,2009-10,1610612753,Orlando Magic,101138,Brandon Bass,F,PF,12-16-2009,20900360,ORL,TOR,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-16.3,6.35,16,4,1,57
140998,2010,2009-10,1610612761,Toronto Raptors,2556,Marcus Banks,G,PG,12-16-2009,20900360,ORL,TOR,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,2,13
141002,2010,2009-10,1610612753,Orlando Magic,101162,Marcin Gortat,C,C,12-16-2009,20900360,ORL,TOR,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,2,27
141005,2010,2009-10,1610612761,Toronto Raptors,101161,Amir Johnson,F,PF,12-16-2009,20900360,ORL,TOR,Missed Shot,False,Hook Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-11.0,7.15,11,4,2,35
141012,2010,2009-10,1610612753,Orlando Magic,2440,Matt Barnes,F,SF,12-16-2009,20900360,ORL,TOR,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,2,56
141014,2010,2009-10,1610612753,Orlando Magic,1533,Anthony Johnson,G,PG,12-16-2009,20900360,ORL,TOR,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,4,3,6
141029,2010,2009-10,1610612761,Toronto Raptors,101120,Antoine Wright,F,SF,12-16-2009,20900360,ORL,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-6.4,8.65,7,4,3,34
141044,2010,2009-10,1610612753,Orlando Magic,1533,Anthony Johnson,G,PG,12-16-2009,20900360,ORL,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-2.0,29.95,24,4,3,51
141054,2010,2009-10,1610612753,Orlando Magic,1533,Anthony Johnson,G,PG,12-16-2009,20900360,ORL,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-5.9,29.45,24,4,4,0
141061,2010,2009-10,1610612753,Orlando Magic,101162,Marcin Gortat,C,C,12-16-2009,20900360,ORL,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,12.2,18.15,17,4,4,5
141065,2010,2009-10,1610612761,Toronto Raptors,2556,Marcus Banks,G,PG,12-16-2009,20900360,ORL,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-1.2,29.85,24,4,4,25
