,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
16020,2011,2010-11,1610612738,Boston Celtics,201175,Glen Davis,C,C,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.4,26.85,24,4,0,1
16025,2011,2010-11,1610612738,Boston Celtics,951,Ray Allen,G,SG,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.7,5.55,23,4,0,5
16034,2011,2010-11,1610612737,Atlanta Hawks,201143,Al Horford,C,C,04-01-2011,21001125,ATL,BOS,Made Shot,True,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,5.65,0,4,0,7
16038,2011,2010-11,1610612737,Atlanta Hawks,2207,Joe Johnson,G,SG,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,6.7,7.85,7,4,0,7
16085,2011,2010-11,1610612737,Atlanta Hawks,2207,Joe Johnson,G,SG,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,9.2,22.75,19,4,0,53
16095,2011,2010-11,1610612738,Boston Celtics,1718,Paul Pierce,F,SF,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.9,26.55,25,4,1,9
16112,2011,2010-11,1610612738,Boston Celtics,201175,Glen Davis,C,C,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-15.2,19.85,21,4,1,31
16120,2011,2010-11,1610612737,Atlanta Hawks,2207,Joe Johnson,G,SG,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Running Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.4,12.75,12,4,1,55
16128,2011,2010-11,1610612737,Atlanta Hawks,2585,Zaza Pachulia,C,C,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.9,17.05,16,4,2,17
16134,2011,2010-11,1610612738,Boston Celtics,951,Ray Allen,G,SG,04-01-2011,21001125,ATL,BOS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.2,23.85,25,4,2,39
16165,2011,2010-11,1610612738,Boston Celtics,1718,Paul Pierce,F,SF,04-01-2011,21001125,ATL,BOS,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.8,6.35,1,4,3,5
16176,2011,2010-11,1610612737,Atlanta Hawks,2207,Joe Johnson,G,SG,04-01-2011,21001125,ATL,BOS,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.9,12.15,23,4,3,17
16181,2011,2010-11,1610612738,Boston Celtics,708,Kevin Garnett,F,PF,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,9.5,8.55,10,4,3,32
16207,2011,2010-11,1610612738,Boston Celtics,1718,Paul Pierce,F,SF,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.2,14.55,9,4,4,0
16243,2011,2010-11,1610612737,Atlanta Hawks,2207,Joe Johnson,G,SG,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,1.8,16.75,11,4,4,18
16249,2011,2010-11,1610612738,Boston Celtics,1718,Paul Pierce,F,SF,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-18.9,6.15,18,4,4,42
16256,2011,2010-11,1610612737,Atlanta Hawks,2207,Joe Johnson,G,SG,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-20.6,12.35,21,4,4,58
16260,2011,2010-11,1610612738,Boston Celtics,1718,Paul Pierce,F,SF,04-01-2011,21001125,ATL,BOS,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,12.8,16.05,16,4,5,24
16267,2011,2010-11,1610612737,Atlanta Hawks,2037,Jamal Crawford,G,SG,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.3,7.85,23,4,5,41
16275,2011,2010-11,1610612738,Boston Celtics,201175,Glen Davis,C,C,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-16.0,18.75,20,4,5,56
16303,2011,2010-11,1610612737,Atlanta Hawks,201143,Al Horford,C,C,04-01-2011,21001125,ATL,BOS,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,5.85,1,4,6,6
16314,2011,2010-11,1610612738,Boston Celtics,201175,Glen Davis,C,C,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,11.2,11.55,12,4,6,15
16324,2011,2010-11,1610612737,Atlanta Hawks,201143,Al Horford,C,C,04-01-2011,21001125,ATL,BOS,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.1,23.05,20,4,6,38
16334,2011,2010-11,1610612738,Boston Celtics,201175,Glen Davis,C,C,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-1.5,23.35,18,4,6,49
16337,2011,2010-11,1610612737,Atlanta Hawks,2037,Jamal Crawford,G,SG,04-01-2011,21001125,ATL,BOS,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,5.85,1,4,7,6
16345,2011,2010-11,1610612737,Atlanta Hawks,2207,Joe Johnson,G,SG,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.1,23.35,24,4,7,18
16354,2011,2010-11,1610612737,Atlanta Hawks,2207,Joe Johnson,G,SG,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-10.8,25.85,23,4,7,42
16372,2011,2010-11,1610612738,Boston Celtics,200765,Rajon Rondo,G,PG,04-01-2011,21001125,ATL,BOS,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,6.15,0,4,8,39
16395,2011,2010-11,1610612737,Atlanta Hawks,2037,Jamal Crawford,G,SG,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,12.2,20.35,19,4,9,5
16398,2011,2010-11,1610612738,Boston Celtics,200765,Rajon Rondo,G,PG,04-01-2011,21001125,ATL,BOS,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,7.55,2,4,9,21
16404,2011,2010-11,1610612737,Atlanta Hawks,2585,Zaza Pachulia,C,C,04-01-2011,21001125,ATL,BOS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,5.65,0,4,9,40
16410,2011,2010-11,1610612737,Atlanta Hawks,2207,Joe Johnson,G,SG,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-15.7,10.05,16,4,9,46
16417,2011,2010-11,1610612738,Boston Celtics,200765,Rajon Rondo,G,PG,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.5,5.65,1,4,10,9
16463,2011,2010-11,1610612738,Boston Celtics,200765,Rajon Rondo,G,PG,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.9,10.45,5,4,10,39
16490,2011,2010-11,1610612737,Atlanta Hawks,2550,Kirk Hinrich,G,SG-PG,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-15.2,9.45,15,4,10,55
16519,2011,2010-11,1610612737,Atlanta Hawks,2585,Zaza Pachulia,C,C,04-01-2011,21001125,ATL,BOS,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,15.3,7.25,15,4,11,35
16537,2011,2010-11,1610612737,Atlanta Hawks,2037,Jamal Crawford,G,SG,04-01-2011,21001125,ATL,BOS,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.9,6.45,3,3,0,0
16541,2011,2010-11,1610612738,Boston Celtics,951,Ray Allen,G,SG,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.0,8.95,4,3,0,8
16566,2011,2010-11,1610612738,Boston Celtics,951,Ray Allen,G,SG,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,5.85,0,3,0,30
16572,2011,2010-11,1610612738,Boston Celtics,2753,Delonte West,G,PG,04-01-2011,21001125,ATL,BOS,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,7.6,16.05,13,3,0,50
16577,2011,2010-11,1610612737,Atlanta Hawks,2585,Zaza Pachulia,C,C,04-01-2011,21001125,ATL,BOS,Made Shot,True,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,6.35,1,3,1,6
16578,2011,2010-11,1610612737,Atlanta Hawks,201143,Al Horford,C,C,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,5.65,0,3,1,7
16583,2011,2010-11,1610612737,Atlanta Hawks,201143,Al Horford,C,C,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,6.95,2,3,1,10
16603,2011,2010-11,1610612738,Boston Celtics,2753,Delonte West,G,PG,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-12.5,17.65,17,3,1,32
16626,2011,2010-11,1610612738,Boston Celtics,951,Ray Allen,G,SG,04-01-2011,21001125,ATL,BOS,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,5.25,0,3,2,6
16640,2011,2010-11,1610612738,Boston Celtics,201145,Jeff Green,F,PF-SF,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-8.0,24.65,20,3,2,19
16650,2011,2010-11,1610612737,Atlanta Hawks,2746,Josh Smith,F,PF,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,12.3,20.65,19,3,2,38
16661,2011,2010-11,1610612738,Boston Celtics,1718,Paul Pierce,F,SF,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-18.2,6.35,18,3,2,49
16665,2011,2010-11,1610612737,Atlanta Hawks,2207,Joe Johnson,G,SG,04-01-2011,21001125,ATL,BOS,Made Shot,True,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.1,10.25,5,3,3,6
16672,2011,2010-11,1610612738,Boston Celtics,1718,Paul Pierce,F,SF,04-01-2011,21001125,ATL,BOS,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-18.4,12.45,19,3,3,29
16683,2011,2010-11,1610612737,Atlanta Hawks,101107,Marvin Williams,F,SF,04-01-2011,21001125,ATL,BOS,Made Shot,True,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,5.65,0,3,3,55
16687,2011,2010-11,1610612737,Atlanta Hawks,2207,Joe Johnson,G,SG,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.95,0,3,3,56
16694,2011,2010-11,1610612737,Atlanta Hawks,2207,Joe Johnson,G,SG,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.2,15.75,10,3,3,59
16698,2011,2010-11,1610612738,Boston Celtics,201145,Jeff Green,F,PF-SF,04-01-2011,21001125,ATL,BOS,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,17.7,9.15,18,3,4,21
16706,2011,2010-11,1610612737,Atlanta Hawks,2207,Joe Johnson,G,SG,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,15.7,11.85,17,3,4,32
16747,2011,2010-11,1610612737,Atlanta Hawks,201143,Al Horford,C,C,04-01-2011,21001125,ATL,BOS,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.85,0,3,5,1
16756,2011,2010-11,1610612738,Boston Celtics,2753,Delonte West,G,PG,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.6,6.95,23,3,5,12
16767,2011,2010-11,1610612737,Atlanta Hawks,201143,Al Horford,C,C,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-3.1,7.15,3,3,5,24
16776,2011,2010-11,1610612738,Boston Celtics,1718,Paul Pierce,F,SF,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-3.4,24.65,19,3,5,31
16783,2011,2010-11,1610612737,Atlanta Hawks,2550,Kirk Hinrich,G,SG-PG,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-24.1,10.45,24,3,5,48
16813,2011,2010-11,1610612738,Boston Celtics,200765,Rajon Rondo,G,PG,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.5,5.65,1,3,6,10
16822,2011,2010-11,1610612737,Atlanta Hawks,2207,Joe Johnson,G,SG,04-01-2011,21001125,ATL,BOS,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.9,11.65,24,3,6,23
16833,2011,2010-11,1610612738,Boston Celtics,708,Kevin Garnett,F,PF,04-01-2011,21001125,ATL,BOS,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-19.2,5.35,19,3,6,51
