,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
139089,2011,2010-11,1610612766,Charlotte Bobcats,201187,Dominic McGuire,F,SF,12-15-2010,21000372,MEM,CHA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.3,6.35,1,4,0,24
139091,2011,2010-11,1610612763,Memphis Grizzlies,201934,Hasheem Thabeet,C,C,12-15-2010,21000372,MEM,CHA,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.5,11.85,6,4,0,40
139095,2011,2010-11,1610612766,Charlotte Bobcats,201974,Derrick Brown,F,SF,12-15-2010,21000372,MEM,CHA,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,6.65,1,4,0,55
139104,2011,2010-11,1610612766,Charlotte Bobcats,200748,Tyrus Thomas,C,C,12-15-2010,21000372,MEM,CHA,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,8.1,13.85,11,4,1,13
139112,2011,2010-11,1610612766,Charlotte Bobcats,201974,Derrick Brown,F,SF,12-15-2010,21000372,MEM,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.8,17.85,17,4,1,44
139114,2011,2010-11,1610612763,Memphis Grizzlies,201970,Sam Young,F,SF,12-15-2010,21000372,MEM,CHA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-14.4,6.95,14,4,1,56
139116,2011,2010-11,1610612766,Charlotte Bobcats,201187,Dominic McGuire,F,SF,12-15-2010,21000372,MEM,CHA,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,6.45,1,4,2,18
139122,2011,2010-11,1610612763,Memphis Grizzlies,202349,Greivis Vasquez,G,PG,12-15-2010,21000372,MEM,CHA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.6,6.65,2,4,2,27
139132,2011,2010-11,1610612763,Memphis Grizzlies,202349,Greivis Vasquez,G,PG,12-15-2010,21000372,MEM,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.1,25.35,25,4,2,48
139141,2011,2010-11,1610612763,Memphis Grizzlies,201970,Sam Young,F,SF,12-15-2010,21000372,MEM,CHA,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,8.7,10.45,10,4,2,55
139147,2011,2010-11,1610612766,Charlotte Bobcats,2733,Shaun Livingston,G,PG,12-15-2010,21000372,MEM,CHA,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-7.0,10.75,8,4,3,12
139162,2011,2010-11,1610612763,Memphis Grizzlies,202333,Xavier Henry,G,SG,12-15-2010,21000372,MEM,CHA,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,2.7,9.35,4,4,3,51
139179,2011,2010-11,1610612763,Memphis Grizzlies,201970,Sam Young,F,SF,12-15-2010,21000372,MEM,CHA,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.65,0,4,4,26
139182,2011,2010-11,1610612763,Memphis Grizzlies,201970,Sam Young,F,SF,12-15-2010,21000372,MEM,CHA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-14.1,18.75,19,4,4,41
139213,2011,2010-11,1610612766,Charlotte Bobcats,200748,Tyrus Thomas,C,C,12-15-2010,21000372,MEM,CHA,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,5.4,13.75,10,4,5,21
139225,2011,2010-11,1610612763,Memphis Grizzlies,201970,Sam Young,F,SF,12-15-2010,21000372,MEM,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.3,8.25,3,4,5,36
139244,2011,2010-11,1610612763,Memphis Grizzlies,202349,Greivis Vasquez,G,PG,12-15-2010,21000372,MEM,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.7,24.95,25,4,6,1
139281,2011,2010-11,1610612763,Memphis Grizzlies,201589,Darrell Arthur,F,PF,12-15-2010,21000372,MEM,CHA,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,4.65,1,4,6,25
139287,2011,2010-11,1610612766,Charlotte Bobcats,201187,Dominic McGuire,F,SF,12-15-2010,21000372,MEM,CHA,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,1.0,9.45,4,4,6,31
139296,2011,2010-11,1610612766,Charlotte Bobcats,201974,Derrick Brown,F,SF,12-15-2010,21000372,MEM,CHA,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,5.85,0,4,6,50
139300,2011,2010-11,1610612763,Memphis Grizzlies,201564,O.J. Mayo,G,SG,12-15-2010,21000372,MEM,CHA,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,3.4,7.75,4,4,7,11
139309,2011,2010-11,1610612766,Charlotte Bobcats,2198,Kwame Brown,C,C,12-15-2010,21000372,MEM,CHA,Missed Shot,False,Running Bank shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.6,7.85,5,4,7,16
139314,2011,2010-11,1610612763,Memphis Grizzlies,201589,Darrell Arthur,F,PF,12-15-2010,21000372,MEM,CHA,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.35,0,4,7,38
139320,2011,2010-11,1610612766,Charlotte Bobcats,200748,Tyrus Thomas,C,C,12-15-2010,21000372,MEM,CHA,Made Shot,True,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,8.9,10.05,10,4,7,51
139326,2011,2010-11,1610612766,Charlotte Bobcats,2198,Kwame Brown,C,C,12-15-2010,21000372,MEM,CHA,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,2.4,10.45,5,4,8,18
139361,2011,2010-11,1610612766,Charlotte Bobcats,200748,Tyrus Thomas,C,C,12-15-2010,21000372,MEM,CHA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,2.4,22.25,17,4,8,46
139364,2011,2010-11,1610612763,Memphis Grizzlies,201564,O.J. Mayo,G,SG,12-15-2010,21000372,MEM,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-20.9,19.55,25,4,9,11
139369,2011,2010-11,1610612766,Charlotte Bobcats,200748,Tyrus Thomas,C,C,12-15-2010,21000372,MEM,CHA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-1.3,21.75,16,4,9,34
139373,2011,2010-11,1610612763,Memphis Grizzlies,200752,Rudy Gay,F,SF,12-15-2010,21000372,MEM,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.4,5.05,23,4,9,49
139379,2011,2010-11,1610612766,Charlotte Bobcats,2198,Kwame Brown,C,C,12-15-2010,21000372,MEM,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,4.5,17.95,13,4,10,3
139391,2011,2010-11,1610612763,Memphis Grizzlies,2216,Zach Randolph,F,PF,12-15-2010,21000372,MEM,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.9,16.05,16,4,10,48
139396,2011,2010-11,1610612766,Charlotte Bobcats,201974,Derrick Brown,F,SF,12-15-2010,21000372,MEM,CHA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.25,0,4,11,4
139398,2011,2010-11,1610612763,Memphis Grizzlies,2216,Zach Randolph,F,PF,12-15-2010,21000372,MEM,CHA,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,5.7,10.05,7,4,11,18
139406,2011,2010-11,1610612766,Charlotte Bobcats,201945,Gerald Henderson,G,SG,12-15-2010,21000372,MEM,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,10.5,15.65,14,4,11,29
139409,2011,2010-11,1610612763,Memphis Grizzlies,201564,O.J. Mayo,G,SG,12-15-2010,21000372,MEM,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.9,25.05,24,4,11,41
139426,2011,2010-11,1610612763,Memphis Grizzlies,201564,O.J. Mayo,G,SG,12-15-2010,21000372,MEM,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-24.1,4.25,24,3,0,5
139454,2011,2010-11,1610612766,Charlotte Bobcats,201974,Derrick Brown,F,SF,12-15-2010,21000372,MEM,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.8,6.35,3,3,0,23
139461,2011,2010-11,1610612763,Memphis Grizzlies,201589,Darrell Arthur,F,PF,12-15-2010,21000372,MEM,CHA,Made Shot,True,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-3.4,10.45,6,3,0,45
139464,2011,2010-11,1610612763,Memphis Grizzlies,201589,Darrell Arthur,F,PF,12-15-2010,21000372,MEM,CHA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,6.15,1,3,0,46
139490,2011,2010-11,1610612763,Memphis Grizzlies,201564,O.J. Mayo,G,SG,12-15-2010,21000372,MEM,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.6,6.65,22,3,1,32
139494,2011,2010-11,1610612766,Charlotte Bobcats,201571,D.J. Augustin,G,PG,12-15-2010,21000372,MEM,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.1,27.65,24,3,1,49
139498,2011,2010-11,1610612763,Memphis Grizzlies,201564,O.J. Mayo,G,SG,12-15-2010,21000372,MEM,CHA,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,5.65,1,3,2,1
139504,2011,2010-11,1610612766,Charlotte Bobcats,201945,Gerald Henderson,G,SG,12-15-2010,21000372,MEM,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-12.1,6.35,12,3,2,6
139517,2011,2010-11,1610612763,Memphis Grizzlies,201564,O.J. Mayo,G,SG,12-15-2010,21000372,MEM,CHA,Made Shot,True,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,5.35,1,3,2,26
139522,2011,2010-11,1610612763,Memphis Grizzlies,201564,O.J. Mayo,G,SG,12-15-2010,21000372,MEM,CHA,Missed Shot,False,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,4.95,0,3,2,40
139528,2011,2010-11,1610612766,Charlotte Bobcats,2198,Kwame Brown,C,C,12-15-2010,21000372,MEM,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.4,9.35,4,3,2,51
139532,2011,2010-11,1610612763,Memphis Grizzlies,200752,Rudy Gay,F,SF,12-15-2010,21000372,MEM,CHA,Made Shot,True,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.55,0,3,3,11
139542,2011,2010-11,1610612766,Charlotte Bobcats,2679,Matt Carroll,G,SG,12-15-2010,21000372,MEM,CHA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,6.35,1,3,3,15
139553,2011,2010-11,1610612763,Memphis Grizzlies,200752,Rudy Gay,F,SF,12-15-2010,21000372,MEM,CHA,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,5.25,0,3,3,37
139558,2011,2010-11,1610612766,Charlotte Bobcats,2564,Boris Diaw,F,PF,12-15-2010,21000372,MEM,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.0,25.25,25,3,4,4
139564,2011,2010-11,1610612763,Memphis Grizzlies,201144,Mike Conley,G,PG,12-15-2010,21000372,MEM,CHA,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,10.5,19.05,17,3,4,14
139592,2011,2010-11,1610612766,Charlotte Bobcats,201571,D.J. Augustin,G,PG,12-15-2010,21000372,MEM,CHA,Missed Shot,False,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.4,9.45,4,3,4,46
139612,2011,2010-11,1610612763,Memphis Grizzlies,2216,Zach Randolph,F,PF,12-15-2010,21000372,MEM,CHA,Made Shot,True,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.95,0,3,5,40
139614,2011,2010-11,1610612763,Memphis Grizzlies,2216,Zach Randolph,F,PF,12-15-2010,21000372,MEM,CHA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,7.85,2,3,5,42
139619,2011,2010-11,1610612766,Charlotte Bobcats,1536,Stephen Jackson,G,SG,12-15-2010,21000372,MEM,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.5,29.35,27,3,5,57
139628,2011,2010-11,1610612763,Memphis Grizzlies,200752,Rudy Gay,F,SF,12-15-2010,21000372,MEM,CHA,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-5.4,22.55,18,3,6,7
139630,2011,2010-11,1610612766,Charlotte Bobcats,1737,Nazr Mohammed,C,C,12-15-2010,21000372,MEM,CHA,Made Shot,True,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,5.2,8.85,6,3,6,17
139642,2011,2010-11,1610612763,Memphis Grizzlies,2216,Zach Randolph,F,PF,12-15-2010,21000372,MEM,CHA,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.7,6.45,2,3,6,33
