,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
32111,2011,2010-11,1610612766,Charlotte Bobcats,201591,DJ White,C,C-PF,03-19-2011,21001033,SAS,CHA,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,5.25,1,4,0,15
32113,2011,2010-11,1610612766,Charlotte Bobcats,201591,DJ White,C,C-PF,03-19-2011,21001033,SAS,CHA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.3,20.35,18,4,0,36
32114,2011,2010-11,1610612759,San Antonio Spurs,202341,James Anderson,F,SF,03-19-2011,21001033,SAS,CHA,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,15.3,11.65,16,4,0,44
32118,2011,2010-11,1610612766,Charlotte Bobcats,201945,Gerald Henderson,G,SG,03-19-2011,21001033,SAS,CHA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,13.9,15.95,17,4,1,8
32119,2011,2010-11,1610612759,San Antonio Spurs,202341,James Anderson,F,SF,03-19-2011,21001033,SAS,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,21.7,16.85,24,4,1,20
32122,2011,2010-11,1610612766,Charlotte Bobcats,2733,Shaun Livingston,G,PG,03-19-2011,21001033,SAS,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-5.3,23.05,18,4,1,33
32123,2011,2010-11,1610612759,San Antonio Spurs,200779,Steve Novak,F,SF,03-19-2011,21001033,SAS,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.6,12.75,23,4,1,44
32126,2011,2010-11,1610612766,Charlotte Bobcats,2733,Shaun Livingston,G,PG,03-19-2011,21001033,SAS,CHA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,10.0,14.65,13,4,2,2
32130,2011,2010-11,1610612759,San Antonio Spurs,201980,Danny Green,G,SG,03-19-2011,21001033,SAS,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,7.75,23,4,2,19
32138,2011,2010-11,1610612766,Charlotte Bobcats,201187,Dominic McGuire,F,SF,03-19-2011,21001033,SAS,CHA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,16.0,6.75,16,4,2,44
32139,2011,2010-11,1610612759,San Antonio Spurs,2210,Richard Jefferson,F,SF,03-19-2011,21001033,SAS,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.1,24.25,25,4,3,7
32141,2011,2010-11,1610612759,San Antonio Spurs,2225,Tony Parker,G,PG,03-19-2011,21001033,SAS,CHA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,7.45,2,4,3,17
32142,2011,2010-11,1610612766,Charlotte Bobcats,201591,DJ White,C,C-PF,03-19-2011,21001033,SAS,CHA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,5.55,0,4,3,24
32143,2011,2010-11,1610612759,San Antonio Spurs,201168,Tiago Splitter,C,C,03-19-2011,21001033,SAS,CHA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,7.25,2,4,3,36
32156,2011,2010-11,1610612766,Charlotte Bobcats,201187,Dominic McGuire,F,SF,03-19-2011,21001033,SAS,CHA,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,14.6,11.95,16,4,3,57
32159,2011,2010-11,1610612759,San Antonio Spurs,2210,Richard Jefferson,F,SF,03-19-2011,21001033,SAS,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.9,7.45,23,4,4,5
32164,2011,2010-11,1610612766,Charlotte Bobcats,2733,Shaun Livingston,G,PG,03-19-2011,21001033,SAS,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-12.1,5.85,12,4,4,24
32165,2011,2010-11,1610612759,San Antonio Spurs,2210,Richard Jefferson,F,SF,03-19-2011,21001033,SAS,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.1,7.45,23,4,4,37
32170,2011,2010-11,1610612766,Charlotte Bobcats,201591,DJ White,C,C-PF,03-19-2011,21001033,SAS,CHA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,5.55,1,4,5,0
32177,2011,2010-11,1610612766,Charlotte Bobcats,2733,Shaun Livingston,G,PG,03-19-2011,21001033,SAS,CHA,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-11.4,5.95,11,4,5,51
32185,2011,2010-11,1610612766,Charlotte Bobcats,200748,Tyrus Thomas,C,C,03-19-2011,21001033,SAS,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,9.5,20.05,17,4,6,19
32191,2011,2010-11,1610612766,Charlotte Bobcats,201945,Gerald Henderson,G,SG,03-19-2011,21001033,SAS,CHA,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,5.25,1,4,6,53
32196,2011,2010-11,1610612766,Charlotte Bobcats,201187,Dominic McGuire,F,SF,03-19-2011,21001033,SAS,CHA,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.85,0,4,7,22
32200,2011,2010-11,1610612766,Charlotte Bobcats,201945,Gerald Henderson,G,SG,03-19-2011,21001033,SAS,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-17.0,10.55,17,4,7,24
32204,2011,2010-11,1610612759,San Antonio Spurs,200779,Steve Novak,F,SF,03-19-2011,21001033,SAS,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-18.2,23.85,26,4,7,35
32210,2011,2010-11,1610612766,Charlotte Bobcats,201945,Gerald Henderson,G,SG,03-19-2011,21001033,SAS,CHA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-16.2,6.95,16,4,7,49
32212,2011,2010-11,1610612759,San Antonio Spurs,201971,DeJuan Blair,F,PF,03-19-2011,21001033,SAS,CHA,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,5.4,11.55,8,4,8,0
32215,2011,2010-11,1610612766,Charlotte Bobcats,2733,Shaun Livingston,G,PG,03-19-2011,21001033,SAS,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-3.2,12.75,8,4,8,20
32217,2011,2010-11,1610612759,San Antonio Spurs,202390,Gary Neal,G,SG,03-19-2011,21001033,SAS,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,10.8,27.75,24,4,8,42
32232,2011,2010-11,1610612759,San Antonio Spurs,202390,Gary Neal,G,SG,03-19-2011,21001033,SAS,CHA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.4,12.15,11,4,9,22
32238,2011,2010-11,1610612766,Charlotte Bobcats,200748,Tyrus Thomas,C,C,03-19-2011,21001033,SAS,CHA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,14.7,5.05,14,4,9,42
32240,2011,2010-11,1610612759,San Antonio Spurs,200779,Steve Novak,F,SF,03-19-2011,21001033,SAS,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.0,6.15,23,4,10,5
32242,2011,2010-11,1610612766,Charlotte Bobcats,201591,DJ White,C,C-PF,03-19-2011,21001033,SAS,CHA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,9.0,20.95,18,4,10,28
32244,2011,2010-11,1610612759,San Antonio Spurs,201588,George Hill,G,PG,03-19-2011,21001033,SAS,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-3.6,17.35,12,4,10,42
32250,2011,2010-11,1610612766,Charlotte Bobcats,201591,DJ White,C,C-PF,03-19-2011,21001033,SAS,CHA,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.75,0,4,10,58
32253,2011,2010-11,1610612766,Charlotte Bobcats,201591,DJ White,C,C-PF,03-19-2011,21001033,SAS,CHA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.3,5.05,2,4,11,0
32254,2011,2010-11,1610612759,San Antonio Spurs,202390,Gary Neal,G,SG,03-19-2011,21001033,SAS,CHA,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-2.0,24.45,19,4,11,17
32257,2011,2010-11,1610612766,Charlotte Bobcats,201591,DJ White,C,C-PF,03-19-2011,21001033,SAS,CHA,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,5.35,0,4,11,42
32268,2011,2010-11,1610612759,San Antonio Spurs,201588,George Hill,G,PG,03-19-2011,21001033,SAS,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.0,10.75,5,3,0,2
32280,2011,2010-11,1610612759,San Antonio Spurs,2588,Matt Bonner,F,PF,03-19-2011,21001033,SAS,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-20.3,19.75,24,3,0,32
32284,2011,2010-11,1610612766,Charlotte Bobcats,200748,Tyrus Thomas,C,C,03-19-2011,21001033,SAS,CHA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-1.3,22.25,17,3,0,42
32285,2011,2010-11,1610612759,San Antonio Spurs,200779,Steve Novak,F,SF,03-19-2011,21001033,SAS,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-21.8,19.55,26,3,0,53
32289,2011,2010-11,1610612759,San Antonio Spurs,200779,Steve Novak,F,SF,03-19-2011,21001033,SAS,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.6,7.25,22,3,1,16
32309,2011,2010-11,1610612759,San Antonio Spurs,2588,Matt Bonner,F,PF,03-19-2011,21001033,SAS,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.4,5.65,23,3,1,55
32325,2011,2010-11,1610612759,San Antonio Spurs,202390,Gary Neal,G,SG,03-19-2011,21001033,SAS,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.6,10.85,24,3,2,36
32329,2011,2010-11,1610612766,Charlotte Bobcats,2679,Matt Carroll,G,SG,03-19-2011,21001033,SAS,CHA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,4.6,19.75,15,3,2,55
