,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
107648,2011,2010-11,1610612741,Chicago Bulls,2736,Luol Deng,F,SF,01-12-2011,21000561,CHA,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-9.9,29.95,26,4,0,12
107679,2011,2010-11,1610612741,Chicago Bulls,2430,Carlos Boozer,C,C,01-12-2011,21000561,CHA,CHI,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.8,5.95,1,4,0,21
107698,2011,2010-11,1610612766,Charlotte Bobcats,1536,Stephen Jackson,G,SG,01-12-2011,21000561,CHA,CHI,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-12.4,8.35,12,4,0,34
107712,2011,2010-11,1610612741,Chicago Bulls,201565,Derrick Rose,G,PG,01-12-2011,21000561,CHA,CHI,Missed Shot,False,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,7.15,1,4,0,59
107715,2011,2010-11,1610612766,Charlotte Bobcats,200748,Tyrus Thomas,C,C,01-12-2011,21000561,CHA,CHI,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,5.65,1,4,1,14
107721,2011,2010-11,1610612741,Chicago Bulls,2430,Carlos Boozer,C,C,01-12-2011,21000561,CHA,CHI,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,5.65,0,4,1,32
107728,2011,2010-11,1610612766,Charlotte Bobcats,200748,Tyrus Thomas,C,C,01-12-2011,21000561,CHA,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-5.4,22.05,17,4,1,41
107736,2011,2010-11,1610612741,Chicago Bulls,201565,Derrick Rose,G,PG,01-12-2011,21000561,CHA,CHI,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.4,6.65,5,4,2,1
107743,2011,2010-11,1610612766,Charlotte Bobcats,1536,Stephen Jackson,G,SG,01-12-2011,21000561,CHA,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.8,27.75,29,4,2,15
107752,2011,2010-11,1610612741,Chicago Bulls,201565,Derrick Rose,G,PG,01-12-2011,21000561,CHA,CHI,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.1,6.35,2,4,2,38
107765,2011,2010-11,1610612766,Charlotte Bobcats,201571,D.J. Augustin,G,PG,01-12-2011,21000561,CHA,CHI,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.3,6.35,1,4,2,46
107771,2011,2010-11,1610612741,Chicago Bulls,2430,Carlos Boozer,C,C,01-12-2011,21000561,CHA,CHI,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,6.95,1,4,2,58
107783,2011,2010-11,1610612766,Charlotte Bobcats,1536,Stephen Jackson,G,SG,01-12-2011,21000561,CHA,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.8,20.55,19,4,3,13
107788,2011,2010-11,1610612741,Chicago Bulls,2430,Carlos Boozer,C,C,01-12-2011,21000561,CHA,CHI,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.1,5.95,2,4,3,33
107801,2011,2010-11,1610612741,Chicago Bulls,201565,Derrick Rose,G,PG,01-12-2011,21000561,CHA,CHI,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,5.35,1,4,3,50
107820,2011,2010-11,1610612766,Charlotte Bobcats,200748,Tyrus Thomas,C,C,01-12-2011,21000561,CHA,CHI,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.4,6.35,2,4,4,1
107832,2011,2010-11,1610612741,Chicago Bulls,703,Kurt Thomas,F,PF,01-12-2011,21000561,CHA,CHI,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.6,5.85,2,4,4,22
107838,2011,2010-11,1610612766,Charlotte Bobcats,1536,Stephen Jackson,G,SG,01-12-2011,21000561,CHA,CHI,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.1,5.55,2,4,4,40
107845,2011,2010-11,1610612741,Chicago Bulls,201565,Derrick Rose,G,PG,01-12-2011,21000561,CHA,CHI,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,5.95,0,4,5,2
107847,2011,2010-11,1610612766,Charlotte Bobcats,1536,Stephen Jackson,G,SG,01-12-2011,21000561,CHA,CHI,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-15.5,10.45,16,4,5,19
107865,2011,2010-11,1610612766,Charlotte Bobcats,2564,Boris Diaw,F,PF,01-12-2011,21000561,CHA,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.9,26.65,26,4,5,49
107874,2011,2010-11,1610612741,Chicago Bulls,703,Kurt Thomas,F,PF,01-12-2011,21000561,CHA,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,4.8,20.95,16,4,5,56
107910,2011,2010-11,1610612741,Chicago Bulls,2430,Carlos Boozer,C,C,01-12-2011,21000561,CHA,CHI,Missed Shot,False,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,6.75,1,4,6,21
107913,2011,2010-11,1610612766,Charlotte Bobcats,2564,Boris Diaw,F,PF,01-12-2011,21000561,CHA,CHI,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,5.55,1,4,6,45
107926,2011,2010-11,1610612766,Charlotte Bobcats,2222,Gerald Wallace,F,SF-PF,01-12-2011,21000561,CHA,CHI,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,5.95,0,4,7,11
107931,2011,2010-11,1610612741,Chicago Bulls,2430,Carlos Boozer,C,C,01-12-2011,21000561,CHA,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.0,6.15,4,4,7,21
107960,2011,2010-11,1610612741,Chicago Bulls,2594,Kyle Korver,G,SG,01-12-2011,21000561,CHA,CHI,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.1,30.65,29,4,8,6
107969,2011,2010-11,1610612766,Charlotte Bobcats,2564,Boris Diaw,F,PF,01-12-2011,21000561,CHA,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,6.7,28.75,24,4,8,25
107977,2011,2010-11,1610612766,Charlotte Bobcats,2733,Shaun Livingston,G,PG,01-12-2011,21000561,CHA,CHI,Missed Shot,False,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-6.2,8.95,7,4,9,3
107985,2011,2010-11,1610612741,Chicago Bulls,2430,Carlos Boozer,C,C,01-12-2011,21000561,CHA,CHI,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,12.8,12.75,14,4,8,45
108001,2011,2010-11,1610612766,Charlotte Bobcats,2733,Shaun Livingston,G,PG,01-12-2011,21000561,CHA,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.7,6.65,4,4,9,13
108007,2011,2010-11,1610612741,Chicago Bulls,2594,Kyle Korver,G,SG,01-12-2011,21000561,CHA,CHI,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,12.2,26.65,24,4,9,30
108013,2011,2010-11,1610612766,Charlotte Bobcats,200748,Tyrus Thomas,C,C,01-12-2011,21000561,CHA,CHI,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-5.3,21.25,16,4,9,51
108023,2011,2010-11,1610612766,Charlotte Bobcats,2222,Gerald Wallace,F,SF-PF,01-12-2011,21000561,CHA,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,3.5,21.95,17,4,10,5
108026,2011,2010-11,1610612741,Chicago Bulls,703,Kurt Thomas,F,PF,01-12-2011,21000561,CHA,CHI,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,6.75,1,4,10,29
108048,2011,2010-11,1610612741,Chicago Bulls,201228,C.J. Watson,G,PG,01-12-2011,21000561,CHA,CHI,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,6.15,0,4,10,52
108052,2011,2010-11,1610612741,Chicago Bulls,201228,C.J. Watson,G,PG,01-12-2011,21000561,CHA,CHI,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,6.75,1,4,10,54
108065,2011,2010-11,1610612741,Chicago Bulls,201228,C.J. Watson,G,PG,01-12-2011,21000561,CHA,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-8.8,28.55,24,4,11,12
108075,2011,2010-11,1610612766,Charlotte Bobcats,2733,Shaun Livingston,G,PG,01-12-2011,21000561,CHA,CHI,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,12.0,15.15,15,4,11,41
108090,2011,2010-11,1610612741,Chicago Bulls,201565,Derrick Rose,G,PG,01-12-2011,21000561,CHA,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-21.2,40.85,41,3,0,1
108094,2011,2010-11,1610612766,Charlotte Bobcats,1536,Stephen Jackson,G,SG,01-12-2011,21000561,CHA,CHI,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-13.8,11.25,15,3,0,3
108097,2011,2010-11,1610612741,Chicago Bulls,200758,Ronnie Brewer,G,SG,01-12-2011,21000561,CHA,CHI,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.4,5.25,2,3,0,27
108109,2011,2010-11,1610612766,Charlotte Bobcats,1536,Stephen Jackson,G,SG,01-12-2011,21000561,CHA,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-3.7,21.65,16,3,0,48
108112,2011,2010-11,1610612741,Chicago Bulls,2736,Luol Deng,F,SF,01-12-2011,21000561,CHA,CHI,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,5.85,0,3,1,4
108126,2011,2010-11,1610612766,Charlotte Bobcats,2679,Matt Carroll,G,SG,01-12-2011,21000561,CHA,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.8,6.75,22,3,1,45
108159,2011,2010-11,1610612766,Charlotte Bobcats,200748,Tyrus Thomas,C,C,01-12-2011,21000561,CHA,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,15.5,12.45,17,3,2,19
108198,2011,2010-11,1610612766,Charlotte Bobcats,201571,D.J. Augustin,G,PG,01-12-2011,21000561,CHA,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.6,20.55,19,3,2,45
108203,2011,2010-11,1610612741,Chicago Bulls,2736,Luol Deng,F,SF,01-12-2011,21000561,CHA,CHI,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,6.15,2,3,2,59
108209,2011,2010-11,1610612766,Charlotte Bobcats,201571,D.J. Augustin,G,PG,01-12-2011,21000561,CHA,CHI,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,4.5,22.05,17,3,3,21
108228,2011,2010-11,1610612741,Chicago Bulls,2736,Luol Deng,F,SF,01-12-2011,21000561,CHA,CHI,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,5.55,0,3,3,40
108243,2011,2010-11,1610612766,Charlotte Bobcats,1536,Stephen Jackson,G,SG,01-12-2011,21000561,CHA,CHI,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.8,5.65,0,3,4,2
