,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
123193,2011,2010-11,1610612742,Dallas Mavericks,200779,Steve Novak,F,SF,12-30-2010,21000474,DAL,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.6,29.05,29,4,0,2
123194,2011,2010-11,1610612742,Dallas Mavericks,1891,Jason Terry,G,SG,12-30-2010,21000474,DAL,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-6.9,28.25,24,4,0,10
123197,2011,2010-11,1610612742,Dallas Mavericks,2406,Caron Butler,F,SF,12-30-2010,21000474,DAL,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.5,10.85,23,4,0,15
123200,2011,2010-11,1610612742,Dallas Mavericks,1891,Jason Terry,G,SG,12-30-2010,21000474,DAL,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.4,24.15,24,4,0,22
123201,2011,2010-11,1610612742,Dallas Mavericks,467,Jason Kidd,G,PG,12-30-2010,21000474,DAL,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-21.8,11.85,22,4,0,26
123210,2011,2010-11,1610612742,Dallas Mavericks,1891,Jason Terry,G,SG,12-30-2010,21000474,DAL,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,8.2,28.05,24,4,0,40
123215,2011,2010-11,1610612742,Dallas Mavericks,2406,Caron Butler,F,SF,12-30-2010,21000474,DAL,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,10.9,18.45,17,4,0,51
123216,2011,2010-11,1610612759,San Antonio Spurs,201588,George Hill,G,PG,12-30-2010,21000474,DAL,SAS,Made Shot,True,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.8,6.45,5,4,0,59
123219,2011,2010-11,1610612742,Dallas Mavericks,1891,Jason Terry,G,SG,12-30-2010,21000474,DAL,SAS,Missed Shot,False,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-17.4,5.05,17,4,1,43
123231,2011,2010-11,1610612742,Dallas Mavericks,2406,Caron Butler,F,SF,12-30-2010,21000474,DAL,SAS,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,5.55,0,4,2,48
123237,2011,2010-11,1610612759,San Antonio Spurs,202390,Gary Neal,G,SG,12-30-2010,21000474,DAL,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.9,24.25,24,4,3,34
123240,2011,2010-11,1610612759,San Antonio Spurs,2225,Tony Parker,G,PG,12-30-2010,21000474,DAL,SAS,Missed Shot,False,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-14.0,16.05,17,4,4,12
123243,2011,2010-11,1610612742,Dallas Mavericks,2199,Tyson Chandler,C,C,12-30-2010,21000474,DAL,SAS,Made Shot,True,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,5.55,1,4,4,32
123245,2011,2010-11,1610612759,San Antonio Spurs,202390,Gary Neal,G,SG,12-30-2010,21000474,DAL,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,10.5,27.95,25,4,4,38
123247,2011,2010-11,1610612759,San Antonio Spurs,1938,Manu Ginobili,G,SG,12-30-2010,21000474,DAL,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-9.1,20.95,18,4,5,6
123252,2011,2010-11,1610612742,Dallas Mavericks,2406,Caron Butler,F,SF,12-30-2010,21000474,DAL,SAS,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-13.8,7.25,13,4,5,26
123254,2011,2010-11,1610612759,San Antonio Spurs,2210,Richard Jefferson,F,SF,12-30-2010,21000474,DAL,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.0,5.65,23,4,5,43
123256,2011,2010-11,1610612742,Dallas Mavericks,2406,Caron Butler,F,SF,12-30-2010,21000474,DAL,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,16.3,6.65,16,4,5,57
123258,2011,2010-11,1610612742,Dallas Mavericks,467,Jason Kidd,G,PG,12-30-2010,21000474,DAL,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,7.9,28.25,24,4,6,29
123264,2011,2010-11,1610612742,Dallas Mavericks,201582,Alexis Ajinca,C,C,12-30-2010,21000474,DAL,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,16.1,8.05,16,4,6,54
123266,2011,2010-11,1610612759,San Antonio Spurs,2210,Richard Jefferson,F,SF,12-30-2010,21000474,DAL,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.4,5.95,22,4,7,11
123267,2011,2010-11,1610612742,Dallas Mavericks,2073,Brian Cardinal,F,SF,12-30-2010,21000474,DAL,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.8,19.55,24,4,7,26
123268,2011,2010-11,1610612759,San Antonio Spurs,202390,Gary Neal,G,SG,12-30-2010,21000474,DAL,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.2,20.15,24,4,7,44
123278,2011,2010-11,1610612742,Dallas Mavericks,201582,Alexis Ajinca,C,C,12-30-2010,21000474,DAL,SAS,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.0,5.85,2,4,8,1
123280,2011,2010-11,1610612759,San Antonio Spurs,202390,Gary Neal,G,SG,12-30-2010,21000474,DAL,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.1,5.25,22,4,8,14
123281,2011,2010-11,1610612742,Dallas Mavericks,1891,Jason Terry,G,SG,12-30-2010,21000474,DAL,SAS,Missed Shot,False,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-7.7,10.55,9,4,8,30
123282,2011,2010-11,1610612759,San Antonio Spurs,1938,Manu Ginobili,G,SG,12-30-2010,21000474,DAL,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.8,5.25,22,4,8,54
123289,2011,2010-11,1610612759,San Antonio Spurs,1938,Manu Ginobili,G,SG,12-30-2010,21000474,DAL,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.3,20.85,24,4,9,10
