,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
43190,2011,2010-11,1610612743,Denver Nuggets,202389,Timofey Mozgov,C,C,03-10-2011,21000966,PHX,DEN,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.4,5.05,2,4,0,15
43191,2011,2010-11,1610612756,Phoenix Suns,202220,Zabian Dowdell,G,PG,03-10-2011,21000966,PHX,DEN,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.1,5.95,2,4,0,20
43193,2011,2010-11,1610612743,Denver Nuggets,202389,Timofey Mozgov,C,C,03-10-2011,21000966,PHX,DEN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-18.1,5.85,18,4,0,29
43194,2011,2010-11,1610612756,Phoenix Suns,2735,Josh Childress,G,SG,03-10-2011,21000966,PHX,DEN,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-1.0,9.45,4,4,0,49
43195,2011,2010-11,1610612756,Phoenix Suns,202220,Zabian Dowdell,G,PG,03-10-2011,21000966,PHX,DEN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,15.7,4.95,15,4,1,1
43197,2011,2010-11,1610612743,Denver Nuggets,201951,Ty Lawson,G,PG,03-10-2011,21000966,PHX,DEN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-18.7,21.75,24,4,1,11
43199,2011,2010-11,1610612756,Phoenix Suns,202081,Garret Siler,C,C,03-10-2011,21000966,PHX,DEN,Made Shot,True,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.8,6.15,4,4,1,31
43203,2011,2010-11,1610612756,Phoenix Suns,202220,Zabian Dowdell,G,PG,03-10-2011,21000966,PHX,DEN,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-17.6,5.55,17,4,1,33
43205,2011,2010-11,1610612743,Denver Nuggets,201585,Kosta Koufos,C,C,03-10-2011,21000966,PHX,DEN,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,5.25,0,4,1,43
43206,2011,2010-11,1610612756,Phoenix Suns,201577,Robin Lopez,C,C,03-10-2011,21000966,PHX,DEN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-2.4,20.35,15,4,1,48
43209,2011,2010-11,1610612756,Phoenix Suns,202081,Garret Siler,C,C,03-10-2011,21000966,PHX,DEN,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-3.9,5.85,3,4,2,11
43211,2011,2010-11,1610612743,Denver Nuggets,201585,Kosta Koufos,C,C,03-10-2011,21000966,PHX,DEN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-14.1,12.95,16,4,2,22
43213,2011,2010-11,1610612756,Phoenix Suns,202220,Zabian Dowdell,G,PG,03-10-2011,21000966,PHX,DEN,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,5.9,16.25,12,4,2,52
43216,2011,2010-11,1610612756,Phoenix Suns,201577,Robin Lopez,C,C,03-10-2011,21000966,PHX,DEN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-5.0,25.55,20,4,3,10
