,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
151240,2011,2010-11,1610612765,Detroit Pistons,1888,Richard Hamilton,G,SG,12-05-2010,21000296,DET,CLE,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,15.0,3.35,15,4,0,53
151247,2011,2010-11,1610612739,Cleveland Cavaliers,200789,Daniel Gibson,G,SG,12-05-2010,21000296,DET,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,10.9,29.35,26,4,0,1
151251,2011,2010-11,1610612765,Detroit Pistons,201948,Austin Daye,F,SF,12-05-2010,21000296,DET,CLE,Missed Shot,False,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.55,0,4,0,4
151256,2011,2010-11,1610612765,Detroit Pistons,202328,Greg Monroe,C,C,12-05-2010,21000296,DET,CLE,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.55,0,4,0,5
151268,2011,2010-11,1610612739,Cleveland Cavaliers,200789,Daniel Gibson,G,SG,12-05-2010,21000296,DET,CLE,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.4,6.45,23,4,0,35
151273,2011,2010-11,1610612739,Cleveland Cavaliers,2590,Mo Williams,G,PG,12-05-2010,21000296,DET,CLE,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,11.7,20.85,19,4,0,39
151283,2011,2010-11,1610612765,Detroit Pistons,101111,Charlie Villanueva,F,PF,12-05-2010,21000296,DET,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,13.85,24,4,0,57
151294,2011,2010-11,1610612739,Cleveland Cavaliers,2590,Mo Williams,G,PG,12-05-2010,21000296,DET,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.6,28.35,25,4,1,17
151296,2011,2010-11,1610612765,Detroit Pistons,202328,Greg Monroe,C,C,12-05-2010,21000296,DET,CLE,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.35,0,4,1,33
151297,2011,2010-11,1610612739,Cleveland Cavaliers,2760,Anderson Varejao,C,C,12-05-2010,21000296,DET,CLE,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.25,0,4,1,50
151311,2011,2010-11,1610612739,Cleveland Cavaliers,2590,Mo Williams,G,PG,12-05-2010,21000296,DET,CLE,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,5.35,0,4,2,11
151313,2011,2010-11,1610612765,Detroit Pistons,201155,Rodney Stuckey,G,PG,12-05-2010,21000296,DET,CLE,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.3,5.35,0,4,2,26
151317,2011,2010-11,1610612739,Cleveland Cavaliers,200789,Daniel Gibson,G,SG,12-05-2010,21000296,DET,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.7,30.45,27,4,2,38
151321,2011,2010-11,1610612765,Detroit Pistons,101111,Charlie Villanueva,F,PF,12-05-2010,21000296,DET,CLE,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,5.55,0,4,2,46
151328,2011,2010-11,1610612739,Cleveland Cavaliers,1515,Anthony Parker,F,SF,12-05-2010,21000296,DET,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.9,27.45,26,4,3,3
151334,2011,2010-11,1610612765,Detroit Pistons,2419,Tayshaun Prince,F,SF,12-05-2010,21000296,DET,CLE,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,5.05,0,4,3,13
151338,2011,2010-11,1610612739,Cleveland Cavaliers,2760,Anderson Varejao,C,C,12-05-2010,21000296,DET,CLE,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.95,0,4,3,32
151348,2011,2010-11,1610612739,Cleveland Cavaliers,1712,Antawn Jamison,F,PF,12-05-2010,21000296,DET,CLE,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.8,5.25,0,4,3,35
151351,2011,2010-11,1610612765,Detroit Pistons,1888,Richard Hamilton,G,SG,12-05-2010,21000296,DET,CLE,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.4,7.55,23,4,3,47
151357,2011,2010-11,1610612765,Detroit Pistons,2419,Tayshaun Prince,F,SF,12-05-2010,21000296,DET,CLE,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,12.7,5.35,12,4,4,1
151362,2011,2010-11,1610612765,Detroit Pistons,101111,Charlie Villanueva,F,PF,12-05-2010,21000296,DET,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.6,9.15,22,4,4,23
151397,2011,2010-11,1610612739,Cleveland Cavaliers,2590,Mo Williams,G,PG,12-05-2010,21000296,DET,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,8.95,23,4,5,10
151400,2011,2010-11,1610612739,Cleveland Cavaliers,2590,Mo Williams,G,PG,12-05-2010,21000296,DET,CLE,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,14.2,10.25,15,4,5,14
151404,2011,2010-11,1610612765,Detroit Pistons,2419,Tayshaun Prince,F,SF,12-05-2010,21000296,DET,CLE,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,18.8,7.85,18,4,5,25
151406,2011,2010-11,1610612739,Cleveland Cavaliers,1515,Anthony Parker,F,SF,12-05-2010,21000296,DET,CLE,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-23.0,17.15,25,4,5,53
151410,2011,2010-11,1610612765,Detroit Pistons,1888,Richard Hamilton,G,SG,12-05-2010,21000296,DET,CLE,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,17.5,7.75,17,4,6,7
