,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
199264,2011,2010-11,1610612745,Houston Rockets,201166,Aaron Brooks,G,PG,10-26-2010,21000003,LAL,HOU,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.3,8.65,3,4,0,0
199265,2011,2010-11,1610612745,Houston Rockets,2449,Luis Scola,F,PF,10-26-2010,21000003,LAL,HOU,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.1,7.25,2,4,0,2
199266,2011,2010-11,1610612747,Los Angeles Lakers,2581,Steve Blake,G,PG,10-26-2010,21000003,LAL,HOU,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-8.0,30.75,26,4,0,18
199267,2011,2010-11,1610612745,Houston Rockets,2449,Luis Scola,F,PF,10-26-2010,21000003,LAL,HOU,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.3,7.75,2,4,0,29
199268,2011,2010-11,1610612747,Los Angeles Lakers,2200,Pau Gasol,C,C,10-26-2010,21000003,LAL,HOU,Made Shot,True,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-2.3,17.65,12,4,0,39
199269,2011,2010-11,1610612747,Los Angeles Lakers,2200,Pau Gasol,C,C,10-26-2010,21000003,LAL,HOU,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-7.3,6.45,7,4,0,53
199270,2011,2010-11,1610612745,Houston Rockets,201166,Aaron Brooks,G,PG,10-26-2010,21000003,LAL,HOU,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,7.75,2,4,1,7
199271,2011,2010-11,1610612747,Los Angeles Lakers,977,Kobe Bryant,G,SG,10-26-2010,21000003,LAL,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-7.8,29.65,25,4,1,16
199272,2011,2010-11,1610612745,Houston Rockets,2449,Luis Scola,F,PF,10-26-2010,21000003,LAL,HOU,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,7.55,2,4,1,33
199273,2011,2010-11,1610612745,Houston Rockets,1802,Brad Miller,C,C,10-26-2010,21000003,LAL,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.7,5.35,23,4,1,34
199274,2011,2010-11,1610612747,Los Angeles Lakers,977,Kobe Bryant,G,SG,10-26-2010,21000003,LAL,HOU,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,7.55,2,4,1,45
199275,2011,2010-11,1610612745,Houston Rockets,2449,Luis Scola,F,PF,10-26-2010,21000003,LAL,HOU,Made Shot,True,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,8.35,3,4,1,58
199276,2011,2010-11,1610612747,Los Angeles Lakers,200769,Shannon Brown,G,SG,10-26-2010,21000003,LAL,HOU,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,5.9,16.85,13,4,2,14
199277,2011,2010-11,1610612745,Houston Rockets,2755,Kevin Martin,G,SG,10-26-2010,21000003,LAL,HOU,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,9.8,32.35,28,4,2,38
199278,2011,2010-11,1610612745,Houston Rockets,2449,Luis Scola,F,PF,10-26-2010,21000003,LAL,HOU,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,12.8,7.15,12,4,2,56
199279,2011,2010-11,1610612747,Los Angeles Lakers,1885,Lamar Odom,F,PF,10-26-2010,21000003,LAL,HOU,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,7.85,2,4,3,26
199280,2011,2010-11,1610612745,Houston Rockets,2449,Luis Scola,F,PF,10-26-2010,21000003,LAL,HOU,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,7.15,2,4,3,34
199281,2011,2010-11,1610612745,Houston Rockets,2755,Kevin Martin,G,SG,10-26-2010,21000003,LAL,HOU,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-1.8,11.85,6,4,3,37
199282,2011,2010-11,1610612745,Houston Rockets,1802,Brad Miller,C,C,10-26-2010,21000003,LAL,HOU,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,5.25,0,4,4,4
