,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
141994,2011,2010-11,1610612754,Indiana Pacers,1899,James Posey,F,SF,12-13-2010,21000356,CHI,IND,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.4,5.95,23,4,0,12
141995,2011,2010-11,1610612741,Chicago Bulls,2736,Luol Deng,F,SF,12-13-2010,21000356,CHI,IND,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-10.8,28.55,25,4,0,23
141996,2011,2010-11,1610612754,Indiana Pacers,201575,Brandon Rush,G,SG,12-13-2010,21000356,CHI,IND,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-17.0,5.65,17,4,0,39
142001,2011,2010-11,1610612741,Chicago Bulls,2736,Luol Deng,F,SF,12-13-2010,21000356,CHI,IND,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-8.8,19.85,17,4,0,50
142005,2011,2010-11,1610612754,Indiana Pacers,2551,T.J. Ford,G,PG,12-13-2010,21000356,CHI,IND,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,3.7,23.65,18,4,1,10
142010,2011,2010-11,1610612741,Chicago Bulls,2430,Carlos Boozer,C,C,12-13-2010,21000356,CHI,IND,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,3.7,17.65,12,4,1,31
142014,2011,2010-11,1610612754,Indiana Pacers,2399,Mike Dunleavy,G,SG,12-13-2010,21000356,CHI,IND,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-1.0,27.15,21,4,1,46
142028,2011,2010-11,1610612741,Chicago Bulls,201565,Derrick Rose,G,PG,12-13-2010,21000356,CHI,IND,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,6.45,1,4,2,17
142029,2011,2010-11,1610612741,Chicago Bulls,2430,Carlos Boozer,C,C,12-13-2010,21000356,CHI,IND,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,6.95,1,4,2,18
142031,2011,2010-11,1610612754,Indiana Pacers,2399,Mike Dunleavy,G,SG,12-13-2010,21000356,CHI,IND,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,6.75,1,4,2,37
