,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
151180,2011,2010-11,1610612746,Los Angeles Clippers,1884,Baron Davis,G,PG,12-05-2010,21000301,POR,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.6,11.95,23,4,0,1
151181,2011,2010-11,1610612746,Los Angeles Clippers,1884,Baron Davis,G,PG,12-05-2010,21000301,POR,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.5,10.85,23,4,0,12
151189,2011,2010-11,1610612746,Los Angeles Clippers,2446,Rasual Butler,G,SG,12-05-2010,21000301,POR,LAC,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.8,26.65,24,4,1,29
151190,2011,2010-11,1610612746,Los Angeles Clippers,1884,Baron Davis,G,PG,12-05-2010,21000301,POR,LAC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.0,5.95,2,4,2,5
151192,2011,2010-11,1610612757,Portland Trail Blazers,200750,Brandon Roy,G,SG,12-05-2010,21000301,POR,LAC,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,7.8,28.75,24,4,2,24
151196,2011,2010-11,1610612757,Portland Trail Blazers,201587,Nicolas Batum,F,SF,12-05-2010,21000301,POR,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.3,23.65,23,4,2,53
151199,2011,2010-11,1610612757,Portland Trail Blazers,948,Marcus Camby,C,C,12-05-2010,21000301,POR,LAC,Made Shot,True,Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-3.6,6.65,3,4,3,37
151202,2011,2010-11,1610612757,Portland Trail Blazers,200750,Brandon Roy,G,SG,12-05-2010,21000301,POR,LAC,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.0,14.05,8,4,3,40
151203,2011,2010-11,1610612746,Los Angeles Clippers,2446,Rasual Butler,G,SG,12-05-2010,21000301,POR,LAC,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.5,5.05,22,4,4,5
151205,2011,2010-11,1610612757,Portland Trail Blazers,202083,Wesley Matthews,G,SG,12-05-2010,21000301,POR,LAC,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,5.95,0,4,4,24
151215,2011,2010-11,1610612746,Los Angeles Clippers,201599,DeAndre Jordan,C,C,12-05-2010,21000301,POR,LAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,12.3,5.25,12,4,4,54
151216,2011,2010-11,1610612746,Los Angeles Clippers,201569,Eric Gordon,G,SG,12-05-2010,21000301,POR,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-22.0,15.35,24,4,4,57
151217,2011,2010-11,1610612757,Portland Trail Blazers,1889,Andre Miller,G,PG,12-05-2010,21000301,POR,LAC,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-1.0,16.75,11,4,5,19
151221,2011,2010-11,1610612746,Los Angeles Clippers,201569,Eric Gordon,G,SG,12-05-2010,21000301,POR,LAC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,6.45,1,4,5,45
151239,2011,2010-11,1610612746,Los Angeles Clippers,201933,Blake Griffin,F,PF,12-05-2010,21000301,POR,LAC,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,5.55,0,4,6,20
151241,2011,2010-11,1610612757,Portland Trail Blazers,201587,Nicolas Batum,F,SF,12-05-2010,21000301,POR,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.0,12.45,24,4,6,26
151244,2011,2010-11,1610612746,Los Angeles Clippers,201933,Blake Griffin,F,PF,12-05-2010,21000301,POR,LAC,Made Shot,True,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,7.6,8.25,8,4,6,48
151257,2011,2010-11,1610612757,Portland Trail Blazers,948,Marcus Camby,C,C,12-05-2010,21000301,POR,LAC,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,5.95,1,4,7,15
151258,2011,2010-11,1610612757,Portland Trail Blazers,201164,Rudy Fernandez,G,SG,12-05-2010,21000301,POR,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.8,26.15,25,4,7,17
151261,2011,2010-11,1610612746,Los Angeles Clippers,1884,Baron Davis,G,PG,12-05-2010,21000301,POR,LAC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-4.3,29.65,24,4,7,46
151263,2011,2010-11,1610612746,Los Angeles Clippers,2446,Rasual Butler,G,SG,12-05-2010,21000301,POR,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.5,5.05,23,4,7,51
151264,2011,2010-11,1610612757,Portland Trail Blazers,1889,Andre Miller,G,PG,12-05-2010,21000301,POR,LAC,Missed Shot,False,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,5.25,0,4,8,7
151295,2011,2010-11,1610612746,Los Angeles Clippers,1884,Baron Davis,G,PG,12-05-2010,21000301,POR,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,7.0,29.85,25,4,8,50
151303,2011,2010-11,1610612757,Portland Trail Blazers,201164,Rudy Fernandez,G,SG,12-05-2010,21000301,POR,LAC,Missed Shot,False,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.2,11.95,6,4,9,18
151333,2011,2010-11,1610612746,Los Angeles Clippers,201569,Eric Gordon,G,SG,12-05-2010,21000301,POR,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.4,15.95,24,4,9,55
151345,2011,2010-11,1610612746,Los Angeles Clippers,1884,Baron Davis,G,PG,12-05-2010,21000301,POR,LAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,13.8,6.95,13,4,10,10
151350,2011,2010-11,1610612757,Portland Trail Blazers,201164,Rudy Fernandez,G,SG,12-05-2010,21000301,POR,LAC,Made Shot,True,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,5.55,1,4,10,27
151352,2011,2010-11,1610612746,Los Angeles Clippers,101155,Ryan Gomes,F,SF,12-05-2010,21000301,POR,LAC,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.4,6.05,2,4,10,43
151353,2011,2010-11,1610612757,Portland Trail Blazers,201164,Rudy Fernandez,G,SG,12-05-2010,21000301,POR,LAC,Made Shot,True,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-20.7,18.35,24,4,11,3
151361,2011,2010-11,1610612746,Los Angeles Clippers,201569,Eric Gordon,G,SG,12-05-2010,21000301,POR,LAC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.4,30.25,25,4,11,24
151366,2011,2010-11,1610612746,Los Angeles Clippers,101155,Ryan Gomes,F,SF,12-05-2010,21000301,POR,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.1,5.95,23,4,11,30
151382,2011,2010-11,1610612746,Los Angeles Clippers,1884,Baron Davis,G,PG,12-05-2010,21000301,POR,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Back Court,BC,Back Court Shot,-17.3,45.95,44,3,0,0
151418,2011,2010-11,1610612746,Los Angeles Clippers,1884,Baron Davis,G,PG,12-05-2010,21000301,POR,LAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,18.0,17.95,22,3,0,23
151420,2011,2010-11,1610612757,Portland Trail Blazers,201988,Patty Mills,G,PG,12-05-2010,21000301,POR,LAC,Made Shot,True,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.0,18.75,13,3,0,49
151427,2011,2010-11,1610612746,Los Angeles Clippers,101155,Ryan Gomes,F,SF,12-05-2010,21000301,POR,LAC,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,5.85,1,3,1,0
151433,2011,2010-11,1610612746,Los Angeles Clippers,201569,Eric Gordon,G,SG,12-05-2010,21000301,POR,LAC,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.6,10.85,5,3,1,2
151438,2011,2010-11,1610612757,Portland Trail Blazers,201587,Nicolas Batum,F,SF,12-05-2010,21000301,POR,LAC,Missed Shot,False,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-14.7,14.85,17,3,1,15
151448,2011,2010-11,1610612746,Los Angeles Clippers,2567,Brian Cook,F,PF,12-05-2010,21000301,POR,LAC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-6.1,29.45,24,3,1,42
151451,2011,2010-11,1610612757,Portland Trail Blazers,202083,Wesley Matthews,G,SG,12-05-2010,21000301,POR,LAC,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.8,9.65,5,3,2,6
151469,2011,2010-11,1610612746,Los Angeles Clippers,1884,Baron Davis,G,PG,12-05-2010,21000301,POR,LAC,Missed Shot,False,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,5.35,1,3,2,27
151479,2011,2010-11,1610612746,Los Angeles Clippers,2567,Brian Cook,F,PF,12-05-2010,21000301,POR,LAC,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,4.1,20.05,15,3,2,51
151481,2011,2010-11,1610612757,Portland Trail Blazers,202083,Wesley Matthews,G,SG,12-05-2010,21000301,POR,LAC,Made Shot,True,Running Bank shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.4,8.05,8,3,3,7
151490,2011,2010-11,1610612746,Los Angeles Clippers,101155,Ryan Gomes,F,SF,12-05-2010,21000301,POR,LAC,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,5.25,23,3,3,27
151492,2011,2010-11,1610612757,Portland Trail Blazers,948,Marcus Camby,C,C,12-05-2010,21000301,POR,LAC,Missed Shot,False,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.5,7.45,5,3,3,35
151495,2011,2010-11,1610612746,Los Angeles Clippers,201933,Blake Griffin,F,PF,12-05-2010,21000301,POR,LAC,Made Shot,True,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,6.95,1,3,3,59
151498,2011,2010-11,1610612746,Los Angeles Clippers,201933,Blake Griffin,F,PF,12-05-2010,21000301,POR,LAC,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,7.15,1,3,4,0
151501,2011,2010-11,1610612746,Los Angeles Clippers,2549,Chris Kaman,C,C,12-05-2010,21000301,POR,LAC,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.7,6.95,3,3,4,2
151505,2011,2010-11,1610612757,Portland Trail Blazers,202083,Wesley Matthews,G,SG,12-05-2010,21000301,POR,LAC,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,6.75,1,3,4,14
151510,2011,2010-11,1610612746,Los Angeles Clippers,201933,Blake Griffin,F,PF,12-05-2010,21000301,POR,LAC,Made Shot,True,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,3.7,6.15,3,3,4,26
151529,2011,2010-11,1610612746,Los Angeles Clippers,202339,Eric Bledsoe,G,PG,12-05-2010,21000301,POR,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-6.2,29.45,24,3,4,44
151531,2011,2010-11,1610612757,Portland Trail Blazers,202083,Wesley Matthews,G,SG,12-05-2010,21000301,POR,LAC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,5.85,1,3,5,1
151536,2011,2010-11,1610612746,Los Angeles Clippers,201569,Eric Gordon,G,SG,12-05-2010,21000301,POR,LAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,19.6,12.35,20,3,5,6
151540,2011,2010-11,1610612757,Portland Trail Blazers,200750,Brandon Roy,G,SG,12-05-2010,21000301,POR,LAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,10.6,6.95,10,3,5,15
151555,2011,2010-11,1610612757,Portland Trail Blazers,200750,Brandon Roy,G,SG,12-05-2010,21000301,POR,LAC,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,5.35,1,3,5,55
151560,2011,2010-11,1610612757,Portland Trail Blazers,202083,Wesley Matthews,G,SG,12-05-2010,21000301,POR,LAC,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,3.7,6.15,3,3,6,16
151567,2011,2010-11,1610612746,Los Angeles Clippers,202329,Al-Farouq Aminu,F,SF,12-05-2010,21000301,POR,LAC,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,6.15,1,3,6,29
151575,2011,2010-11,1610612757,Portland Trail Blazers,201967,Dante Cunningham,F,PF,12-05-2010,21000301,POR,LAC,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.6,10.85,5,3,6,34
151597,2011,2010-11,1610612757,Portland Trail Blazers,202083,Wesley Matthews,G,SG,12-05-2010,21000301,POR,LAC,Made Shot,True,Running Bank shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.5,7.25,4,3,7,16
