,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
55202,2011,2010-11,1610612746,Los Angeles Clippers,2590,Mo Williams,G,PG,02-28-2011,21000893,SAC,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,7.1,29.05,24,4,0,3
55203,2011,2010-11,1610612746,Los Angeles Clippers,200751,Randy Foye,G,SG,02-28-2011,21000893,SAC,LAC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.3,7.25,3,4,0,11
55204,2011,2010-11,1610612746,Los Angeles Clippers,2590,Mo Williams,G,PG,02-28-2011,21000893,SAC,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,5.4,29.85,25,4,0,21
55207,2011,2010-11,1610612746,Los Angeles Clippers,200751,Randy Foye,G,SG,02-28-2011,21000893,SAC,LAC,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-3.1,8.35,4,4,0,28
55208,2011,2010-11,1610612746,Los Angeles Clippers,2590,Mo Williams,G,PG,02-28-2011,21000893,SAC,LAC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-5.4,29.65,24,4,0,49
55209,2011,2010-11,1610612758,Sacramento Kings,2223,Samuel Dalembert,C,C,02-28-2011,21000893,SAC,LAC,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.1,9.85,5,4,1,12
55211,2011,2010-11,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,02-28-2011,21000893,SAC,LAC,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,5.2,5.65,5,4,1,16
55216,2011,2010-11,1610612746,Los Angeles Clippers,201933,Blake Griffin,F,PF,02-28-2011,21000893,SAC,LAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.0,23.35,18,4,1,34
55231,2011,2010-11,1610612746,Los Angeles Clippers,200751,Randy Foye,G,SG,02-28-2011,21000893,SAC,LAC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.9,23.55,24,4,2,37
55235,2011,2010-11,1610612746,Los Angeles Clippers,200751,Randy Foye,G,SG,02-28-2011,21000893,SAC,LAC,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.4,5.55,2,4,2,53
