,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
176528,2011,2010-11,1610612750,Minnesota Timberwolves,201147,Corey Brewer,F,SF-SG,11-14-2010,21000139,ATL,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,18.0,24.25,26,4,0,4
176529,2011,2010-11,1610612750,Minnesota Timberwolves,201563,Michael Beasley,F,SF,11-14-2010,21000139,ATL,MIN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.7,25.75,25,4,0,11
176533,2011,2010-11,1610612750,Minnesota Timberwolves,201567,Kevin Love,F,PF,11-14-2010,21000139,ATL,MIN,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,5.65,0,4,0,18
176535,2011,2010-11,1610612750,Minnesota Timberwolves,202325,Wesley Johnson,G,SG,11-14-2010,21000139,ATL,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,10.9,27.75,25,4,0,24
176542,2011,2010-11,1610612750,Minnesota Timberwolves,201147,Corey Brewer,F,SF-SG,11-14-2010,21000139,ATL,MIN,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.1,5.05,2,4,0,39
176548,2011,2010-11,1610612750,Minnesota Timberwolves,201563,Michael Beasley,F,SF,11-14-2010,21000139,ATL,MIN,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,5.55,1,4,1,0
176559,2011,2010-11,1610612750,Minnesota Timberwolves,201567,Kevin Love,F,PF,11-14-2010,21000139,ATL,MIN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,18.6,6.45,18,4,1,18
176563,2011,2010-11,1610612737,Atlanta Hawks,2230,Maurice Evans,F,SF,11-14-2010,21000139,ATL,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.9,11.05,24,4,1,34
176564,2011,2010-11,1610612750,Minnesota Timberwolves,201567,Kevin Love,F,PF,11-14-2010,21000139,ATL,MIN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,11.2,18.95,17,4,1,44
176568,2011,2010-11,1610612737,Atlanta Hawks,1710,Mike Bibby,G,PG,11-14-2010,21000139,ATL,MIN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,17.5,6.35,17,4,1,53
