,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
191317,2011,2010-11,1610612750,Minnesota Timberwolves,201147,Corey Brewer,F,SF-SG,11-02-2010,21000050,MIA,MIN,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.1,7.15,2,4,0,23
191319,2011,2010-11,1610612748,Miami Heat,201596,Mario Chalmers,G,PG,11-02-2010,21000050,MIA,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.6,17.05,25,4,0,30
191320,2011,2010-11,1610612750,Minnesota Timberwolves,201593,Nikola Pekovic,C,C,11-02-2010,21000050,MIA,MIN,Missed Shot,False,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,2.3,9.65,4,4,0,39
191322,2011,2010-11,1610612748,Miami Heat,2617,Udonis Haslem,F,PF,11-02-2010,21000050,MIA,MIN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,9.3,18.75,16,4,0,54
191323,2011,2010-11,1610612750,Minnesota Timberwolves,201147,Corey Brewer,F,SF-SG,11-02-2010,21000050,MIA,MIN,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.3,5.95,1,4,1,3
191325,2011,2010-11,1610612750,Minnesota Timberwolves,201147,Corey Brewer,F,SF-SG,11-02-2010,21000050,MIA,MIN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-7.3,26.85,22,4,1,20
191326,2011,2010-11,1610612750,Minnesota Timberwolves,201585,Kosta Koufos,C,C,11-02-2010,21000050,MIA,MIN,Made Shot,True,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-7.0,8.65,7,4,1,38
191327,2011,2010-11,1610612750,Minnesota Timberwolves,201961,Wayne Ellington,G,SG,11-02-2010,21000050,MIA,MIN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,9.7,21.65,19,4,2,2
191328,2011,2010-11,1610612750,Minnesota Timberwolves,202351,Lazar Hayward,F,SF,11-02-2010,21000050,MIA,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,20.1,20.95,25,4,2,32
191329,2011,2010-11,1610612748,Miami Heat,711,Jerry Stackhouse,G,SG,11-02-2010,21000050,MIA,MIN,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-6.9,11.85,9,4,2,42
