,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
159603,2011,2010-11,1610612740,New Orleans Hornets,201977,Marcus Thornton,G,SG,11-28-2010,21000244,NOH,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,8.2,28.85,24,4,0,6
159607,2011,2010-11,1610612759,San Antonio Spurs,2137,Ime Udoka,F,SF,11-28-2010,21000244,NOH,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.6,7.75,22,4,0,17
159611,2011,2010-11,1610612740,New Orleans Hornets,201977,Marcus Thornton,G,SG,11-28-2010,21000244,NOH,SAS,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.3,6.15,2,4,0,38
159612,2011,2010-11,1610612759,San Antonio Spurs,202390,Gary Neal,G,SG,11-28-2010,21000244,NOH,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,20.5,19.25,24,4,0,52
159627,2011,2010-11,1610612759,San Antonio Spurs,200809,Chris Quinn,G,PG,11-28-2010,21000244,NOH,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.4,4.95,23,4,1,18
159632,2011,2010-11,1610612740,New Orleans Hornets,201160,Jason Smith,C,C,11-28-2010,21000244,NOH,SAS,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,14.9,18.15,19,4,1,42
159645,2011,2010-11,1610612759,San Antonio Spurs,1495,Tim Duncan,C,C,11-28-2010,21000244,NOH,SAS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,6.15,1,4,1,56
159649,2011,2010-11,1610612740,New Orleans Hornets,101108,Chris Paul,G,PG,11-28-2010,21000244,NOH,SAS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,5.55,1,4,2,22
159651,2011,2010-11,1610612759,San Antonio Spurs,1938,Manu Ginobili,G,SG,11-28-2010,21000244,NOH,SAS,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,6.15,1,4,2,27
159655,2011,2010-11,1610612740,New Orleans Hornets,2731,Emeka Okafor,C,C,11-28-2010,21000244,NOH,SAS,Missed Shot,False,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-1.2,9.75,4,4,2,51
159676,2011,2010-11,1610612759,San Antonio Spurs,2210,Richard Jefferson,F,SF,11-28-2010,21000244,NOH,SAS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.0,6.45,2,4,3,8
159680,2011,2010-11,1610612740,New Orleans Hornets,101108,Chris Paul,G,PG,11-28-2010,21000244,NOH,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,3.5,7.85,4,4,3,11
159685,2011,2010-11,1610612759,San Antonio Spurs,1495,Tim Duncan,C,C,11-28-2010,21000244,NOH,SAS,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.5,11.95,6,4,3,27
159695,2011,2010-11,1610612759,San Antonio Spurs,2225,Tony Parker,G,PG,11-28-2010,21000244,NOH,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,5.25,23,4,3,57
159703,2011,2010-11,1610612759,San Antonio Spurs,201588,George Hill,G,PG,11-28-2010,21000244,NOH,SAS,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,8.05,2,4,4,7
159711,2011,2010-11,1610612740,New Orleans Hornets,101108,Chris Paul,G,PG,11-28-2010,21000244,NOH,SAS,Missed Shot,False,Running Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.1,9.45,10,4,4,30
159715,2011,2010-11,1610612759,San Antonio Spurs,202390,Gary Neal,G,SG,11-28-2010,21000244,NOH,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-7.2,12.45,10,4,4,40
159717,2011,2010-11,1610612740,New Orleans Hornets,101108,Chris Paul,G,PG,11-28-2010,21000244,NOH,SAS,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,6.4,14.95,11,4,5,3
