,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
184606,2011,2010-11,1610612760,Oklahoma City Thunder,201935,James Harden,G,SG,11-07-2010,21000093,OKC,BOS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-4.8,29.65,24,4,0,22
184611,2011,2010-11,1610612738,Boston Celtics,200765,Rajon Rondo,G,PG,11-07-2010,21000093,OKC,BOS,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,6.75,1,4,0,29
184635,2011,2010-11,1610612760,Oklahoma City Thunder,201566,Russell Westbrook,G,PG,11-07-2010,21000093,OKC,BOS,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,2.1,23.65,18,4,1,7
184638,2011,2010-11,1610612738,Boston Celtics,1718,Paul Pierce,F,SF,11-07-2010,21000093,OKC,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,7.8,20.55,17,4,1,14
184645,2011,2010-11,1610612760,Oklahoma City Thunder,201586,Serge Ibaka,F,PF,11-07-2010,21000093,OKC,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,7.6,10.85,9,4,1,39
184650,2011,2010-11,1610612738,Boston Celtics,201175,Glen Davis,C,C,11-07-2010,21000093,OKC,BOS,Missed Shot,False,Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,7.85,2,4,1,55
184652,2011,2010-11,1610612738,Boston Celtics,951,Ray Allen,G,SG,11-07-2010,21000093,OKC,BOS,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.6,13.25,23,4,2,15
184654,2011,2010-11,1610612760,Oklahoma City Thunder,201566,Russell Westbrook,G,PG,11-07-2010,21000093,OKC,BOS,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,7.25,2,4,2,24
184657,2011,2010-11,1610612738,Boston Celtics,200765,Rajon Rondo,G,PG,11-07-2010,21000093,OKC,BOS,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.3,5.85,1,4,2,41
184676,2011,2010-11,1610612738,Boston Celtics,708,Kevin Garnett,F,PF,11-07-2010,21000093,OKC,BOS,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-7.7,5.25,7,4,3,15
184677,2011,2010-11,1610612760,Oklahoma City Thunder,2420,Nenad Krstic,C,C,11-07-2010,21000093,OKC,BOS,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,1.3,25.35,20,4,3,35
184686,2011,2010-11,1610612738,Boston Celtics,708,Kevin Garnett,F,PF,11-07-2010,21000093,OKC,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-13.2,20.05,19,4,3,46
184688,2011,2010-11,1610612760,Oklahoma City Thunder,201142,Kevin Durant,F,SF,11-07-2010,21000093,OKC,BOS,Missed Shot,False,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,8.6,8.35,9,4,4,6
184693,2011,2010-11,1610612738,Boston Celtics,951,Ray Allen,G,SG,11-07-2010,21000093,OKC,BOS,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,13.0,15.35,16,4,4,18
184697,2011,2010-11,1610612760,Oklahoma City Thunder,2420,Nenad Krstic,C,C,11-07-2010,21000093,OKC,BOS,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,5.65,1,4,4,41
184708,2011,2010-11,1610612760,Oklahoma City Thunder,2420,Nenad Krstic,C,C,11-07-2010,21000093,OKC,BOS,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,7.85,2,4,4,49
184715,2011,2010-11,1610612760,Oklahoma City Thunder,201586,Serge Ibaka,F,PF,11-07-2010,21000093,OKC,BOS,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,6.35,1,4,4,54
184718,2011,2010-11,1610612760,Oklahoma City Thunder,201142,Kevin Durant,F,SF,11-07-2010,21000093,OKC,BOS,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,5.85,0,4,5,41
184724,2011,2010-11,1610612738,Boston Celtics,201175,Glen Davis,C,C,11-07-2010,21000093,OKC,BOS,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.0,5.35,2,4,5,58
184727,2011,2010-11,1610612760,Oklahoma City Thunder,201142,Kevin Durant,F,SF,11-07-2010,21000093,OKC,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.9,24.45,19,4,6,14
184736,2011,2010-11,1610612760,Oklahoma City Thunder,201566,Russell Westbrook,G,PG,11-07-2010,21000093,OKC,BOS,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.9,5.25,2,4,6,49
184740,2011,2010-11,1610612738,Boston Celtics,951,Ray Allen,G,SG,11-07-2010,21000093,OKC,BOS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,3.8,29.05,24,4,7,4
184746,2011,2010-11,1610612738,Boston Celtics,101126,Nate Robinson,G,PG,11-07-2010,21000093,OKC,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-15.2,14.15,17,4,7,7
184752,2011,2010-11,1610612760,Oklahoma City Thunder,201142,Kevin Durant,F,SF,11-07-2010,21000093,OKC,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-2.9,17.85,12,4,7,19
184755,2011,2010-11,1610612760,Oklahoma City Thunder,201142,Kevin Durant,F,SF,11-07-2010,21000093,OKC,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,8.7,20.85,17,4,7,32
184758,2011,2010-11,1610612738,Boston Celtics,201175,Glen Davis,C,C,11-07-2010,21000093,OKC,BOS,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-1.0,22.45,17,4,7,46
184759,2011,2010-11,1610612760,Oklahoma City Thunder,201586,Serge Ibaka,F,PF,11-07-2010,21000093,OKC,BOS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,5.65,1,4,8,9
184771,2011,2010-11,1610612760,Oklahoma City Thunder,201566,Russell Westbrook,G,PG,11-07-2010,21000093,OKC,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,6.2,21.15,17,4,8,46
184775,2011,2010-11,1610612738,Boston Celtics,101126,Nate Robinson,G,PG,11-07-2010,21000093,OKC,BOS,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.3,6.15,1,4,9,4
184776,2011,2010-11,1610612760,Oklahoma City Thunder,201586,Serge Ibaka,F,PF,11-07-2010,21000093,OKC,BOS,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.1,5.05,2,4,9,21
184785,2011,2010-11,1610612738,Boston Celtics,101126,Nate Robinson,G,PG,11-07-2010,21000093,OKC,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-13.0,19.25,19,4,9,41
184786,2011,2010-11,1610612760,Oklahoma City Thunder,201142,Kevin Durant,F,SF,11-07-2010,21000093,OKC,BOS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-3.1,29.45,24,4,9,58
184797,2011,2010-11,1610612738,Boston Celtics,201175,Glen Davis,C,C,11-07-2010,21000093,OKC,BOS,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.0,24.65,19,4,10,13
184802,2011,2010-11,1610612738,Boston Celtics,201175,Glen Davis,C,C,11-07-2010,21000093,OKC,BOS,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.5,25.35,20,4,10,51
184803,2011,2010-11,1610612760,Oklahoma City Thunder,201935,James Harden,G,SG,11-07-2010,21000093,OKC,BOS,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.0,8.05,23,4,11,17
184808,2011,2010-11,1610612738,Boston Celtics,201623,Semih Erden,C,C,11-07-2010,21000093,OKC,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,3.7,5.65,3,4,11,37
184812,2011,2010-11,1610612738,Boston Celtics,2605,Marquis Daniels,F,SF,11-07-2010,21000093,OKC,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.2,5.35,4,3,0,0
