,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
194895,2011,2010-11,1610612753,Orlando Magic,2554,Mickael Pietrus,G,SG-SF,10-29-2010,21000025,MIA,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-17.7,5.85,17,4,0,20
194898,2011,2010-11,1610612748,Miami Heat,2067,Eddie House,G,SG,10-29-2010,21000025,MIA,ORL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.4,25.05,26,4,0,38
194902,2011,2010-11,1610612753,Orlando Magic,201583,Ryan Anderson,F,PF,10-29-2010,21000025,MIA,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,2.7,30.15,25,4,1,1
194908,2011,2010-11,1610612748,Miami Heat,980,Zydrunas Ilgauskas,C,C,10-29-2010,21000025,MIA,ORL,Made Shot,True,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.3,7.65,2,4,1,18
194913,2011,2010-11,1610612748,Miami Heat,980,Zydrunas Ilgauskas,C,C,10-29-2010,21000025,MIA,ORL,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.9,6.65,1,4,1,20
194916,2011,2010-11,1610612748,Miami Heat,980,Zydrunas Ilgauskas,C,C,10-29-2010,21000025,MIA,ORL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.0,7.45,2,4,1,22
194917,2011,2010-11,1610612748,Miami Heat,2547,Chris Bosh,F,PF,10-29-2010,21000025,MIA,ORL,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-12.7,7.45,12,4,1,24
194918,2011,2010-11,1610612753,Orlando Magic,200755,JJ Redick,G,SG,10-29-2010,21000025,MIA,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.8,25.75,24,4,1,42
194921,2011,2010-11,1610612748,Miami Heat,2547,Chris Bosh,F,PF,10-29-2010,21000025,MIA,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,4.1,29.85,24,4,1,57
194922,2011,2010-11,1610612753,Orlando Magic,201583,Ryan Anderson,F,PF,10-29-2010,21000025,MIA,ORL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,20.4,18.15,24,4,2,22
194927,2011,2010-11,1610612748,Miami Heat,2067,Eddie House,G,SG,10-29-2010,21000025,MIA,ORL,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.6,6.15,22,4,2,37
194930,2011,2010-11,1610612753,Orlando Magic,201583,Ryan Anderson,F,PF,10-29-2010,21000025,MIA,ORL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.1,7.15,2,4,3,1
194934,2011,2010-11,1610612748,Miami Heat,2067,Eddie House,G,SG,10-29-2010,21000025,MIA,ORL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.2,7.15,2,4,3,22
194941,2011,2010-11,1610612748,Miami Heat,980,Zydrunas Ilgauskas,C,C,10-29-2010,21000025,MIA,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,17.4,11.55,18,4,3,55
194952,2011,2010-11,1610612753,Orlando Magic,201583,Ryan Anderson,F,PF,10-29-2010,21000025,MIA,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.6,20.95,25,4,4,48
194957,2011,2010-11,1610612748,Miami Heat,980,Zydrunas Ilgauskas,C,C,10-29-2010,21000025,MIA,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,8.7,20.05,17,4,5,1
194960,2011,2010-11,1610612753,Orlando Magic,201583,Ryan Anderson,F,PF,10-29-2010,21000025,MIA,ORL,Made Shot,True,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.3,5.65,0,4,5,19
194962,2011,2010-11,1610612753,Orlando Magic,1740,Rashard Lewis,F,SF-PF,10-29-2010,21000025,MIA,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-10.8,5.85,10,4,5,23
194981,2011,2010-11,1610612753,Orlando Magic,201583,Ryan Anderson,F,PF,10-29-2010,21000025,MIA,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-16.5,20.05,22,4,5,49
