,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
180801,2011,2010-11,1610612758,Sacramento Kings,201616,Darnell Jackson,F,PF,11-10-2010,21000117,SAC,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.6,8.95,22,4,0,20
180803,2011,2010-11,1610612758,Sacramento Kings,101128,Francisco Garcia,F,SF,11-10-2010,21000117,SAC,MIN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-12.5,13.55,15,4,0,50
180807,2011,2010-11,1610612750,Minnesota Timberwolves,201563,Michael Beasley,F,SF,11-10-2010,21000117,SAC,MIN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-16.8,13.85,18,4,1,7
180808,2011,2010-11,1610612758,Sacramento Kings,2223,Samuel Dalembert,C,C,11-10-2010,21000117,SAC,MIN,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.8,6.45,1,4,1,23
180815,2011,2010-11,1610612750,Minnesota Timberwolves,201563,Michael Beasley,F,SF,11-10-2010,21000117,SAC,MIN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-19.5,11.55,20,4,2,1
180817,2011,2010-11,1610612758,Sacramento Kings,201956,Omri Casspi,F,SF,11-10-2010,21000117,SAC,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.1,7.75,23,4,2,25
180823,2011,2010-11,1610612758,Sacramento Kings,201956,Omri Casspi,F,SF,11-10-2010,21000117,SAC,MIN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-20.1,19.75,24,4,2,59
180825,2011,2010-11,1610612750,Minnesota Timberwolves,2742,Sebastian Telfair,G,PG,11-10-2010,21000117,SAC,MIN,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,13.9,7.55,14,4,3,15
180842,2011,2010-11,1610612750,Minnesota Timberwolves,202325,Wesley Johnson,G,SG,11-10-2010,21000117,SAC,MIN,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.1,7.75,4,4,3,56
180846,2011,2010-11,1610612758,Sacramento Kings,2757,Beno Udrih,G,PG,11-10-2010,21000117,SAC,MIN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,14.7,11.05,15,4,4,2
180847,2011,2010-11,1610612750,Minnesota Timberwolves,201567,Kevin Love,F,PF,11-10-2010,21000117,SAC,MIN,Made Shot,True,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.5,9.95,6,4,4,25
180849,2011,2010-11,1610612758,Sacramento Kings,201574,Jason Thompson,F,PF,11-10-2010,21000117,SAC,MIN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-1.3,23.55,18,4,4,37
180856,2011,2010-11,1610612750,Minnesota Timberwolves,201567,Kevin Love,F,PF,11-10-2010,21000117,SAC,MIN,Made Shot,True,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-1.5,9.75,4,4,4,59
180874,2011,2010-11,1610612758,Sacramento Kings,2223,Samuel Dalembert,C,C,11-10-2010,21000117,SAC,MIN,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,7.85,2,4,5,11
