,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
185536,2011,2010-11,1610612761,Toronto Raptors,201153,Julian Wright,F,SF,11-06-2010,21000087,POR,TOR,Made Shot,True,Jump Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,8.55,3,4,0,42
185537,2011,2010-11,1610612761,Toronto Raptors,201153,Julian Wright,F,SF,11-06-2010,21000087,POR,TOR,Missed Shot,False,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,5.25,0,4,0,48
185540,2011,2010-11,1610612757,Portland Trail Blazers,202083,Wesley Matthews,G,SG,11-06-2010,21000087,POR,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,4.75,23,4,0,54
185561,2011,2010-11,1610612761,Toronto Raptors,101127,Jarrett Jack,G,SG-PG,11-06-2010,21000087,POR,TOR,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,5.35,1,4,1,30
185566,2011,2010-11,1610612757,Portland Trail Blazers,201988,Patty Mills,G,PG,11-06-2010,21000087,POR,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,6.0,29.65,25,4,1,50
185567,2011,2010-11,1610612761,Toronto Raptors,201153,Julian Wright,F,SF,11-06-2010,21000087,POR,TOR,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,5.25,1,4,2,16
185575,2011,2010-11,1610612761,Toronto Raptors,201942,DeMar DeRozan,G,SG,11-06-2010,21000087,POR,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-8.4,25.85,22,4,2,48
185585,2011,2010-11,1610612757,Portland Trail Blazers,200746,LaMarcus Aldridge,F,PF,11-06-2010,21000087,POR,TOR,Made Shot,True,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.3,5.25,1,4,3,9
185592,2011,2010-11,1610612757,Portland Trail Blazers,201587,Nicolas Batum,F,SF,11-06-2010,21000087,POR,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-16.6,24.15,25,4,3,22
185594,2011,2010-11,1610612761,Toronto Raptors,101127,Jarrett Jack,G,SG-PG,11-06-2010,21000087,POR,TOR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-2.3,29.85,24,4,3,45
185617,2011,2010-11,1610612757,Portland Trail Blazers,200750,Brandon Roy,G,SG,11-06-2010,21000087,POR,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.5,24.95,25,4,4,11
185621,2011,2010-11,1610612761,Toronto Raptors,101181,Jose Calderon,G,PG,11-06-2010,21000087,POR,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.2,29.35,24,4,4,32
185623,2011,2010-11,1610612757,Portland Trail Blazers,201587,Nicolas Batum,F,SF,11-06-2010,21000087,POR,TOR,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.3,5.55,22,4,4,47
185627,2011,2010-11,1610612761,Toronto Raptors,200745,Andrea Bargnani,C,C,11-06-2010,21000087,POR,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-1.0,17.95,12,4,5,7
185630,2011,2010-11,1610612757,Portland Trail Blazers,201967,Dante Cunningham,F,PF,11-06-2010,21000087,POR,TOR,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.3,5.95,1,4,5,31
185640,2011,2010-11,1610612761,Toronto Raptors,201942,DeMar DeRozan,G,SG,11-06-2010,21000087,POR,TOR,Made Shot,True,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,5.9,9.95,7,4,5,59
