,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
73354,2011,2010-11,1610612762,Utah Jazz,101114,Deron Williams,G,PG,02-09-2011,21000780,UTA,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.8,6.35,22,4,0,5
73388,2011,2010-11,1610612741,Chicago Bulls,2736,Luol Deng,F,SF,02-09-2011,21000780,UTA,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.3,9.95,9,4,0,45
73393,2011,2010-11,1610612741,Chicago Bulls,201565,Derrick Rose,G,PG,02-09-2011,21000780,UTA,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.4,6.75,8,4,1,9
73418,2011,2010-11,1610612741,Chicago Bulls,2430,Carlos Boozer,C,C,02-09-2011,21000780,UTA,CHI,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,4.95,1,4,1,35
73435,2011,2010-11,1610612762,Utah Jazz,2744,Al Jefferson,C,C,02-09-2011,21000780,UTA,CHI,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.95,0,4,1,56
73442,2011,2010-11,1610612741,Chicago Bulls,2594,Kyle Korver,G,SG,02-09-2011,21000780,UTA,CHI,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-10.2,27.65,24,4,2,17
73443,2011,2010-11,1610612762,Utah Jazz,101114,Deron Williams,G,PG,02-09-2011,21000780,UTA,CHI,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-3.1,5.35,3,4,2,37
73451,2011,2010-11,1610612741,Chicago Bulls,201565,Derrick Rose,G,PG,02-09-2011,21000780,UTA,CHI,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,6.65,1,4,2,48
73452,2011,2010-11,1610612762,Utah Jazz,2744,Al Jefferson,C,C,02-09-2011,21000780,UTA,CHI,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.4,4.65,2,4,3,3
73456,2011,2010-11,1610612741,Chicago Bulls,703,Kurt Thomas,F,PF,02-09-2011,21000780,UTA,CHI,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,6.7,13.55,10,4,3,19
