,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
55217,2011,2010-11,1610612764,Washington Wizards,201203,Mustafa Shakur,G,PG,02-28-2011,21000890,WAS,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,12.0,21.45,20,4,0,14
55218,2011,2010-11,1610612741,Chicago Bulls,2243,Brian Scalabrine,F,PF,02-28-2011,21000890,WAS,CHI,Made Shot,True,Running Bank shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-18.2,10.25,18,4,0,32
55220,2011,2010-11,1610612764,Washington Wizards,2230,Maurice Evans,F,SF,02-28-2011,21000890,WAS,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.3,4.25,23,4,0,54
55223,2011,2010-11,1610612764,Washington Wizards,2230,Maurice Evans,F,SF,02-28-2011,21000890,WAS,CHI,Made Shot,True,Running Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.9,3.55,9,4,1,15
55224,2011,2010-11,1610612741,Chicago Bulls,2594,Kyle Korver,G,SG,02-28-2011,21000890,WAS,CHI,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.1,26.65,26,4,1,23
55225,2011,2010-11,1610612764,Washington Wizards,202348,Jordan Crawford,G,SG,02-28-2011,21000890,WAS,CHI,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.25,0,4,1,41
55227,2011,2010-11,1610612741,Chicago Bulls,2594,Kyle Korver,G,SG,02-28-2011,21000890,WAS,CHI,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.9,25.35,25,4,1,56
55229,2011,2010-11,1610612764,Washington Wizards,202322,John Wall,G,PG,02-28-2011,21000890,WAS,CHI,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,8.7,8.85,9,4,2,9
55234,2011,2010-11,1610612764,Washington Wizards,202348,Jordan Crawford,G,SG,02-28-2011,21000890,WAS,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-14.6,11.95,16,4,2,14
55241,2011,2010-11,1610612741,Chicago Bulls,201149,Joakim Noah,C,C,02-28-2011,21000890,WAS,CHI,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.0,3.65,2,4,2,26
55243,2011,2010-11,1610612764,Washington Wizards,202344,Trevor Booker,F,PF,02-28-2011,21000890,WAS,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.8,23.05,17,4,2,44
55245,2011,2010-11,1610612741,Chicago Bulls,2736,Luol Deng,F,SF,02-28-2011,21000890,WAS,CHI,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,5.05,1,4,3,2
55251,2011,2010-11,1610612741,Chicago Bulls,201565,Derrick Rose,G,PG,02-28-2011,21000890,WAS,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.5,23.65,25,4,3,17
55255,2011,2010-11,1610612764,Washington Wizards,202338,Kevin Seraphin,F,PF,02-28-2011,21000890,WAS,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-3.4,4.15,3,4,3,37
55266,2011,2010-11,1610612764,Washington Wizards,101154,Andray Blatche,F,PF,02-28-2011,21000890,WAS,CHI,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,18.8,2.25,19,4,4,5
55269,2011,2010-11,1610612741,Chicago Bulls,2736,Luol Deng,F,SF,02-28-2011,21000890,WAS,CHI,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,24.6,3.65,24,4,4,28
55273,2011,2010-11,1610612764,Washington Wizards,201156,Nick Young,G,SG,02-28-2011,21000890,WAS,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-4.2,23.65,18,4,4,46
55280,2011,2010-11,1610612741,Chicago Bulls,201565,Derrick Rose,G,PG,02-28-2011,21000890,WAS,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,20.7,20.35,25,4,4,55
55283,2011,2010-11,1610612741,Chicago Bulls,201565,Derrick Rose,G,PG,02-28-2011,21000890,WAS,CHI,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-14.7,19.25,20,4,5,21
55286,2011,2010-11,1610612764,Washington Wizards,202344,Trevor Booker,F,PF,02-28-2011,21000890,WAS,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.7,3.85,4,4,5,35
55288,2011,2010-11,1610612741,Chicago Bulls,2736,Luol Deng,F,SF,02-28-2011,21000890,WAS,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-8.4,28.75,24,4,5,47
55291,2011,2010-11,1610612764,Washington Wizards,201156,Nick Young,G,SG,02-28-2011,21000890,WAS,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.6,13.75,24,4,6,6
55292,2011,2010-11,1610612764,Washington Wizards,202322,John Wall,G,PG,02-28-2011,21000890,WAS,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.9,16.85,16,4,6,13
55293,2011,2010-11,1610612741,Chicago Bulls,2594,Kyle Korver,G,SG,02-28-2011,21000890,WAS,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.0,17.55,25,4,6,23
55307,2011,2010-11,1610612741,Chicago Bulls,201228,C.J. Watson,G,PG,02-28-2011,21000890,WAS,CHI,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,3.95,1,4,7,15
55308,2011,2010-11,1610612764,Washington Wizards,101154,Andray Blatche,F,PF,02-28-2011,21000890,WAS,CHI,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,3.95,1,4,7,37
55314,2011,2010-11,1610612764,Washington Wizards,202344,Trevor Booker,F,PF,02-28-2011,21000890,WAS,CHI,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.1,5.25,2,4,8,3
55318,2011,2010-11,1610612741,Chicago Bulls,201228,C.J. Watson,G,PG,02-28-2011,21000890,WAS,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.5,27.25,25,4,8,13
55320,2011,2010-11,1610612764,Washington Wizards,201156,Nick Young,G,SG,02-28-2011,21000890,WAS,CHI,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.6,16.85,25,4,8,36
55322,2011,2010-11,1610612741,Chicago Bulls,2594,Kyle Korver,G,SG,02-28-2011,21000890,WAS,CHI,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,21.3,18.15,24,4,8,46
55334,2011,2010-11,1610612764,Washington Wizards,201156,Nick Young,G,SG,02-28-2011,21000890,WAS,CHI,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,5.25,0,4,9,10
55336,2011,2010-11,1610612741,Chicago Bulls,2736,Luol Deng,F,SF,02-28-2011,21000890,WAS,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-8.0,9.95,9,4,9,15
55344,2011,2010-11,1610612764,Washington Wizards,201156,Nick Young,G,SG,02-28-2011,21000890,WAS,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-24.5,2.55,24,4,9,37
55347,2011,2010-11,1610612741,Chicago Bulls,200758,Ronnie Brewer,G,SG,02-28-2011,21000890,WAS,CHI,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,15.5,11.35,16,4,9,51
55349,2011,2010-11,1610612741,Chicago Bulls,201600,Omer Asik,C,C,02-28-2011,21000890,WAS,CHI,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.95,0,4,10,3
55357,2011,2010-11,1610612741,Chicago Bulls,2736,Luol Deng,F,SF,02-28-2011,21000890,WAS,CHI,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.6,4.65,2,4,10,5
55359,2011,2010-11,1610612764,Washington Wizards,202344,Trevor Booker,F,PF,02-28-2011,21000890,WAS,CHI,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,5.35,1,4,10,29
55361,2011,2010-11,1610612741,Chicago Bulls,2736,Luol Deng,F,SF,02-28-2011,21000890,WAS,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,17.4,10.05,18,4,10,49
55365,2011,2010-11,1610612741,Chicago Bulls,201228,C.J. Watson,G,PG,02-28-2011,21000890,WAS,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-10.0,24.45,21,4,11,6
55366,2011,2010-11,1610612764,Washington Wizards,201156,Nick Young,G,SG,02-28-2011,21000890,WAS,CHI,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-14.3,1.95,14,4,11,23
55371,2011,2010-11,1610612741,Chicago Bulls,200758,Ronnie Brewer,G,SG,02-28-2011,21000890,WAS,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.8,14.05,8,4,11,39
55379,2011,2010-11,1610612764,Washington Wizards,201156,Nick Young,G,SG,02-28-2011,21000890,WAS,CHI,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.1,3.85,2,3,0,5
55387,2011,2010-11,1610612741,Chicago Bulls,2736,Luol Deng,F,SF,02-28-2011,21000890,WAS,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-8.4,29.35,25,3,0,30
55389,2011,2010-11,1610612764,Washington Wizards,201156,Nick Young,G,SG,02-28-2011,21000890,WAS,CHI,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.2,21.25,24,3,0,43
55393,2011,2010-11,1610612741,Chicago Bulls,201565,Derrick Rose,G,PG,02-28-2011,21000890,WAS,CHI,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.5,6.95,2,3,0,49
55396,2011,2010-11,1610612764,Washington Wizards,202338,Kevin Seraphin,F,PF,02-28-2011,21000890,WAS,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.4,3.15,8,3,1,1
55400,2011,2010-11,1610612741,Chicago Bulls,2736,Luol Deng,F,SF,02-28-2011,21000890,WAS,CHI,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,5.25,0,3,1,15
55413,2011,2010-11,1610612764,Washington Wizards,2230,Maurice Evans,F,SF,02-28-2011,21000890,WAS,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-17.3,4.25,17,3,1,56
