,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
148205,2012,2011-12,1610612766,Charlotte Bobcats,202809,Cory Higgins,G,PG,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,1.0,29.95,24,4,0,0
148206,2012,2011-12,1610612739,Cleveland Cavaliers,202376,Luke Harangody,F,PF,01-03-2012,21100076,CLE,CHA,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,4.65,1,4,0,9
148207,2012,2011-12,1610612766,Charlotte Bobcats,202809,Cory Higgins,G,PG,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,6.65,2,4,0,29
148208,2012,2011-12,1610612739,Cleveland Cavaliers,201196,Ramon Sessions,G,PG,01-03-2012,21100076,CLE,CHA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,6.15,0,4,0,46
148209,2012,2011-12,1610612766,Charlotte Bobcats,202687,Bismack Biyombo,C,C,01-03-2012,21100076,CLE,CHA,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,3.95,2,4,1,7
148211,2012,2011-12,1610612766,Charlotte Bobcats,202687,Bismack Biyombo,C,C,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.3,5.25,2,4,1,7
148213,2012,2011-12,1610612766,Charlotte Bobcats,202809,Cory Higgins,G,PG,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,6.35,1,4,1,9
148216,2012,2011-12,1610612766,Charlotte Bobcats,202809,Cory Higgins,G,PG,01-03-2012,21100076,CLE,CHA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,6.4,19.45,15,4,1,40
148223,2012,2011-12,1610612766,Charlotte Bobcats,1894,Corey Maggette,F,SF,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-15.7,9.45,16,4,1,56
148225,2012,2011-12,1610612766,Charlotte Bobcats,201571,D.J. Augustin,G,PG,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.2,24.95,24,4,2,32
148228,2012,2011-12,1610612739,Cleveland Cavaliers,202684,Tristan Thompson,F,PF,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.9,11.25,6,4,2,40
148239,2012,2011-12,1610612739,Cleveland Cavaliers,200789,Daniel Gibson,G,SG,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.0,23.95,23,4,3,5
148243,2012,2011-12,1610612739,Cleveland Cavaliers,200797,Ryan Hollins,C,C,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,6.2,7.75,6,4,3,8
148247,2012,2011-12,1610612766,Charlotte Bobcats,1894,Corey Maggette,F,SF,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-13.6,14.05,16,4,3,20
148265,2012,2011-12,1610612739,Cleveland Cavaliers,201196,Ramon Sessions,G,PG,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.4,8.25,3,4,3,46
148288,2012,2011-12,1610612766,Charlotte Bobcats,201945,Gerald Henderson,G,SG,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,14.1,19.85,20,4,4,14
148293,2012,2011-12,1610612739,Cleveland Cavaliers,202684,Tristan Thompson,F,PF,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.0,11.25,7,4,4,22
148298,2012,2011-12,1610612766,Charlotte Bobcats,201571,D.J. Augustin,G,PG,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.4,10.05,4,4,4,45
148303,2012,2011-12,1610612739,Cleveland Cavaliers,202684,Tristan Thompson,F,PF,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.9,9.15,7,4,4,53
148314,2012,2011-12,1610612766,Charlotte Bobcats,201945,Gerald Henderson,G,SG,01-03-2012,21100076,CLE,CHA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,11.2,22.75,20,4,5,16
148318,2012,2011-12,1610612739,Cleveland Cavaliers,200789,Daniel Gibson,G,SG,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.1,24.75,24,4,5,22
148320,2012,2011-12,1610612766,Charlotte Bobcats,201571,D.J. Augustin,G,PG,01-03-2012,21100076,CLE,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.6,23.05,24,4,5,32
148325,2012,2011-12,1610612739,Cleveland Cavaliers,201196,Ramon Sessions,G,PG,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,9.0,27.75,24,4,5,39
148329,2012,2011-12,1610612766,Charlotte Bobcats,2564,Boris Diaw,F,PF,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.8,29.15,23,4,5,58
148333,2012,2011-12,1610612766,Charlotte Bobcats,201571,D.J. Augustin,G,PG,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.5,30.75,25,4,6,6
148335,2012,2011-12,1610612739,Cleveland Cavaliers,202684,Tristan Thompson,F,PF,01-03-2012,21100076,CLE,CHA,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.3,4.95,1,4,6,20
148340,2012,2011-12,1610612766,Charlotte Bobcats,2564,Boris Diaw,F,PF,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.4,22.85,24,4,6,32
148342,2012,2011-12,1610612739,Cleveland Cavaliers,202684,Tristan Thompson,F,PF,01-03-2012,21100076,CLE,CHA,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,5.55,0,4,6,51
148345,2012,2011-12,1610612739,Cleveland Cavaliers,200789,Daniel Gibson,G,SG,01-03-2012,21100076,CLE,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,18.7,20.95,24,4,7,15
148347,2012,2011-12,1610612766,Charlotte Bobcats,201945,Gerald Henderson,G,SG,01-03-2012,21100076,CLE,CHA,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-2.3,18.95,13,4,7,36
148350,2012,2011-12,1610612739,Cleveland Cavaliers,200789,Daniel Gibson,G,SG,01-03-2012,21100076,CLE,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.9,22.25,23,4,7,48
148358,2012,2011-12,1610612766,Charlotte Bobcats,201945,Gerald Henderson,G,SG,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,19.1,5.55,19,4,8,14
148362,2012,2011-12,1610612739,Cleveland Cavaliers,201196,Ramon Sessions,G,PG,01-03-2012,21100076,CLE,CHA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,13.8,11.05,14,4,8,23
148369,2012,2011-12,1610612739,Cleveland Cavaliers,202684,Tristan Thompson,F,PF,01-03-2012,21100076,CLE,CHA,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,4.25,1,4,8,58
148373,2012,2011-12,1610612766,Charlotte Bobcats,1894,Corey Maggette,F,SF,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.0,25.35,23,4,9,5
148392,2012,2011-12,1610612739,Cleveland Cavaliers,202087,Alonzo Gee,G,SG,01-03-2012,21100076,CLE,CHA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,13.1,23.55,22,4,9,27
148398,2012,2011-12,1610612739,Cleveland Cavaliers,202087,Alonzo Gee,G,SG,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,7.25,2,4,9,50
148402,2012,2011-12,1610612766,Charlotte Bobcats,201957,Byron Mullens,C,C,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,7.55,2,4,9,58
148406,2012,2011-12,1610612739,Cleveland Cavaliers,202684,Tristan Thompson,F,PF,01-03-2012,21100076,CLE,CHA,Made Shot,True,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.95,0,4,10,23
148407,2012,2011-12,1610612739,Cleveland Cavaliers,200797,Ryan Hollins,C,C,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,6.35,1,4,10,24
148409,2012,2011-12,1610612766,Charlotte Bobcats,202689,Kemba Walker,G,PG,01-03-2012,21100076,CLE,CHA,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.6,9.45,4,4,10,47
148414,2012,2011-12,1610612739,Cleveland Cavaliers,202684,Tristan Thompson,F,PF,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,6.45,1,4,11,9
148418,2012,2011-12,1610612739,Cleveland Cavaliers,200789,Daniel Gibson,G,SG,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.9,22.85,25,4,11,13
148419,2012,2011-12,1610612766,Charlotte Bobcats,201957,Byron Mullens,C,C,01-03-2012,21100076,CLE,CHA,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,15.8,9.45,16,4,11,22
148420,2012,2011-12,1610612739,Cleveland Cavaliers,200797,Ryan Hollins,C,C,01-03-2012,21100076,CLE,CHA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.65,0,4,11,46
148428,2012,2011-12,1610612766,Charlotte Bobcats,202689,Kemba Walker,G,PG,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,9.5,11.05,11,3,0,0
148446,2012,2011-12,1610612766,Charlotte Bobcats,201957,Byron Mullens,C,C,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,5.85,1,3,0,13
148449,2012,2011-12,1610612766,Charlotte Bobcats,201957,Byron Mullens,C,C,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,13.1,11.95,14,3,0,17
148455,2012,2011-12,1610612766,Charlotte Bobcats,202689,Kemba Walker,G,PG,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.9,23.05,25,3,0,36
148457,2012,2011-12,1610612739,Cleveland Cavaliers,202684,Tristan Thompson,F,PF,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,5.4,17.55,13,3,0,43
148459,2012,2011-12,1610612766,Charlotte Bobcats,201957,Byron Mullens,C,C,01-03-2012,21100076,CLE,CHA,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,13.9,13.75,16,3,1,0
148463,2012,2011-12,1610612766,Charlotte Bobcats,202687,Bismack Biyombo,C,C,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,4.9,12.15,8,3,1,34
148466,2012,2011-12,1610612766,Charlotte Bobcats,201957,Byron Mullens,C,C,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,17.4,8.05,17,3,1,48
148472,2012,2011-12,1610612739,Cleveland Cavaliers,202087,Alonzo Gee,G,SG,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-7.8,8.65,8,3,2,1
148477,2012,2011-12,1610612739,Cleveland Cavaliers,202087,Alonzo Gee,G,SG,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-7.0,10.55,8,3,2,6
148479,2012,2011-12,1610612766,Charlotte Bobcats,202687,Bismack Biyombo,C,C,01-03-2012,21100076,CLE,CHA,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,5.05,0,3,2,21
148496,2012,2011-12,1610612739,Cleveland Cavaliers,202684,Tristan Thompson,F,PF,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-12.7,8.25,13,3,2,42
148499,2012,2011-12,1610612766,Charlotte Bobcats,201957,Byron Mullens,C,C,01-03-2012,21100076,CLE,CHA,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,3.85,1,3,3,6
148501,2012,2011-12,1610612766,Charlotte Bobcats,201957,Byron Mullens,C,C,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,6.75,2,3,3,7
148510,2012,2011-12,1610612739,Cleveland Cavaliers,1712,Antawn Jamison,F,PF,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,14.2,11.05,15,3,3,19
148512,2012,2011-12,1610612739,Cleveland Cavaliers,1712,Antawn Jamison,F,PF,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.2,10.85,5,3,3,23
148517,2012,2011-12,1610612766,Charlotte Bobcats,201945,Gerald Henderson,G,SG,01-03-2012,21100076,CLE,CHA,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,5.25,1,3,3,43
148526,2012,2011-12,1610612766,Charlotte Bobcats,201571,D.J. Augustin,G,PG,01-03-2012,21100076,CLE,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,1.9,9.15,4,3,3,48
148531,2012,2011-12,1610612739,Cleveland Cavaliers,202087,Alonzo Gee,G,SG,01-03-2012,21100076,CLE,CHA,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,5.25,0,3,4,11
148536,2012,2011-12,1610612766,Charlotte Bobcats,1894,Corey Maggette,F,SF,01-03-2012,21100076,CLE,CHA,Made Shot,True,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,4.25,1,3,4,19
