,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
142195,2012,2011-12,1610612741,Chicago Bulls,2243,Brian Scalabrine,F,PF,01-07-2012,21100110,ATL,CHI,Made Shot,True,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.05,0,4,0,2
142197,2012,2011-12,1610612741,Chicago Bulls,101249,John Lucas III,G,PG,01-07-2012,21100110,ATL,CHI,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.3,5.35,0,4,0,2
142203,2012,2011-12,1610612737,Atlanta Hawks,201274,Ivan Johnson,F,PF,01-07-2012,21100110,ATL,CHI,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.1,5.35,2,4,0,8
142227,2012,2011-12,1610612737,Atlanta Hawks,711,Jerry Stackhouse,F,SF,01-07-2012,21100110,ATL,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-17.7,15.15,20,4,0,39
142231,2012,2011-12,1610612741,Chicago Bulls,2594,Kyle Korver,G,SG,01-07-2012,21100110,ATL,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-18.7,3.15,18,4,0,47
142275,2012,2011-12,1610612737,Atlanta Hawks,2584,Willie Green,G,SG,01-07-2012,21100110,ATL,CHI,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,5.55,1,4,1,30
142281,2012,2011-12,1610612741,Chicago Bulls,2243,Brian Scalabrine,F,PF,01-07-2012,21100110,ATL,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.2,10.55,5,4,1,37
142283,2012,2011-12,1610612737,Atlanta Hawks,201952,Jeff Teague,G,PG,01-07-2012,21100110,ATL,CHI,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.5,5.35,1,4,1,53
142288,2012,2011-12,1610612741,Chicago Bulls,101249,John Lucas III,G,PG,01-07-2012,21100110,ATL,CHI,Missed Shot,False,Running Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-12.9,5.55,12,4,2,3
142294,2012,2011-12,1610612737,Atlanta Hawks,201143,Al Horford,C,C,01-07-2012,21100110,ATL,CHI,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-14.1,18.35,19,4,2,19
