,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
155123,2012,2011-12,1610612741,Chicago Bulls,201565,Derrick Rose,G,PG,12-29-2011,21100036,SAC,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,11.1,14.65,14,4,0,9
155124,2012,2011-12,1610612758,Sacramento Kings,201977,Marcus Thornton,G,SG,12-29-2011,21100036,SAC,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-15.7,17.15,19,4,0,34
155128,2012,2011-12,1610612758,Sacramento Kings,201936,Tyreke Evans,G,SG,12-29-2011,21100036,SAC,CHI,Made Shot,True,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-3.9,6.75,4,4,0,48
155132,2012,2011-12,1610612758,Sacramento Kings,202690,Jimmer Fredette,G,PG,12-29-2011,21100036,SAC,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.1,14.35,12,4,0,59
155139,2012,2011-12,1610612758,Sacramento Kings,2422,John Salmons,F,SF,12-29-2011,21100036,SAC,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.7,7.25,23,4,1,21
155147,2012,2011-12,1610612741,Chicago Bulls,2430,Carlos Boozer,F,PF,12-29-2011,21100036,SAC,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,17.2,9.95,17,4,1,51
155148,2012,2011-12,1610612758,Sacramento Kings,201581,JJ Hickson,F,PF,12-29-2011,21100036,SAC,CHI,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,5.25,0,4,2,7
155151,2012,2011-12,1610612758,Sacramento Kings,201581,JJ Hickson,F,PF,12-29-2011,21100036,SAC,CHI,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,6.75,1,4,2,9
155162,2012,2011-12,1610612741,Chicago Bulls,1888,Richard Hamilton,G,SG,12-29-2011,21100036,SAC,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,2.7,28.25,23,4,2,26
155164,2012,2011-12,1610612758,Sacramento Kings,201936,Tyreke Evans,G,SG,12-29-2011,21100036,SAC,CHI,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,6.15,0,4,2,53
155170,2012,2011-12,1610612741,Chicago Bulls,2430,Carlos Boozer,F,PF,12-29-2011,21100036,SAC,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-21.1,7.85,21,4,3,33
