,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
27109,2012,2011-12,1610612765,Detroit Pistons,101198,Will Bynum,G,PG,04-06-2012,21100818,ATL,DET,Missed Shot,False,Jump Shot,3PT Field Goal,Backcourt,Back Court,BC,Back Court Shot,17.2,55.95,53,4,0,0
27118,2012,2011-12,1610612765,Detroit Pistons,201155,Rodney Stuckey,G,SG,04-06-2012,21100818,ATL,DET,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.3,27.65,25,4,0,3
27121,2012,2011-12,1610612765,Detroit Pistons,201973,Jonas Jerebko,F,PF,04-06-2012,21100818,ATL,DET,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.75,0,4,0,10
27126,2012,2011-12,1610612765,Detroit Pistons,101198,Will Bynum,G,PG,04-06-2012,21100818,ATL,DET,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,5.65,0,4,0,11
27146,2012,2011-12,1610612765,Detroit Pistons,101198,Will Bynum,G,PG,04-06-2012,21100818,ATL,DET,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.5,5.25,1,4,0,21
27151,2012,2011-12,1610612737,Atlanta Hawks,2207,Joe Johnson,G,SG,04-06-2012,21100818,ATL,DET,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-16.6,17.15,20,4,0,39
27160,2012,2011-12,1610612765,Detroit Pistons,202328,Greg Monroe,C,C,04-06-2012,21100818,ATL,DET,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,9.2,20.15,17,4,0,55
27164,2012,2011-12,1610612765,Detroit Pistons,201155,Rodney Stuckey,G,SG,04-06-2012,21100818,ATL,DET,Missed Shot,False,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.95,0,4,0,59
27168,2012,2011-12,1610612765,Detroit Pistons,201973,Jonas Jerebko,F,PF,04-06-2012,21100818,ATL,DET,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-1.8,15.45,10,4,1,1
27173,2012,2011-12,1610612737,Atlanta Hawks,201274,Ivan Johnson,F,PF,04-06-2012,21100818,ATL,DET,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,5.55,0,4,1,20
27175,2012,2011-12,1610612765,Detroit Pistons,201155,Rodney Stuckey,G,SG,04-06-2012,21100818,ATL,DET,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.4,5.35,2,4,1,38
27179,2012,2011-12,1610612737,Atlanta Hawks,2746,Josh Smith,F,PF,04-06-2012,21100818,ATL,DET,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-20.1,13.25,21,4,2,0
27190,2012,2011-12,1610612737,Atlanta Hawks,2746,Josh Smith,F,PF,04-06-2012,21100818,ATL,DET,Missed Shot,False,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,5.85,0,4,2,29
27196,2012,2011-12,1610612737,Atlanta Hawks,201952,Jeff Teague,G,PG,04-06-2012,21100818,ATL,DET,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,6.75,2,4,2,32
27198,2012,2011-12,1610612765,Detroit Pistons,2419,Tayshaun Prince,F,SF,04-06-2012,21100818,ATL,DET,Made Shot,True,Running Slam Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,5.85,0,4,2,51
