,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
127155,2012,2011-12,1610612765,Detroit Pistons,2732,Ben Gordon,G,SG,01-18-2012,21100210,MIN,DET,Missed Shot,False,Running Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.1,5.85,9,4,0,27
127169,2012,2011-12,1610612765,Detroit Pistons,2732,Ben Gordon,G,SG,01-18-2012,21100210,MIN,DET,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.5,9.15,10,4,0,40
127174,2012,2011-12,1610612750,Minnesota Timberwolves,201567,Kevin Love,F,PF,01-18-2012,21100210,MIN,DET,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,4.25,1,4,1,1
127187,2012,2011-12,1610612765,Detroit Pistons,201973,Jonas Jerebko,F,PF,01-18-2012,21100210,MIN,DET,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.7,23.55,25,4,1,19
127188,2012,2011-12,1610612750,Minnesota Timberwolves,201937,Ricky Rubio,G,PG,01-18-2012,21100210,MIN,DET,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,5.05,1,4,1,30
127197,2012,2011-12,1610612765,Detroit Pistons,2732,Ben Gordon,G,SG,01-18-2012,21100210,MIN,DET,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-2.8,24.75,19,4,2,15
127220,2012,2011-12,1610612750,Minnesota Timberwolves,201937,Ricky Rubio,G,PG,01-18-2012,21100210,MIN,DET,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.2,29.95,24,4,3,21
127222,2012,2011-12,1610612765,Detroit Pistons,2419,Tayshaun Prince,F,SF,01-18-2012,21100210,MIN,DET,Made Shot,True,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,5.6,14.35,10,4,3,47
127235,2012,2011-12,1610612765,Detroit Pistons,202328,Greg Monroe,C,C,01-18-2012,21100210,MIN,DET,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-16.3,9.15,16,4,4,1
127241,2012,2011-12,1610612750,Minnesota Timberwolves,201961,Wayne Ellington,G,SG,01-18-2012,21100210,MIN,DET,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.6,23.85,24,4,4,22
