,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
117971,2012,2011-12,1610612745,Houston Rockets,2449,Luis Scola,F,PF,01-25-2012,21100262,HOU,MIL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-3.6,6.75,3,4,0,10
117975,2012,2011-12,1610612745,Houston Rockets,200768,Kyle Lowry,G,PG,01-25-2012,21100262,HOU,MIL,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.4,33.55,30,4,0,17
117985,2012,2011-12,1610612745,Houston Rockets,200768,Kyle Lowry,G,PG,01-25-2012,21100262,HOU,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.4,30.15,27,4,0,24
118003,2012,2011-12,1610612745,Houston Rockets,202718,Chandler Parsons,F,SF,01-25-2012,21100262,HOU,MIL,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,6.35,1,4,0,27
118009,2012,2011-12,1610612745,Houston Rockets,2755,Kevin Martin,G,SG,01-25-2012,21100262,HOU,MIL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-3.9,6.65,4,4,0,29
118034,2012,2011-12,1610612749,Milwaukee Bucks,1536,Stephen Jackson,F,SF,01-25-2012,21100262,HOU,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.8,27.95,25,4,0,56
118051,2012,2011-12,1610612745,Houston Rockets,201609,Goran Dragic,G,PG,01-25-2012,21100262,HOU,MIL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,5.65,1,4,1,14
118058,2012,2011-12,1610612749,Milwaukee Bucks,201943,Brandon Jennings,G,PG,01-25-2012,21100262,HOU,MIL,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,3.0,11.85,7,4,1,19
118063,2012,2011-12,1610612745,Houston Rockets,200768,Kyle Lowry,G,PG,01-25-2012,21100262,HOU,MIL,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.1,29.35,26,4,1,38
118067,2012,2011-12,1610612749,Milwaukee Bucks,101141,Ersan Ilyasova,F,PF,01-25-2012,21100262,HOU,MIL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.3,5.55,1,4,1,45
118070,2012,2011-12,1610612745,Houston Rockets,202718,Chandler Parsons,F,SF,01-25-2012,21100262,HOU,MIL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,6.75,1,4,2,7
118078,2012,2011-12,1610612745,Houston Rockets,2755,Kevin Martin,G,SG,01-25-2012,21100262,HOU,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.9,25.25,24,4,2,34
118083,2012,2011-12,1610612749,Milwaukee Bucks,1536,Stephen Jackson,F,SF,01-25-2012,21100262,HOU,MIL,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.5,12.15,11,4,2,42
