,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
27081,2012,2011-12,1610612747,Los Angeles Lakers,977,Kobe Bryant,G,SG,04-06-2012,21100825,LAL,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.4,26.65,27,4,0,2
27082,2012,2011-12,1610612747,Los Angeles Lakers,201196,Ramon Sessions,G,PG,04-06-2012,21100825,LAL,HOU,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-18.9,6.65,18,4,0,4
27083,2012,2011-12,1610612747,Los Angeles Lakers,201196,Ramon Sessions,G,PG,04-06-2012,21100825,LAL,HOU,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-5.4,12.75,9,4,0,7
27084,2012,2011-12,1610612747,Los Angeles Lakers,977,Kobe Bryant,G,SG,04-06-2012,21100825,LAL,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.7,3.35,23,4,0,10
27090,2012,2011-12,1610612745,Houston Rockets,201609,Goran Dragic,G,PG,04-06-2012,21100825,LAL,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.1,7.25,23,4,0,28
27091,2012,2011-12,1610612747,Los Angeles Lakers,977,Kobe Bryant,G,SG,04-06-2012,21100825,LAL,HOU,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,6.95,1,4,0,48
27095,2012,2011-12,1610612745,Houston Rockets,201609,Goran Dragic,G,PG,04-06-2012,21100825,LAL,HOU,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.8,7.75,3,4,0,55
27097,2012,2011-12,1610612747,Los Angeles Lakers,977,Kobe Bryant,G,SG,04-06-2012,21100825,LAL,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.6,21.25,25,4,1,1
27098,2012,2011-12,1610612745,Houston Rockets,201609,Goran Dragic,G,PG,04-06-2012,21100825,LAL,HOU,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,6.45,1,4,1,8
27103,2012,2011-12,1610612747,Los Angeles Lakers,2200,Pau Gasol,F,PF,04-06-2012,21100825,LAL,HOU,Made Shot,True,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.5,7.75,2,4,1,19
