,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
29581,2012,2011-12,1610612763,Memphis Grizzlies,201564,O.J. Mayo,G,SG,04-04-2012,21100807,DAL,MEM,Missed Shot,False,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.35,0,4,0,23
29610,2012,2011-12,1610612763,Memphis Grizzlies,201564,O.J. Mayo,G,SG,04-04-2012,21100807,DAL,MEM,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.1,22.75,24,4,0,44
29615,2012,2011-12,1610612742,Dallas Mavericks,1890,Shawn Marion,F,SF,04-04-2012,21100807,DAL,MEM,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,5.05,0,4,0,50
29625,2012,2011-12,1610612742,Dallas Mavericks,201958,Rodrigue Beaubois,G,PG,04-04-2012,21100807,DAL,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.6,4.15,22,4,1,4
29646,2012,2011-12,1610612742,Dallas Mavericks,1891,Jason Terry,G,SG,04-04-2012,21100807,DAL,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-9.9,27.65,24,4,1,51
29650,2012,2011-12,1610612763,Memphis Grizzlies,201967,Dante Cunningham,F,PF,04-04-2012,21100807,DAL,MEM,Made Shot,True,Running Slam Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,5.35,0,4,2,20
29658,2012,2011-12,1610612742,Dallas Mavericks,201958,Rodrigue Beaubois,G,PG,04-04-2012,21100807,DAL,MEM,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,4.95,1,4,2,33
29659,2012,2011-12,1610612763,Memphis Grizzlies,201564,O.J. Mayo,G,SG,04-04-2012,21100807,DAL,MEM,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.4,15.95,24,4,2,49
29680,2012,2011-12,1610612742,Dallas Mavericks,1890,Shawn Marion,F,SF,04-04-2012,21100807,DAL,MEM,Made Shot,True,Running Slam Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,5.65,0,4,3,1
29690,2012,2011-12,1610612763,Memphis Grizzlies,200752,Rudy Gay,F,SF,04-04-2012,21100807,DAL,MEM,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,5.4,13.75,10,4,3,6
29696,2012,2011-12,1610612763,Memphis Grizzlies,201564,O.J. Mayo,G,SG,04-04-2012,21100807,DAL,MEM,Missed Shot,False,Driving Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,9.3,9.35,10,4,3,13
29703,2012,2011-12,1610612742,Dallas Mavericks,1891,Jason Terry,G,SG,04-04-2012,21100807,DAL,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.0,21.65,25,4,3,24
