,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
114531,2012,2011-12,1610612763,Memphis Grizzlies,201144,Mike Conley,G,PG,01-28-2012,21100290,PHX,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,20.1,28.05,30,4,0,0
114532,2012,2011-12,1610612763,Memphis Grizzlies,200752,Rudy Gay,F,SF,01-28-2012,21100290,PHX,MEM,Made Shot,True,Running Bank shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.8,7.15,5,4,0,23
114533,2012,2011-12,1610612763,Memphis Grizzlies,201967,Dante Cunningham,F,PF,01-28-2012,21100290,PHX,MEM,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-13.3,17.35,17,4,0,30
114535,2012,2011-12,1610612756,Phoenix Suns,101162,Marcin Gortat,C,C,01-28-2012,21100290,PHX,MEM,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.9,10.55,10,4,0,52
114536,2012,2011-12,1610612763,Memphis Grizzlies,201967,Dante Cunningham,F,PF,01-28-2012,21100290,PHX,MEM,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,5.55,0,4,1,24
114537,2012,2011-12,1610612756,Phoenix Suns,959,Steve Nash,G,PG,01-28-2012,21100290,PHX,MEM,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.5,24.65,19,4,1,43
114538,2012,2011-12,1610612763,Memphis Grizzlies,201188,Marc Gasol,C,C,01-28-2012,21100290,PHX,MEM,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.2,12.65,7,4,2,1
114540,2012,2011-12,1610612763,Memphis Grizzlies,200752,Rudy Gay,F,SF,01-28-2012,21100290,PHX,MEM,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,4.5,15.75,11,4,2,34
114541,2012,2011-12,1610612756,Phoenix Suns,255,Grant Hill,F,SF,01-28-2012,21100290,PHX,MEM,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.9,11.05,23,4,2,59
114543,2012,2011-12,1610612763,Memphis Grizzlies,200752,Rudy Gay,F,SF,01-28-2012,21100290,PHX,MEM,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-15.4,8.05,15,4,3,24
