,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
157698,2012,2011-12,1610612751,New Jersey Nets,202705,MarShon Brooks,G,SG,12-27-2011,21100018,NJN,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-8.3,28.25,24,4,0,12
157699,2012,2011-12,1610612737,Atlanta Hawks,2209,Vladimir Radmanovic,F,SF,12-27-2011,21100018,NJN,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.3,26.95,25,4,0,29
157703,2012,2011-12,1610612751,New Jersey Nets,202178,Sundiata Gaines,G,SG,12-27-2011,21100018,NJN,ATL,Made Shot,True,Running Bank shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,12.8,12.35,14,4,0,45
157705,2012,2011-12,1610612737,Atlanta Hawks,2584,Willie Green,G,SG,12-27-2011,21100018,NJN,ATL,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.3,3.65,23,4,0,55
157707,2012,2011-12,1610612751,New Jersey Nets,202862,Dennis Horner,F,PF,12-27-2011,21100018,NJN,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.1,3.95,23,4,1,13
157711,2012,2011-12,1610612737,Atlanta Hawks,2584,Willie Green,G,SG,12-27-2011,21100018,NJN,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,16.4,20.85,22,4,1,20
157715,2012,2011-12,1610612751,New Jersey Nets,2246,Mehmet Okur,C,C,12-27-2011,21100018,NJN,ATL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.8,23.15,23,4,1,34
157720,2012,2011-12,1610612737,Atlanta Hawks,711,Jerry Stackhouse,F,SF,12-27-2011,21100018,NJN,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.0,26.05,25,4,1,54
157722,2012,2011-12,1610612751,New Jersey Nets,2246,Mehmet Okur,C,C,12-27-2011,21100018,NJN,ATL,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,9.3,7.85,9,4,2,14
157728,2012,2011-12,1610612751,New Jersey Nets,202862,Dennis Horner,F,PF,12-27-2011,21100018,NJN,ATL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-3.1,6.35,3,4,2,39
157730,2012,2011-12,1610612737,Atlanta Hawks,201274,Ivan Johnson,F,PF,12-27-2011,21100018,NJN,ATL,Made Shot,True,Running Bank shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,7.3,7.45,7,4,3,2
