,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
61167,2012,2011-12,1610612751,New Jersey Nets,202178,Sundiata Gaines,G,SG,03-12-2012,21100611,NJN,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.7,27.65,25,4,0,3
61175,2012,2011-12,1610612751,New Jersey Nets,201627,Anthony Morrow,G,SG,03-12-2012,21100611,NJN,MIL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.0,6.15,2,4,0,11
61186,2012,2011-12,1610612751,New Jersey Nets,200770,Jordan Farmar,G,PG,03-12-2012,21100611,NJN,MIL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,6.45,1,4,0,25
61189,2012,2011-12,1610612749,Milwaukee Bucks,201943,Brandon Jennings,G,PG,03-12-2012,21100611,NJN,MIL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.1,5.65,2,4,0,43
61193,2012,2011-12,1610612751,New Jersey Nets,200770,Jordan Farmar,G,PG,03-12-2012,21100611,NJN,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.0,28.35,25,4,0,54
61195,2012,2011-12,1610612749,Milwaukee Bucks,2400,Drew Gooden,C,C,03-12-2012,21100611,NJN,MIL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,6.75,1,4,1,1
61201,2012,2011-12,1610612749,Milwaukee Bucks,2568,Carlos Delfino,F,SF,03-12-2012,21100611,NJN,MIL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.0,5.25,2,4,1,8
61206,2012,2011-12,1610612751,New Jersey Nets,201627,Anthony Morrow,G,SG,03-12-2012,21100611,NJN,MIL,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,6.35,1,4,1,22
61211,2012,2011-12,1610612749,Milwaukee Bucks,2399,Mike Dunleavy,F,SF,03-12-2012,21100611,NJN,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,6.65,23,4,1,30
61216,2012,2011-12,1610612749,Milwaukee Bucks,2400,Drew Gooden,C,C,03-12-2012,21100611,NJN,MIL,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,17.4,5.05,17,4,2,2
61226,2012,2011-12,1610612751,New Jersey Nets,101123,Gerald Green,F,SF,03-12-2012,21100611,NJN,MIL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-10.5,19.75,17,4,2,18
