,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
130141,2012,2011-12,1610612740,New Orleans Hornets,2549,Chris Kaman,C,C,01-16-2012,21100190,NOH,POR,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-6.4,10.25,8,4,10,36
130156,2012,2011-12,1610612740,New Orleans Hornets,201969,DaJuan Summers,F,SF,01-16-2012,21100190,NOH,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.1,5.25,23,4,0,12
130205,2012,2011-12,1610612757,Portland Trail Blazers,201587,Nicolas Batum,F,SF,01-16-2012,21100190,NOH,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.9,28.25,26,4,1,14
130208,2012,2011-12,1610612740,New Orleans Hornets,101127,Jarrett Jack,G,PG,01-16-2012,21100190,NOH,POR,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,11.2,14.65,14,4,1,33
130211,2012,2011-12,1610612757,Portland Trail Blazers,202083,Wesley Matthews,G,SG,01-16-2012,21100190,NOH,POR,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-4.3,16.45,11,4,1,45
130217,2012,2011-12,1610612740,New Orleans Hornets,101127,Jarrett Jack,G,PG,01-16-2012,21100190,NOH,POR,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.3,12.75,7,4,2,11
130222,2012,2011-12,1610612757,Portland Trail Blazers,201587,Nicolas Batum,F,SF,01-16-2012,21100190,NOH,POR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.6,26.85,26,4,2,25
130225,2012,2011-12,1610612740,New Orleans Hornets,2731,Emeka Okafor,C,C,01-16-2012,21100190,NOH,POR,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,15.2,6.65,15,4,2,45
130253,2012,2011-12,1610612740,New Orleans Hornets,101127,Jarrett Jack,G,PG,01-16-2012,21100190,NOH,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.1,27.95,27,4,3,23
130279,2012,2011-12,1610612757,Portland Trail Blazers,2037,Jamal Crawford,G,PG,01-16-2012,21100190,NOH,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.1,26.85,25,4,3,34
130310,2012,2011-12,1610612740,New Orleans Hornets,2549,Chris Kaman,C,C,01-16-2012,21100190,NOH,POR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,1.5,23.05,17,4,3,59
130312,2012,2011-12,1610612757,Portland Trail Blazers,2037,Jamal Crawford,G,PG,01-16-2012,21100190,NOH,POR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-21.4,20.35,26,4,4,20
130317,2012,2011-12,1610612740,New Orleans Hornets,2549,Chris Kaman,C,C,01-16-2012,21100190,NOH,POR,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,8.35,3,4,4,40
