,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
80013,2012,2011-12,1610612752,New York Knicks,202391,Jeremy Lin,G,PG,02-23-2012,21100499,MIA,NYK,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,5.95,0,4,0,6
80015,2012,2011-12,1610612752,New York Knicks,2747,JR Smith,G,SG,02-23-2012,21100499,MIA,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.9,14.05,13,4,0,13
80016,2012,2011-12,1610612748,Miami Heat,2547,Chris Bosh,F,PF,02-23-2012,21100499,MIA,NYK,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-5.6,19.25,15,4,0,20
80018,2012,2011-12,1610612752,New York Knicks,2546,Carmelo Anthony,F,SF,02-23-2012,21100499,MIA,NYK,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,5.95,1,4,0,52
80022,2012,2011-12,1610612752,New York Knicks,202391,Jeremy Lin,G,PG,02-23-2012,21100499,MIA,NYK,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-4.2,12.35,8,4,0,54
80023,2012,2011-12,1610612748,Miami Heat,2544,LeBron James,F,SF,02-23-2012,21100499,MIA,NYK,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.55,0,4,1,7
80024,2012,2011-12,1610612752,New York Knicks,2546,Carmelo Anthony,F,SF,02-23-2012,21100499,MIA,NYK,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,6.75,1,4,1,11
80027,2012,2011-12,1610612748,Miami Heat,2544,LeBron James,F,SF,02-23-2012,21100499,MIA,NYK,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,16.4,6.95,16,4,1,17
80028,2012,2011-12,1610612752,New York Knicks,2546,Carmelo Anthony,F,SF,02-23-2012,21100499,MIA,NYK,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,5.85,1,4,1,41
80029,2012,2011-12,1610612748,Miami Heat,2544,LeBron James,F,SF,02-23-2012,21100499,MIA,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,18.0,15.45,20,4,1,52
80031,2012,2011-12,1610612752,New York Knicks,202391,Jeremy Lin,G,PG,02-23-2012,21100499,MIA,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-7.8,20.35,16,4,2,11
80033,2012,2011-12,1610612752,New York Knicks,2747,JR Smith,G,SG,02-23-2012,21100499,MIA,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.7,24.45,26,4,2,16
80034,2012,2011-12,1610612748,Miami Heat,2547,Chris Bosh,F,PF,02-23-2012,21100499,MIA,NYK,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,7.15,2,4,2,28
80036,2012,2011-12,1610612752,New York Knicks,2747,JR Smith,G,SG,02-23-2012,21100499,MIA,NYK,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,5.95,1,4,3,18
80037,2012,2011-12,1610612748,Miami Heat,2617,Udonis Haslem,F,PF,02-23-2012,21100499,MIA,NYK,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,7.3,23.05,19,4,3,34
80038,2012,2011-12,1610612752,New York Knicks,2546,Carmelo Anthony,F,SF,02-23-2012,21100499,MIA,NYK,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-18.1,12.35,19,4,3,58
80040,2012,2011-12,1610612748,Miami Heat,2547,Chris Bosh,F,PF,02-23-2012,21100499,MIA,NYK,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-20.9,7.25,20,4,4,14
80041,2012,2011-12,1610612752,New York Knicks,2199,Tyson Chandler,C,C,02-23-2012,21100499,MIA,NYK,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.95,0,4,4,34
80044,2012,2011-12,1610612748,Miami Heat,2617,Udonis Haslem,F,PF,02-23-2012,21100499,MIA,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.4,18.45,13,4,4,54
80048,2012,2011-12,1610612752,New York Knicks,2199,Tyson Chandler,C,C,02-23-2012,21100499,MIA,NYK,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.55,0,4,5,17
80052,2012,2011-12,1610612752,New York Knicks,202391,Jeremy Lin,G,PG,02-23-2012,21100499,MIA,NYK,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.7,16.55,11,4,5,31
80055,2012,2011-12,1610612748,Miami Heat,2548,Dwyane Wade,G,SG,02-23-2012,21100499,MIA,NYK,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,5.1,13.85,9,4,5,54
80058,2012,2011-12,1610612752,New York Knicks,2546,Carmelo Anthony,F,SF,02-23-2012,21100499,MIA,NYK,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,6.45,1,4,6,13
80060,2012,2011-12,1610612748,Miami Heat,2544,LeBron James,F,SF,02-23-2012,21100499,MIA,NYK,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,14.1,21.95,21,4,6,27
80062,2012,2011-12,1610612752,New York Knicks,2546,Carmelo Anthony,F,SF,02-23-2012,21100499,MIA,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,12.5,18.65,18,4,6,47
80068,2012,2011-12,1610612748,Miami Heat,2548,Dwyane Wade,G,SG,02-23-2012,21100499,MIA,NYK,Made Shot,True,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.7,6.45,2,4,7,3
80070,2012,2011-12,1610612748,Miami Heat,2203,Shane Battier,F,SF,02-23-2012,21100499,MIA,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.8,7.45,22,4,7,6
80071,2012,2011-12,1610612752,New York Knicks,1884,Baron Davis,G,PG,02-23-2012,21100499,MIA,NYK,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.3,5.95,1,4,7,14
80072,2012,2011-12,1610612748,Miami Heat,2548,Dwyane Wade,G,SG,02-23-2012,21100499,MIA,NYK,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.1,15.35,10,4,7,22
80074,2012,2011-12,1610612752,New York Knicks,202361,Landry Fields,G,SG,02-23-2012,21100499,MIA,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,16.6,8.05,16,4,7,33
