,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
87815,2012,2011-12,1610612760,Oklahoma City Thunder,202332,Cole Aldrich,C,C,02-17-2012,21100453,OKC,GSW,Missed Shot,False,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,7.5,5.95,7,4,0,31
87817,2012,2011-12,1610612760,Oklahoma City Thunder,202351,Lazar Hayward,F,SF,02-17-2012,21100453,OKC,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.7,27.75,25,4,0,50
87818,2012,2011-12,1610612744,Golden State Warriors,201187,Dominic McGuire,F,PF,02-17-2012,21100453,OKC,GSW,Missed Shot,False,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,6.15,1,4,1,30
87828,2012,2011-12,1610612760,Oklahoma City Thunder,202385,Ryan Reid,F,PF,02-17-2012,21100453,OKC,GSW,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,13.1,19.55,19,4,2,5
87838,2012,2011-12,1610612744,Golden State Warriors,202719,Jeremy Tyler,C,C,02-17-2012,21100453,OKC,GSW,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,5.95,0,4,2,23
87842,2012,2011-12,1610612760,Oklahoma City Thunder,202332,Cole Aldrich,C,C,02-17-2012,21100453,OKC,GSW,Missed Shot,False,Hook Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.8,6.65,5,4,2,29
87845,2012,2011-12,1610612744,Golden State Warriors,202724,Charles Jenkins,G,PG,02-17-2012,21100453,OKC,GSW,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.8,8.05,5,4,2,53
87848,2012,2011-12,1610612744,Golden State Warriors,202691,Klay Thompson,G,SG,02-17-2012,21100453,OKC,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-5.9,29.05,24,4,3,1
87865,2012,2011-12,1610612744,Golden State Warriors,202691,Klay Thompson,G,SG,02-17-2012,21100453,OKC,GSW,Made Shot,True,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.1,5.25,2,4,3,48
87873,2012,2011-12,1610612744,Golden State Warriors,202691,Klay Thompson,G,SG,02-17-2012,21100453,OKC,GSW,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-2.8,24.65,19,4,4,16
87878,2012,2011-12,1610612760,Oklahoma City Thunder,202385,Ryan Reid,F,PF,02-17-2012,21100453,OKC,GSW,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-15.5,5.65,15,4,4,31
87892,2012,2011-12,1610612744,Golden State Warriors,202719,Jeremy Tyler,C,C,02-17-2012,21100453,OKC,GSW,Made Shot,True,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.8,6.35,4,4,4,51
87921,2012,2011-12,1610612744,Golden State Warriors,202874,Chris Wright,F,SF,02-17-2012,21100453,OKC,GSW,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.8,4.65,1,4,5,33
87927,2012,2011-12,1610612760,Oklahoma City Thunder,202351,Lazar Hayward,F,SF,02-17-2012,21100453,OKC,GSW,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.5,15.45,13,4,5,40
87935,2012,2011-12,1610612744,Golden State Warriors,201575,Brandon Rush,F,SF,02-17-2012,21100453,OKC,GSW,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,16.6,5.25,16,4,5,49
87937,2012,2011-12,1610612760,Oklahoma City Thunder,202704,Reggie Jackson,G,PG,02-17-2012,21100453,OKC,GSW,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,13.9,8.25,14,4,6,1
