,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
29528,2012,2011-12,1610612760,Oklahoma City Thunder,200757,Thabo Sefolosha,G,SG,04-04-2012,21100803,MIA,OKC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,18.3,24.15,26,4,0,7
29529,2012,2011-12,1610612760,Oklahoma City Thunder,201142,Kevin Durant,F,SF,04-04-2012,21100803,MIA,OKC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.5,24.75,26,4,0,16
29530,2012,2011-12,1610612748,Miami Heat,2544,LeBron James,F,SF,04-04-2012,21100803,MIA,OKC,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,17.4,5.25,17,4,0,20
29531,2012,2011-12,1610612748,Miami Heat,2547,Chris Bosh,F,PF,04-04-2012,21100803,MIA,OKC,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-12.2,21.95,20,4,1,2
29532,2012,2011-12,1610612760,Oklahoma City Thunder,201142,Kevin Durant,F,SF,04-04-2012,21100803,MIA,OKC,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,12.2,6.45,12,4,1,30
29534,2012,2011-12,1610612748,Miami Heat,2544,LeBron James,F,SF,04-04-2012,21100803,MIA,OKC,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.5,6.75,4,4,2,14
29536,2012,2011-12,1610612760,Oklahoma City Thunder,201142,Kevin Durant,F,SF,04-04-2012,21100803,MIA,OKC,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.85,0,4,2,34
29538,2012,2011-12,1610612748,Miami Heat,2617,Udonis Haslem,F,PF,04-04-2012,21100803,MIA,OKC,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,6.15,2,4,2,43
29540,2012,2011-12,1610612748,Miami Heat,2203,Shane Battier,F,SF,04-04-2012,21100803,MIA,OKC,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-24.2,6.95,24,4,2,45
29545,2012,2011-12,1610612760,Oklahoma City Thunder,201586,Serge Ibaka,F,PF,04-04-2012,21100803,MIA,OKC,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,6.45,1,4,3,15
29547,2012,2011-12,1610612760,Oklahoma City Thunder,201566,Russell Westbrook,G,PG,04-04-2012,21100803,MIA,OKC,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-7.5,5.85,7,4,3,16
29549,2012,2011-12,1610612748,Miami Heat,2544,LeBron James,F,SF,04-04-2012,21100803,MIA,OKC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.0,6.45,2,4,3,40
29553,2012,2011-12,1610612760,Oklahoma City Thunder,201935,James Harden,G,SG,04-04-2012,21100803,MIA,OKC,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,6.75,1,4,3,47
29555,2012,2011-12,1610612760,Oklahoma City Thunder,201566,Russell Westbrook,G,PG,04-04-2012,21100803,MIA,OKC,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,7.75,2,4,3,49
