,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
155208,2012,2011-12,1610612759,San Antonio Spurs,202695,Kawhi Leonard,F,SF,12-29-2011,21100034,HOU,SAS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.1,5.25,2,4,0,23
155212,2012,2011-12,1610612745,Houston Rockets,202694,Marcus Morris Sr.,F,PF,12-29-2011,21100034,HOU,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-18.1,7.55,18,4,0,41
155214,2012,2011-12,1610612759,San Antonio Spurs,202709,Cory Joseph,G,PG,12-29-2011,21100034,HOU,SAS,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-1.7,19.55,14,4,0,56
155218,2012,2011-12,1610612745,Houston Rockets,201934,Hasheem Thabeet,C,C,12-29-2011,21100034,HOU,SAS,Made Shot,True,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,6.45,1,4,1,9
155219,2012,2011-12,1610612759,San Antonio Spurs,202341,James Anderson,G,SG,12-29-2011,21100034,HOU,SAS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.3,6.35,2,4,1,31
155222,2012,2011-12,1610612745,Houston Rockets,201934,Hasheem Thabeet,C,C,12-29-2011,21100034,HOU,SAS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,5.85,1,4,1,45
155223,2012,2011-12,1610612745,Houston Rockets,201609,Goran Dragic,G,PG,12-29-2011,21100034,HOU,SAS,Missed Shot,False,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.0,7.55,3,4,1,47
155243,2012,2011-12,1610612745,Houston Rockets,202694,Marcus Morris Sr.,F,PF,12-29-2011,21100034,HOU,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.8,9.95,9,4,2,13
155246,2012,2011-12,1610612745,Houston Rockets,201944,Terrence Williams,G,SG,12-29-2011,21100034,HOU,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-10.0,19.45,17,4,2,17
155248,2012,2011-12,1610612759,San Antonio Spurs,201168,Tiago Splitter,C,C,12-29-2011,21100034,HOU,SAS,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.8,11.35,7,4,2,38
155250,2012,2011-12,1610612759,San Antonio Spurs,202709,Cory Joseph,G,PG,12-29-2011,21100034,HOU,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.2,24.25,19,4,2,42
155251,2012,2011-12,1610612745,Houston Rockets,201609,Goran Dragic,G,PG,12-29-2011,21100034,HOU,SAS,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.8,6.45,1,4,2,58
155253,2012,2011-12,1610612745,Houston Rockets,201934,Hasheem Thabeet,C,C,12-29-2011,21100034,HOU,SAS,Made Shot,True,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.85,0,4,3,22
155255,2012,2011-12,1610612759,San Antonio Spurs,202695,Kawhi Leonard,F,SF,12-29-2011,21100034,HOU,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.3,23.95,24,4,3,40
155256,2012,2011-12,1610612745,Houston Rockets,201609,Goran Dragic,G,PG,12-29-2011,21100034,HOU,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.8,7.45,22,4,3,53
155259,2012,2011-12,1610612759,San Antonio Spurs,2210,Richard Jefferson,F,SF,12-29-2011,21100034,HOU,SAS,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,8.35,3,4,4,7
155266,2012,2011-12,1610612745,Houston Rockets,202694,Marcus Morris Sr.,F,PF,12-29-2011,21100034,HOU,SAS,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.4,7.25,2,4,5,12
155276,2012,2011-12,1610612745,Houston Rockets,201609,Goran Dragic,G,PG,12-29-2011,21100034,HOU,SAS,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.5,6.45,1,4,4,21
155278,2012,2011-12,1610612759,San Antonio Spurs,201971,DeJuan Blair,F,PF,12-29-2011,21100034,HOU,SAS,Made Shot,True,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.9,6.75,3,4,4,36
155282,2012,2011-12,1610612759,San Antonio Spurs,2210,Richard Jefferson,F,SF,12-29-2011,21100034,HOU,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,18.2,23.05,25,4,4,54
155284,2012,2011-12,1610612745,Houston Rockets,2223,Samuel Dalembert,C,C,12-29-2011,21100034,HOU,SAS,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.8,6.95,1,4,5,12
155285,2012,2011-12,1610612759,San Antonio Spurs,2210,Richard Jefferson,F,SF,12-29-2011,21100034,HOU,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.3,25.35,25,4,5,32
155289,2012,2011-12,1610612745,Houston Rockets,202694,Marcus Morris Sr.,F,PF,12-29-2011,21100034,HOU,SAS,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,4.8,25.75,21,4,5,48
155293,2012,2011-12,1610612759,San Antonio Spurs,201971,DeJuan Blair,F,PF,12-29-2011,21100034,HOU,SAS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.8,8.05,2,4,6,4
155296,2012,2011-12,1610612759,San Antonio Spurs,2210,Richard Jefferson,F,SF,12-29-2011,21100034,HOU,SAS,Missed Shot,False,Running Bank shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.8,13.55,12,4,6,6
155297,2012,2011-12,1610612745,Houston Rockets,201944,Terrence Williams,G,SG,12-29-2011,21100034,HOU,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,6.2,29.05,24,4,6,30
155298,2012,2011-12,1610612759,San Antonio Spurs,201980,Danny Green,G,SG,12-29-2011,21100034,HOU,SAS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.3,6.65,1,4,6,54
155313,2012,2011-12,1610612745,Houston Rockets,201944,Terrence Williams,G,SG,12-29-2011,21100034,HOU,SAS,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-12.7,15.95,16,4,7,9
155316,2012,2011-12,1610612759,San Antonio Spurs,201980,Danny Green,G,SG,12-29-2011,21100034,HOU,SAS,Made Shot,True,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,6.15,1,4,7,25
155318,2012,2011-12,1610612759,San Antonio Spurs,201971,DeJuan Blair,F,PF,12-29-2011,21100034,HOU,SAS,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,8.9,7.45,9,4,7,26
155324,2012,2011-12,1610612759,San Antonio Spurs,201980,Danny Green,G,SG,12-29-2011,21100034,HOU,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-9.1,28.35,24,4,7,38
155335,2012,2011-12,1610612745,Houston Rockets,201609,Goran Dragic,G,PG,12-29-2011,21100034,HOU,SAS,Made Shot,True,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.9,9.95,10,4,8,18
155337,2012,2011-12,1610612759,San Antonio Spurs,201971,DeJuan Blair,F,PF,12-29-2011,21100034,HOU,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,6.2,14.15,10,4,8,42
155342,2012,2011-12,1610612745,Houston Rockets,201944,Terrence Williams,G,SG,12-29-2011,21100034,HOU,SAS,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.3,24.45,25,4,9,8
155346,2012,2011-12,1610612759,San Antonio Spurs,2210,Richard Jefferson,F,SF,12-29-2011,21100034,HOU,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,1.8,25.25,20,4,9,24
155351,2012,2011-12,1610612745,Houston Rockets,201584,Courtney Lee,G,SG,12-29-2011,21100034,HOU,SAS,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-21.8,10.85,22,4,9,36
155372,2012,2011-12,1610612745,Houston Rockets,201941,Jordan Hill,C,C,12-29-2011,21100034,HOU,SAS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,6.65,1,4,10,4
155375,2012,2011-12,1610612759,San Antonio Spurs,202341,James Anderson,G,SG,12-29-2011,21100034,HOU,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-21.7,17.95,25,4,10,17
155382,2012,2011-12,1610612745,Houston Rockets,201609,Goran Dragic,G,PG,12-29-2011,21100034,HOU,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.0,27.45,25,4,10,33
155384,2012,2011-12,1610612759,San Antonio Spurs,201980,Danny Green,G,SG,12-29-2011,21100034,HOU,SAS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.9,6.35,2,4,10,59
155389,2012,2011-12,1610612745,Houston Rockets,201609,Goran Dragic,G,PG,12-29-2011,21100034,HOU,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.4,13.55,8,4,11,3
155396,2012,2011-12,1610612745,Houston Rockets,202718,Chandler Parsons,F,SF,12-29-2011,21100034,HOU,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.7,26.35,25,4,11,45
155405,2012,2011-12,1610612759,San Antonio Spurs,2210,Richard Jefferson,F,SF,12-29-2011,21100034,HOU,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,4.1,20.65,15,3,0,1
155409,2012,2011-12,1610612759,San Antonio Spurs,202709,Cory Joseph,G,PG,12-29-2011,21100034,HOU,SAS,Missed Shot,False,Running Bank shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,6.4,8.85,7,3,0,12
155414,2012,2011-12,1610612745,Houston Rockets,201609,Goran Dragic,G,PG,12-29-2011,21100034,HOU,SAS,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-17.0,14.15,19,3,0,34
155417,2012,2011-12,1610612759,San Antonio Spurs,201980,Danny Green,G,SG,12-29-2011,21100034,HOU,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.9,7.55,23,3,0,48
155418,2012,2011-12,1610612745,Houston Rockets,201584,Courtney Lee,G,SG,12-29-2011,21100034,HOU,SAS,Made Shot,True,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-3.2,14.35,9,3,1,1
155423,2012,2011-12,1610612759,San Antonio Spurs,202709,Cory Joseph,G,PG,12-29-2011,21100034,HOU,SAS,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,11.1,17.95,16,3,1,9
