,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
124926,2012,2011-12,1610612759,San Antonio Spurs,201980,Danny Green,G,SG,01-20-2012,21100224,SAS,SAC,Missed Shot,False,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.0,8.95,4,4,0,1
124940,2012,2011-12,1610612758,Sacramento Kings,201977,Marcus Thornton,G,SG,01-20-2012,21100224,SAS,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,1.1,24.45,19,4,0,7
124948,2012,2011-12,1610612759,San Antonio Spurs,201168,Tiago Splitter,C,C,01-20-2012,21100224,SAS,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.4,9.65,4,4,0,32
124950,2012,2011-12,1610612758,Sacramento Kings,201936,Tyreke Evans,G,SG,01-20-2012,21100224,SAS,SAC,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-16.3,20.05,22,4,0,47
124952,2012,2011-12,1610612759,San Antonio Spurs,202390,Gary Neal,G,SG,01-20-2012,21100224,SAS,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.1,18.65,17,4,1,7
124955,2012,2011-12,1610612758,Sacramento Kings,2422,John Salmons,F,SF,01-20-2012,21100224,SAS,SAC,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-5.1,11.95,8,4,1,23
124959,2012,2011-12,1610612759,San Antonio Spurs,201980,Danny Green,G,SG,01-20-2012,21100224,SAS,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.8,20.65,25,4,1,41
124960,2012,2011-12,1610612758,Sacramento Kings,2422,John Salmons,F,SF,01-20-2012,21100224,SAS,SAC,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,15.3,19.05,20,4,2,12
124969,2012,2011-12,1610612758,Sacramento Kings,201936,Tyreke Evans,G,SG,01-20-2012,21100224,SAS,SAC,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.95,0,4,2,47
124972,2012,2011-12,1610612759,San Antonio Spurs,201980,Danny Green,G,SG,01-20-2012,21100224,SAS,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.9,6.35,23,4,3,1
124974,2012,2011-12,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,01-20-2012,21100224,SAS,SAC,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,4.75,1,4,3,22
124979,2012,2011-12,1610612758,Sacramento Kings,101128,Francisco Garcia,F,SF,01-20-2012,21100224,SAS,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-24.4,6.95,24,4,3,25
124989,2012,2011-12,1610612759,San Antonio Spurs,2225,Tony Parker,G,PG,01-20-2012,21100224,SAS,SAC,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-14.6,19.85,20,4,3,51
124998,2012,2011-12,1610612759,San Antonio Spurs,201168,Tiago Splitter,C,C,01-20-2012,21100224,SAS,SAC,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.9,5.35,2,4,4,19
125006,2012,2011-12,1610612759,San Antonio Spurs,2225,Tony Parker,G,PG,01-20-2012,21100224,SAS,SAC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,18.3,21.65,24,4,4,57
125012,2012,2011-12,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,01-20-2012,21100224,SAS,SAC,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,4.75,1,4,5,16
125014,2012,2011-12,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,01-20-2012,21100224,SAS,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,3.4,6.35,3,4,5,17
125016,2012,2011-12,1610612759,San Antonio Spurs,2588,Matt Bonner,F,PF,01-20-2012,21100224,SAS,SAC,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.4,12.15,24,4,5,40
125025,2012,2011-12,1610612758,Sacramento Kings,201936,Tyreke Evans,G,SG,01-20-2012,21100224,SAS,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-16.0,11.85,17,4,5,56
125029,2012,2011-12,1610612758,Sacramento Kings,201936,Tyreke Evans,G,SG,01-20-2012,21100224,SAS,SAC,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.0,5.65,2,4,6,5
125048,2012,2011-12,1610612759,San Antonio Spurs,2225,Tony Parker,G,PG,01-20-2012,21100224,SAS,SAC,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.5,5.95,1,4,6,34
125053,2012,2011-12,1610612758,Sacramento Kings,202738,Isaiah Thomas,G,PG,01-20-2012,21100224,SAS,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.6,6.15,23,4,6,38
125057,2012,2011-12,1610612759,San Antonio Spurs,2588,Matt Bonner,F,PF,01-20-2012,21100224,SAS,SAC,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,6.45,2,4,7,1
125085,2012,2011-12,1610612758,Sacramento Kings,201977,Marcus Thornton,G,SG,01-20-2012,21100224,SAS,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-9.9,22.05,19,4,7,40
125093,2012,2011-12,1610612759,San Antonio Spurs,2225,Tony Parker,G,PG,01-20-2012,21100224,SAS,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,14.9,14.95,17,4,7,58
125098,2012,2011-12,1610612758,Sacramento Kings,201977,Marcus Thornton,G,SG,01-20-2012,21100224,SAS,SAC,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-13.5,21.15,20,4,8,11
