,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
53942,2012,2011-12,1610612761,Toronto Raptors,201942,DeMar DeRozan,G,SG,03-17-2012,21100655,CHA,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.0,26.15,28,4,0,4
53956,2012,2011-12,1610612761,Toronto Raptors,201573,Jerryd Bayless,G,PG,03-17-2012,21100655,CHA,TOR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,5.2,29.65,24,4,0,11
53959,2012,2011-12,1610612761,Toronto Raptors,201814,Gary Forbes,G,SG,03-17-2012,21100655,CHA,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.6,24.75,25,4,0,16
53961,2012,2011-12,1610612761,Toronto Raptors,201573,Jerryd Bayless,G,PG,03-17-2012,21100655,CHA,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,1.0,31.35,26,4,0,20
53972,2012,2011-12,1610612761,Toronto Raptors,201942,DeMar DeRozan,G,SG,03-17-2012,21100655,CHA,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.9,20.55,25,4,0,29
53988,2012,2011-12,1610612761,Toronto Raptors,101161,Amir Johnson,F,PF,03-17-2012,21100655,CHA,TOR,Made Shot,True,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.25,0,4,0,44
53992,2012,2011-12,1610612761,Toronto Raptors,201942,DeMar DeRozan,G,SG,03-17-2012,21100655,CHA,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,6.4,19.55,15,4,0,44
54012,2012,2011-12,1610612761,Toronto Raptors,201573,Jerryd Bayless,G,PG,03-17-2012,21100655,CHA,TOR,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,6.35,1,4,0,53
54022,2012,2011-12,1610612761,Toronto Raptors,202334,Ed Davis,F,PF,03-17-2012,21100655,CHA,TOR,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,5.95,0,4,1,10
54029,2012,2011-12,1610612766,Charlotte Bobcats,1894,Corey Maggette,F,SF,03-17-2012,21100655,CHA,TOR,Missed Shot,False,Driving Jump shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-3.7,5.25,3,4,1,25
54032,2012,2011-12,1610612761,Toronto Raptors,201814,Gary Forbes,G,SG,03-17-2012,21100655,CHA,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.9,6.15,22,4,1,46
54041,2012,2011-12,1610612766,Charlotte Bobcats,202687,Bismack Biyombo,C,C,03-17-2012,21100655,CHA,TOR,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,6.65,2,4,2,18
54043,2012,2011-12,1610612761,Toronto Raptors,201814,Gary Forbes,G,SG,03-17-2012,21100655,CHA,TOR,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.9,7.45,24,4,2,36
54049,2012,2011-12,1610612766,Charlotte Bobcats,1894,Corey Maggette,F,SF,03-17-2012,21100655,CHA,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-18.1,11.05,19,4,2,53
54061,2012,2011-12,1610612766,Charlotte Bobcats,201945,Gerald Henderson,G,SG,03-17-2012,21100655,CHA,TOR,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,6.35,1,4,3,25
54072,2012,2011-12,1610612761,Toronto Raptors,202334,Ed Davis,F,PF,03-17-2012,21100655,CHA,TOR,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.3,5.65,1,4,3,40
54076,2012,2011-12,1610612761,Toronto Raptors,201573,Jerryd Bayless,G,PG,03-17-2012,21100655,CHA,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,16.1,18.15,20,4,3,40
54093,2012,2011-12,1610612766,Charlotte Bobcats,202687,Bismack Biyombo,C,C,03-17-2012,21100655,CHA,TOR,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,5.65,1,4,3,57
54098,2012,2011-12,1610612761,Toronto Raptors,201573,Jerryd Bayless,G,PG,03-17-2012,21100655,CHA,TOR,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.8,6.15,1,4,4,23
54104,2012,2011-12,1610612766,Charlotte Bobcats,201945,Gerald Henderson,G,SG,03-17-2012,21100655,CHA,TOR,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,4.5,25.05,20,4,4,42
54130,2012,2011-12,1610612766,Charlotte Bobcats,201945,Gerald Henderson,G,SG,03-17-2012,21100655,CHA,TOR,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-10.6,19.45,17,4,5,10
54132,2012,2011-12,1610612761,Toronto Raptors,202334,Ed Davis,F,PF,03-17-2012,21100655,CHA,TOR,Made Shot,True,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,6.95,1,4,5,38
54136,2012,2011-12,1610612761,Toronto Raptors,201573,Jerryd Bayless,G,PG,03-17-2012,21100655,CHA,TOR,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.4,5.05,2,4,5,39
54142,2012,2011-12,1610612766,Charlotte Bobcats,200748,Tyrus Thomas,F,PF,03-17-2012,21100655,CHA,TOR,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-13.6,13.25,15,4,6,2
54179,2012,2011-12,1610612766,Charlotte Bobcats,201945,Gerald Henderson,G,SG,03-17-2012,21100655,CHA,TOR,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,5.65,1,4,7,0
54188,2012,2011-12,1610612766,Charlotte Bobcats,201571,D.J. Augustin,G,PG,03-17-2012,21100655,CHA,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.9,25.55,25,4,7,26
54199,2012,2011-12,1610612761,Toronto Raptors,201573,Jerryd Bayless,G,PG,03-17-2012,21100655,CHA,TOR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.9,28.05,26,4,7,50
54212,2012,2011-12,1610612761,Toronto Raptors,201942,DeMar DeRozan,G,SG,03-17-2012,21100655,CHA,TOR,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,11.4,19.25,18,4,8,19
54220,2012,2011-12,1610612766,Charlotte Bobcats,202689,Kemba Walker,G,PG,03-17-2012,21100655,CHA,TOR,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.9,19.25,18,4,8,35
54228,2012,2011-12,1610612766,Charlotte Bobcats,202689,Kemba Walker,G,PG,03-17-2012,21100655,CHA,TOR,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.3,6.15,2,4,8,42
54229,2012,2011-12,1610612761,Toronto Raptors,201942,DeMar DeRozan,G,SG,03-17-2012,21100655,CHA,TOR,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-6.9,20.55,16,4,9,5
54236,2012,2011-12,1610612766,Charlotte Bobcats,201591,DJ White,F,PF,03-17-2012,21100655,CHA,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-16.2,8.25,16,4,9,26
54240,2012,2011-12,1610612761,Toronto Raptors,201573,Jerryd Bayless,G,PG,03-17-2012,21100655,CHA,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,14.2,16.45,18,4,9,35
54249,2012,2011-12,1610612766,Charlotte Bobcats,202689,Kemba Walker,G,PG,03-17-2012,21100655,CHA,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-2.4,23.05,17,4,9,47
54272,2012,2011-12,1610612766,Charlotte Bobcats,201957,Byron Mullens,C,C,03-17-2012,21100655,CHA,TOR,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,5.55,1,4,10,38
54273,2012,2011-12,1610612761,Toronto Raptors,201573,Jerryd Bayless,G,PG,03-17-2012,21100655,CHA,TOR,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.4,5.65,2,4,10,54
54285,2012,2011-12,1610612761,Toronto Raptors,200745,Andrea Bargnani,C,C,03-17-2012,21100655,CHA,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,1.6,31.25,26,4,11,21
54288,2012,2011-12,1610612766,Charlotte Bobcats,1894,Corey Maggette,F,SF,03-17-2012,21100655,CHA,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-20.1,8.25,20,4,11,40
54297,2012,2011-12,1610612766,Charlotte Bobcats,201571,D.J. Augustin,G,PG,03-17-2012,21100655,CHA,TOR,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,5.55,1,3,0,1
54320,2012,2011-12,1610612766,Charlotte Bobcats,1894,Corey Maggette,F,SF,03-17-2012,21100655,CHA,TOR,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,12.8,17.35,17,3,0,56
54321,2012,2011-12,1610612761,Toronto Raptors,201814,Gary Forbes,G,SG,03-17-2012,21100655,CHA,TOR,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.8,4.75,0,3,1,17
54327,2012,2011-12,1610612761,Toronto Raptors,201814,Gary Forbes,G,SG,03-17-2012,21100655,CHA,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,16.3,7.15,16,3,1,26
54342,2012,2011-12,1610612761,Toronto Raptors,201942,DeMar DeRozan,G,SG,03-17-2012,21100655,CHA,TOR,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,19.0,12.35,20,3,1,55
54363,2012,2011-12,1610612761,Toronto Raptors,201573,Jerryd Bayless,G,PG,03-17-2012,21100655,CHA,TOR,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,6.65,1,3,2,18
54365,2012,2011-12,1610612766,Charlotte Bobcats,200748,Tyrus Thomas,F,PF,03-17-2012,21100655,CHA,TOR,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,13.0,14.55,15,3,2,44
54367,2012,2011-12,1610612761,Toronto Raptors,101132,Linas Kleiza,F,SF,03-17-2012,21100655,CHA,TOR,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.4,10.25,5,3,3,4
54398,2012,2011-12,1610612766,Charlotte Bobcats,201571,D.J. Augustin,G,PG,03-17-2012,21100655,CHA,TOR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-10.2,28.35,25,3,3,47
54401,2012,2011-12,1610612761,Toronto Raptors,2048,Jamaal Magloire,C,C,03-17-2012,21100655,CHA,TOR,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.95,0,3,4,6
54410,2012,2011-12,1610612766,Charlotte Bobcats,201571,D.J. Augustin,G,PG,03-17-2012,21100655,CHA,TOR,Made Shot,True,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,2.6,9.45,4,3,4,29
54417,2012,2011-12,1610612761,Toronto Raptors,2048,Jamaal Magloire,C,C,03-17-2012,21100655,CHA,TOR,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,6.45,1,3,4,37
54420,2012,2011-12,1610612761,Toronto Raptors,200745,Andrea Bargnani,C,C,03-17-2012,21100655,CHA,TOR,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.3,6.15,1,3,4,38
54424,2012,2011-12,1610612766,Charlotte Bobcats,201945,Gerald Henderson,G,SG,03-17-2012,21100655,CHA,TOR,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-1.3,22.45,17,3,4,56
54426,2012,2011-12,1610612761,Toronto Raptors,201573,Jerryd Bayless,G,PG,03-17-2012,21100655,CHA,TOR,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,6.15,1,3,5,16
54443,2012,2011-12,1610612761,Toronto Raptors,101132,Linas Kleiza,F,SF,03-17-2012,21100655,CHA,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-10.5,7.55,10,3,5,56
54457,2012,2011-12,1610612766,Charlotte Bobcats,201571,D.J. Augustin,G,PG,03-17-2012,21100655,CHA,TOR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-3.1,29.95,24,3,6,15
