,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
22831,2012,2011-12,1610612761,Toronto Raptors,101132,Linas Kleiza,F,SF,04-09-2012,21100844,IND,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.3,29.05,27,4,0,1
22834,2012,2011-12,1610612754,Indiana Pacers,202331,Paul George,G,SG,04-09-2012,21100844,IND,TOR,Made Shot,True,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.35,0,4,0,6
22836,2012,2011-12,1610612761,Toronto Raptors,101181,Jose Calderon,G,PG,04-09-2012,21100844,IND,TOR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,6.5,31.25,26,4,0,7
22842,2012,2011-12,1610612754,Indiana Pacers,2561,David West,F,PF,04-09-2012,21100844,IND,TOR,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,5.15,0,4,0,12
22854,2012,2011-12,1610612761,Toronto Raptors,101161,Amir Johnson,F,PF,04-09-2012,21100844,IND,TOR,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.9,8.35,24,4,0,13
22867,2012,2011-12,1610612761,Toronto Raptors,101161,Amir Johnson,F,PF,04-09-2012,21100844,IND,TOR,Made Shot,True,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,7.25,2,4,0,27
22871,2012,2011-12,1610612754,Indiana Pacers,201588,George Hill,G,PG,04-09-2012,21100844,IND,TOR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.9,30.95,25,4,0,33
22894,2012,2011-12,1610612754,Indiana Pacers,2561,David West,F,PF,04-09-2012,21100844,IND,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,11.6,5.55,11,4,0,55
22896,2012,2011-12,1610612754,Indiana Pacers,2571,Leandro Barbosa,G,SG,04-09-2012,21100844,IND,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.5,28.25,26,4,1,15
22897,2012,2011-12,1610612761,Toronto Raptors,101181,Jose Calderon,G,PG,04-09-2012,21100844,IND,TOR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.7,27.25,26,4,1,28
