,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
36399,2012,2011-12,1610612762,Utah Jazz,202324,Derrick Favors,F,PF,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.8,6.35,2,4,0,0
36400,2012,2011-12,1610612762,Utah Jazz,202330,Gordon Hayward,F,SF,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,7.55,2,4,0,1
36401,2012,2011-12,1610612762,Utah Jazz,2744,Al Jefferson,C,C,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,18.5,11.55,19,4,0,37
36402,2012,2011-12,1610612758,Sacramento Kings,201977,Marcus Thornton,G,SG,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.3,25.25,24,4,0,55
36403,2012,2011-12,1610612762,Utah Jazz,2744,Al Jefferson,C,C,03-30-2012,21100766,UTA,SAC,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,5.85,1,4,1,14
36404,2012,2011-12,1610612762,Utah Jazz,2744,Al Jefferson,C,C,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.8,9.65,4,4,1,14
36405,2012,2011-12,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.0,9.65,5,4,1,39
36406,2012,2011-12,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,03-30-2012,21100766,UTA,SAC,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.9,5.35,2,4,2,20
36407,2012,2011-12,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,2.9,11.35,6,4,2,24
36408,2012,2011-12,1610612762,Utah Jazz,202692,Alec Burks,G,SG,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-1.3,19.75,14,4,2,57
36409,2012,2011-12,1610612762,Utah Jazz,200794,Paul Millsap,F,PF,03-30-2012,21100766,UTA,SAC,Made Shot,True,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,6.65,2,4,3,19
36410,2012,2011-12,1610612758,Sacramento Kings,201944,Terrence Williams,G,SG,03-30-2012,21100766,UTA,SAC,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,6.65,2,4,3,41
36411,2012,2011-12,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,3.4,9.35,5,4,3,44
36412,2012,2011-12,1610612762,Utah Jazz,2744,Al Jefferson,C,C,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,12.7,9.35,13,4,3,57
36413,2012,2011-12,1610612762,Utah Jazz,202330,Gordon Hayward,F,SF,03-30-2012,21100766,UTA,SAC,Made Shot,True,Running Bank shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.1,7.85,4,4,4,18
36414,2012,2011-12,1610612762,Utah Jazz,202692,Alec Burks,G,SG,03-30-2012,21100766,UTA,SAC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.2,25.15,25,4,4,38
36415,2012,2011-12,1610612758,Sacramento Kings,201977,Marcus Thornton,G,SG,03-30-2012,21100766,UTA,SAC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.9,24.15,24,4,5,5
36416,2012,2011-12,1610612758,Sacramento Kings,201944,Terrence Williams,G,SG,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-0.0,20.05,14,4,5,37
36417,2012,2011-12,1610612762,Utah Jazz,202692,Alec Burks,G,SG,03-30-2012,21100766,UTA,SAC,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,18.2,3.15,18,4,5,55
36419,2012,2011-12,1610612758,Sacramento Kings,101128,Francisco Garcia,F,SF,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.7,18.75,13,4,6,20
36422,2012,2011-12,1610612758,Sacramento Kings,202690,Jimmer Fredette,G,PG,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.0,32.45,27,4,6,51
36430,2012,2011-12,1610612762,Utah Jazz,2744,Al Jefferson,C,C,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,6.8,6.15,6,4,7,13
36432,2012,2011-12,1610612758,Sacramento Kings,202690,Jimmer Fredette,G,PG,03-30-2012,21100766,UTA,SAC,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-17.3,3.15,17,4,7,34
36433,2012,2011-12,1610612758,Sacramento Kings,101236,Chuck Hayes,C,C,03-30-2012,21100766,UTA,SAC,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.6,5.95,2,4,7,58
36440,2012,2011-12,1610612762,Utah Jazz,2744,Al Jefferson,C,C,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,15.7,15.15,18,4,8,24
36447,2012,2011-12,1610612758,Sacramento Kings,201944,Terrence Williams,G,SG,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-13.5,6.95,13,4,8,47
36461,2012,2011-12,1610612762,Utah Jazz,202324,Derrick Favors,F,PF,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.2,5.65,4,4,9,37
36467,2012,2011-12,1610612758,Sacramento Kings,101236,Chuck Hayes,C,C,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.5,7.85,5,4,9,45
36476,2012,2011-12,1610612758,Sacramento Kings,201944,Terrence Williams,G,SG,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.7,26.15,24,4,10,12
36483,2012,2011-12,1610612762,Utah Jazz,202324,Derrick Favors,F,PF,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,6.75,1,4,10,21
36486,2012,2011-12,1610612762,Utah Jazz,202692,Alec Burks,G,SG,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,5.95,1,4,10,23
36488,2012,2011-12,1610612762,Utah Jazz,202683,Enes Freedom,C,C,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.8,7.45,2,4,10,24
36492,2012,2011-12,1610612762,Utah Jazz,201960,DeMarre Carroll,F,SF-PF,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,21.8,15.75,24,4,10,29
36494,2012,2011-12,1610612758,Sacramento Kings,101236,Chuck Hayes,C,C,03-30-2012,21100766,UTA,SAC,Made Shot,True,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,3.8,8.65,5,4,10,46
36519,2012,2011-12,1610612762,Utah Jazz,202324,Derrick Favors,F,PF,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,6.45,2,4,11,6
36527,2012,2011-12,1610612762,Utah Jazz,201960,DeMarre Carroll,F,SF-PF,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,5.6,11.05,8,4,11,12
36532,2012,2011-12,1610612758,Sacramento Kings,201944,Terrence Williams,G,SG,03-30-2012,21100766,UTA,SAC,Made Shot,True,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-3.9,15.45,10,4,11,19
36550,2012,2011-12,1610612762,Utah Jazz,202683,Enes Freedom,C,C,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.8,30.15,27,3,0,0
36554,2012,2011-12,1610612758,Sacramento Kings,201944,Terrence Williams,G,SG,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,20.4,4.15,20,3,0,3
36608,2012,2011-12,1610612762,Utah Jazz,2248,Earl Watson,G,PG,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-1.5,9.65,4,3,0,33
36638,2012,2011-12,1610612762,Utah Jazz,202683,Enes Freedom,C,C,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,8.95,3,3,0,44
36648,2012,2011-12,1610612762,Utah Jazz,202692,Alec Burks,G,SG,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,15.2,9.15,15,3,0,52
36659,2012,2011-12,1610612758,Sacramento Kings,201590,Donte Greene,F,PF,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.5,22.45,24,3,0,59
36686,2012,2011-12,1610612762,Utah Jazz,202330,Gordon Hayward,F,SF,03-30-2012,21100766,UTA,SAC,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.1,6.45,1,3,1,15
