,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
119969,2013,2012-13,1610612737,Atlanta Hawks,201274,Ivan Johnson,F,PF,01-05-2013,21200489,ATL,BOS,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.35,0,4,0,23
119974,2013,2012-13,1610612737,Atlanta Hawks,2746,Josh Smith,F,PF,01-05-2013,21200489,ATL,BOS,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,16.1,11.65,17,4,0,25
119981,2013,2012-13,1610612738,Boston Celtics,101138,Brandon Bass,F,PF,01-05-2013,21200489,ATL,BOS,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,15.5,8.25,15,4,0,45
119989,2013,2012-13,1610612738,Boston Celtics,200765,Rajon Rondo,G,PG,01-05-2013,21200489,ATL,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-17.3,16.45,20,4,1,13
119993,2013,2012-13,1610612737,Atlanta Hawks,101150,Lou Williams,G,SG,01-05-2013,21200489,ATL,BOS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,2.3,31.55,26,4,1,32
119995,2013,2012-13,1610612738,Boston Celtics,200765,Rajon Rondo,G,PG,01-05-2013,21200489,ATL,BOS,Made Shot,True,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.0,9.45,6,4,1,47
120006,2013,2012-13,1610612737,Atlanta Hawks,2746,Josh Smith,F,PF,01-05-2013,21200489,ATL,BOS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,5.9,29.35,24,4,2,2
120012,2013,2012-13,1610612738,Boston Celtics,708,Kevin Garnett,C,C,01-05-2013,21200489,ATL,BOS,Missed Shot,False,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,6.35,1,4,2,18
120017,2013,2012-13,1610612737,Atlanta Hawks,2746,Josh Smith,F,PF,01-05-2013,21200489,ATL,BOS,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.1,7.75,23,4,2,32
120021,2013,2012-13,1610612738,Boston Celtics,200765,Rajon Rondo,G,PG,01-05-2013,21200489,ATL,BOS,Missed Shot,False,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,5.85,1,4,2,46
120054,2013,2012-13,1610612738,Boston Celtics,200765,Rajon Rondo,G,PG,01-05-2013,21200489,ATL,BOS,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,5.25,0,4,3,11
120063,2013,2012-13,1610612738,Boston Celtics,101138,Brandon Bass,F,PF,01-05-2013,21200489,ATL,BOS,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-17.1,9.65,17,4,3,31
