,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
126687,2013,2012-13,1610612737,Atlanta Hawks,203118,Mike Scott,F,PF,12-31-2012,21200455,HOU,ATL,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,6.45,1,4,0,39
126691,2013,2012-13,1610612745,Houston Rockets,202700,Donatas Motiejunas,F,PF,12-31-2012,21200455,HOU,ATL,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.4,6.45,23,4,1,0
126699,2013,2012-13,1610612737,Atlanta Hawks,2052,DeShawn Stevenson,G,SG,12-31-2012,21200455,HOU,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.7,23.15,25,4,1,10
126703,2013,2012-13,1610612745,Houston Rockets,202700,Donatas Motiejunas,F,PF,12-31-2012,21200455,HOU,ATL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.3,5.35,1,4,1,18
126705,2013,2012-13,1610612737,Atlanta Hawks,2052,DeShawn Stevenson,G,SG,12-31-2012,21200455,HOU,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.5,13.05,7,4,1,29
126708,2013,2012-13,1610612745,Houston Rockets,201600,Omer Asik,C,C,12-31-2012,21200455,HOU,ATL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.4,5.25,2,4,1,45
126710,2013,2012-13,1610612737,Atlanta Hawks,203118,Mike Scott,F,PF,12-31-2012,21200455,HOU,ATL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-20.4,10.75,21,4,2,0
126717,2013,2012-13,1610612737,Atlanta Hawks,203118,Mike Scott,F,PF,12-31-2012,21200455,HOU,ATL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.8,6.15,2,4,2,15
126720,2013,2012-13,1610612745,Houston Rockets,202391,Jeremy Lin,G,PG,12-31-2012,21200455,HOU,ATL,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,24.2,6.95,24,4,2,40
126724,2013,2012-13,1610612737,Atlanta Hawks,203098,John Jenkins,G,SG,12-31-2012,21200455,HOU,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-20.3,21.15,25,4,2,56
