,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
9360,2013,2012-13,1610612738,Boston Celtics,201584,Courtney Lee,G,SG,04-10-2013,21201168,BOS,BKN,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.4,5.55,23,4,0,7
9362,2013,2012-13,1610612751,Brooklyn Nets,203116,Tyshawn Taylor,G,PG,04-10-2013,21201168,BOS,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,4.1,13.45,9,4,0,15
9365,2013,2012-13,1610612738,Boston Celtics,101183,Shavlik Randolph,F,PF,04-10-2013,21201168,BOS,BKN,Made Shot,True,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,6.35,1,4,0,37
9370,2013,2012-13,1610612738,Boston Celtics,201944,Terrence Williams,F,SF,04-10-2013,21201168,BOS,BKN,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.9,10.75,5,4,1,3
9374,2013,2012-13,1610612751,Brooklyn Nets,101154,Andray Blatche,C,C,04-10-2013,21201168,BOS,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.7,25.05,19,4,1,25
9375,2013,2012-13,1610612738,Boston Celtics,201591,DJ White,F,PF,04-10-2013,21201168,BOS,BKN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-12.5,18.15,17,4,1,42
9394,2013,2012-13,1610612751,Brooklyn Nets,203141,Mirza Teletovic,F,PF,04-10-2013,21201168,BOS,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-10.6,27.75,24,4,2,6
9399,2013,2012-13,1610612751,Brooklyn Nets,203126,Kris Joseph,F,SF,04-10-2013,21201168,BOS,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.4,21.65,19,4,2,36
9438,2013,2012-13,1610612738,Boston Celtics,202340,Avery Bradley,G,PG,04-10-2013,21201168,BOS,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.1,24.15,21,4,2,54
9456,2013,2012-13,1610612738,Boston Celtics,1891,Jason Terry,G,SG,04-10-2013,21201168,BOS,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-13.8,7.85,14,4,3,18
9459,2013,2012-13,1610612751,Brooklyn Nets,201572,Brook Lopez,C,C,04-10-2013,21201168,BOS,BKN,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,5.35,0,4,3,29
9466,2013,2012-13,1610612738,Boston Celtics,1718,Paul Pierce,F,SF,04-10-2013,21201168,BOS,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-10.8,20.95,19,4,3,49
9470,2013,2012-13,1610612751,Brooklyn Nets,2207,Joe Johnson,G,SG,04-10-2013,21201168,BOS,BKN,Made Shot,True,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,3.7,16.75,12,4,4,5
9479,2013,2012-13,1610612738,Boston Celtics,1891,Jason Terry,G,SG,04-10-2013,21201168,BOS,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-13.8,8.65,14,4,4,24
9483,2013,2012-13,1610612751,Brooklyn Nets,101114,Deron Williams,G,PG,04-10-2013,21201168,BOS,BKN,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,6.35,2,4,4,37
9491,2013,2012-13,1610612738,Boston Celtics,1718,Paul Pierce,F,SF,04-10-2013,21201168,BOS,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,21.8,18.65,25,4,4,52
9507,2013,2012-13,1610612751,Brooklyn Nets,101114,Deron Williams,G,PG,04-10-2013,21201168,BOS,BKN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-7.0,24.25,20,4,5,17
9514,2013,2012-13,1610612751,Brooklyn Nets,101114,Deron Williams,G,PG,04-10-2013,21201168,BOS,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-1.7,12.35,7,4,5,46
9519,2013,2012-13,1610612738,Boston Celtics,202348,Jordan Crawford,G,SG,04-10-2013,21201168,BOS,BKN,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,7.15,1,4,6,9
9527,2013,2012-13,1610612738,Boston Celtics,201145,Jeff Green,F,PF,04-10-2013,21201168,BOS,BKN,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,6.65,1,4,6,11
9534,2013,2012-13,1610612751,Brooklyn Nets,711,Jerry Stackhouse,F,SF,04-10-2013,21201168,BOS,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-7.2,20.15,16,4,6,16
9576,2013,2012-13,1610612738,Boston Celtics,201145,Jeff Green,F,PF,04-10-2013,21201168,BOS,BKN,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.3,7.25,2,4,7,15
9583,2013,2012-13,1610612751,Brooklyn Nets,101154,Andray Blatche,C,C,04-10-2013,21201168,BOS,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,13.4,16.45,17,4,7,25
9594,2013,2012-13,1610612751,Brooklyn Nets,2207,Joe Johnson,G,SG,04-10-2013,21201168,BOS,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.1,23.15,24,4,7,31
9599,2013,2012-13,1610612738,Boston Celtics,708,Kevin Garnett,C,C,04-10-2013,21201168,BOS,BKN,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-6.2,13.05,9,4,7,42
9631,2013,2012-13,1610612738,Boston Celtics,201145,Jeff Green,F,PF,04-10-2013,21201168,BOS,BKN,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,6.95,2,4,7,58
9639,2013,2012-13,1610612738,Boston Celtics,201145,Jeff Green,F,PF,04-10-2013,21201168,BOS,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.0,7.15,4,4,8,1
9642,2013,2012-13,1610612751,Brooklyn Nets,101154,Andray Blatche,C,C,04-10-2013,21201168,BOS,BKN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-3.7,24.95,20,4,8,23
9650,2013,2012-13,1610612738,Boston Celtics,708,Kevin Garnett,C,C,04-10-2013,21201168,BOS,BKN,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-5.4,20.35,16,4,8,37
9677,2013,2012-13,1610612751,Brooklyn Nets,2207,Joe Johnson,G,SG,04-10-2013,21201168,BOS,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-15.9,5.85,15,4,8,53
9693,2013,2012-13,1610612738,Boston Celtics,708,Kevin Garnett,C,C,04-10-2013,21201168,BOS,BKN,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.4,6.15,2,4,9,13
9721,2013,2012-13,1610612751,Brooklyn Nets,711,Jerry Stackhouse,F,SF,04-10-2013,21201168,BOS,BKN,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,3.5,17.95,13,4,9,45
