,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
102445,2013,2012-13,1610612738,Boston Celtics,201584,Courtney Lee,G,SG,01-20-2013,21200603,DET,BOS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,5.55,0,4,0,21
102446,2013,2012-13,1610612738,Boston Celtics,203096,Jared Sullinger,F,PF,01-20-2013,21200603,DET,BOS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.65,0,4,0,42
102448,2013,2012-13,1610612765,Detroit Pistons,202328,Greg Monroe,C,C,01-20-2013,21200603,DET,BOS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.95,0,4,0,48
102449,2013,2012-13,1610612765,Detroit Pistons,2419,Tayshaun Prince,F,SF,01-20-2013,21200603,DET,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,12.3,18.45,18,4,0,50
102451,2013,2012-13,1610612738,Boston Celtics,2571,Leandro Barbosa,G,PG,01-20-2013,21200603,DET,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-13.3,21.75,21,4,1,14
102452,2013,2012-13,1610612765,Detroit Pistons,2419,Tayshaun Prince,F,SF,01-20-2013,21200603,DET,BOS,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.25,0,4,1,30
102455,2013,2012-13,1610612738,Boston Celtics,201584,Courtney Lee,G,SG,01-20-2013,21200603,DET,BOS,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.9,8.95,23,4,1,36
102456,2013,2012-13,1610612738,Boston Celtics,200765,Rajon Rondo,G,PG,01-20-2013,21200603,DET,BOS,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,5.25,0,4,2,4
102457,2013,2012-13,1610612765,Detroit Pistons,202713,Kyle Singler,F,SF,01-20-2013,21200603,DET,BOS,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.5,6.95,23,4,2,14
102458,2013,2012-13,1610612738,Boston Celtics,200765,Rajon Rondo,G,PG,01-20-2013,21200603,DET,BOS,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.85,0,4,2,29
