,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
51960,2013,2012-13,1610612738,Boston Celtics,201145,Jeff Green,F,PF,03-06-2013,21200901,IND,BOS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.25,0,4,0,0
51970,2013,2012-13,1610612754,Indiana Pacers,201579,Roy Hibbert,C,C,03-06-2013,21200901,IND,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-7.3,23.35,19,4,0,24
51978,2013,2012-13,1610612738,Boston Celtics,1718,Paul Pierce,F,SF,03-06-2013,21200901,IND,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-6.2,21.45,17,4,0,48
51984,2013,2012-13,1610612754,Indiana Pacers,2561,David West,F,PF,03-06-2013,21200901,IND,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.3,18.45,17,4,1,7
51993,2013,2012-13,1610612738,Boston Celtics,202340,Avery Bradley,G,PG,03-06-2013,21200901,IND,BOS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.3,5.35,1,4,1,21
52005,2013,2012-13,1610612754,Indiana Pacers,202331,Paul George,F,SF,03-06-2013,21200901,IND,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.2,14.15,8,4,1,39
52013,2013,2012-13,1610612738,Boston Celtics,201145,Jeff Green,F,PF,03-06-2013,21200901,IND,BOS,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.9,5.25,2,4,1,56
52023,2013,2012-13,1610612738,Boston Celtics,1718,Paul Pierce,F,SF,03-06-2013,21200901,IND,BOS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,8.7,29.45,25,4,2,33
52032,2013,2012-13,1610612738,Boston Celtics,1718,Paul Pierce,F,SF,03-06-2013,21200901,IND,BOS,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,3.15,2,4,2,40
52040,2013,2012-13,1610612738,Boston Celtics,202340,Avery Bradley,G,PG,03-06-2013,21200901,IND,BOS,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,4.25,1,4,2,42
52051,2013,2012-13,1610612738,Boston Celtics,202340,Avery Bradley,G,PG,03-06-2013,21200901,IND,BOS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.1,6.15,2,4,3,0
52063,2013,2012-13,1610612754,Indiana Pacers,2561,David West,F,PF,03-06-2013,21200901,IND,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,10.1,8.25,10,4,3,5
52078,2013,2012-13,1610612754,Indiana Pacers,201588,George Hill,G,PG,03-06-2013,21200901,IND,BOS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.2,33.45,28,4,3,28
52087,2013,2012-13,1610612754,Indiana Pacers,202362,Lance Stephenson,G,SG,03-06-2013,21200901,IND,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,9.2,7.85,9,4,3,35
52101,2013,2012-13,1610612754,Indiana Pacers,202331,Paul George,F,SF,03-06-2013,21200901,IND,BOS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-4.5,33.15,28,4,3,50
52117,2013,2012-13,1610612738,Boston Celtics,1891,Jason Terry,G,SG,03-06-2013,21200901,IND,BOS,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.0,9.15,5,4,4,15
