,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
155377,2013,2012-13,1610612747,Los Angeles Lakers,201975,Jodie Meeks,G,SG,12-07-2012,21200280,OKC,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,5.2,29.05,24,4,0,11
155381,2013,2012-13,1610612747,Los Angeles Lakers,977,Kobe Bryant,G,SG,12-07-2012,21200280,OKC,LAL,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.9,5.35,22,4,0,15
155389,2013,2012-13,1610612747,Los Angeles Lakers,2768,Chris Duhon,G,PG,12-07-2012,21200280,OKC,LAL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.5,27.25,25,4,0,20
155391,2013,2012-13,1610612760,Oklahoma City Thunder,201566,Russell Westbrook,G,PG,12-07-2012,21200280,OKC,LAL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,6.4,20.55,16,4,0,32
155392,2013,2012-13,1610612747,Los Angeles Lakers,201975,Jodie Meeks,G,SG,12-07-2012,21200280,OKC,LAL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,5.55,1,4,0,53
155394,2013,2012-13,1610612760,Oklahoma City Thunder,201142,Kevin Durant,F,SF,12-07-2012,21200280,OKC,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.4,29.35,24,4,1,2
155395,2013,2012-13,1610612747,Los Angeles Lakers,201975,Jodie Meeks,G,SG,12-07-2012,21200280,OKC,LAL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.3,5.05,1,4,1,20
155401,2013,2012-13,1610612747,Los Angeles Lakers,977,Kobe Bryant,G,SG,12-07-2012,21200280,OKC,LAL,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,7.3,17.35,14,4,1,48
155407,2013,2012-13,1610612747,Los Angeles Lakers,2768,Chris Duhon,G,PG,12-07-2012,21200280,OKC,LAL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-9.9,27.15,24,4,2,19
155409,2013,2012-13,1610612760,Oklahoma City Thunder,201142,Kevin Durant,F,SF,12-07-2012,21200280,OKC,LAL,Made Shot,True,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.7,6.35,9,4,2,40
155410,2013,2012-13,1610612760,Oklahoma City Thunder,201142,Kevin Durant,F,SF,12-07-2012,21200280,OKC,LAL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-0.2,20.55,15,4,2,44
155423,2013,2012-13,1610612747,Los Angeles Lakers,201975,Jodie Meeks,G,SG,12-07-2012,21200280,OKC,LAL,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.0,5.25,2,4,2,56
155426,2013,2012-13,1610612747,Los Angeles Lakers,977,Kobe Bryant,G,SG,12-07-2012,21200280,OKC,LAL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,6.0,10.45,7,4,2,58
155429,2013,2012-13,1610612747,Los Angeles Lakers,977,Kobe Bryant,G,SG,12-07-2012,21200280,OKC,LAL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-15.2,13.25,17,4,3,11
155436,2013,2012-13,1610612747,Los Angeles Lakers,2730,Dwight Howard,C,C,12-07-2012,21200280,OKC,LAL,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,9.2,6.35,9,4,3,52
155438,2013,2012-13,1610612760,Oklahoma City Thunder,201586,Serge Ibaka,F,PF,12-07-2012,21200280,OKC,LAL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-17.4,5.55,17,4,4,16
155441,2013,2012-13,1610612747,Los Angeles Lakers,977,Kobe Bryant,G,SG,12-07-2012,21200280,OKC,LAL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,4.75,1,4,4,38
155445,2013,2012-13,1610612747,Los Angeles Lakers,977,Kobe Bryant,G,SG,12-07-2012,21200280,OKC,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.4,25.05,24,4,5,14
155448,2013,2012-13,1610612760,Oklahoma City Thunder,200757,Thabo Sefolosha,G,SG,12-07-2012,21200280,OKC,LAL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-20.1,5.65,20,4,5,21
155450,2013,2012-13,1610612747,Los Angeles Lakers,2768,Chris Duhon,G,PG,12-07-2012,21200280,OKC,LAL,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.6,8.35,4,4,5,43
155451,2013,2012-13,1610612760,Oklahoma City Thunder,201566,Russell Westbrook,G,PG,12-07-2012,21200280,OKC,LAL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,3.7,22.45,17,4,6,7
155462,2013,2012-13,1610612747,Los Angeles Lakers,2730,Dwight Howard,C,C,12-07-2012,21200280,OKC,LAL,Made Shot,True,Turnaround Bank shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-7.5,7.75,7,4,6,28
155466,2013,2012-13,1610612760,Oklahoma City Thunder,201142,Kevin Durant,F,SF,12-07-2012,21200280,OKC,LAL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-11.4,13.45,14,4,6,41
155469,2013,2012-13,1610612747,Los Angeles Lakers,977,Kobe Bryant,G,SG,12-07-2012,21200280,OKC,LAL,Made Shot,True,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,2.6,8.55,4,4,7,3
155488,2013,2012-13,1610612760,Oklahoma City Thunder,2555,Nick Collison,C,C,12-07-2012,21200280,OKC,LAL,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,5.05,0,4,7,42
155505,2013,2012-13,1610612747,Los Angeles Lakers,202365,Devin Ebanks,F,SF,12-07-2012,21200280,OKC,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.7,2.05,22,4,8,8
155530,2013,2012-13,1610612760,Oklahoma City Thunder,201566,Russell Westbrook,G,PG,12-07-2012,21200280,OKC,LAL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,5.05,1,4,8,54
155534,2013,2012-13,1610612747,Los Angeles Lakers,2730,Dwight Howard,C,C,12-07-2012,21200280,OKC,LAL,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,6.7,6.65,6,4,9,9
155588,2013,2012-13,1610612747,Los Angeles Lakers,201941,Jordan Hill,F,PF,12-07-2012,21200280,OKC,LAL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,5.55,1,4,9,53
155593,2013,2012-13,1610612760,Oklahoma City Thunder,2555,Nick Collison,C,C,12-07-2012,21200280,OKC,LAL,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,6.45,1,4,10,8
155598,2013,2012-13,1610612760,Oklahoma City Thunder,201566,Russell Westbrook,G,PG,12-07-2012,21200280,OKC,LAL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.6,11.35,6,4,10,9
155610,2013,2012-13,1610612760,Oklahoma City Thunder,200757,Thabo Sefolosha,G,SG,12-07-2012,21200280,OKC,LAL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,5.65,0,4,10,18
155623,2013,2012-13,1610612760,Oklahoma City Thunder,201142,Kevin Durant,F,SF,12-07-2012,21200280,OKC,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.9,25.85,24,4,10,29
155672,2013,2012-13,1610612760,Oklahoma City Thunder,2555,Nick Collison,C,C,12-07-2012,21200280,OKC,LAL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,4.95,1,4,10,59
155699,2013,2012-13,1610612747,Los Angeles Lakers,977,Kobe Bryant,G,SG,12-07-2012,21200280,OKC,LAL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.2,28.75,23,4,11,24
155706,2013,2012-13,1610612760,Oklahoma City Thunder,2755,Kevin Martin,G,SG,12-07-2012,21200280,OKC,LAL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-10.6,22.55,20,4,11,42
155727,2013,2012-13,1610612760,Oklahoma City Thunder,201586,Serge Ibaka,F,PF,12-07-2012,21200280,OKC,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,5.85,23,3,0,0
155742,2013,2012-13,1610612747,Los Angeles Lakers,1712,Antawn Jamison,F,PF,12-07-2012,21200280,OKC,LAL,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.9,8.15,3,3,0,45
155770,2013,2012-13,1610612747,Los Angeles Lakers,1712,Antawn Jamison,F,PF,12-07-2012,21200280,OKC,LAL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.6,5.25,2,3,0,46
155779,2013,2012-13,1610612747,Los Angeles Lakers,2730,Dwight Howard,C,C,12-07-2012,21200280,OKC,LAL,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-1.3,9.45,4,3,0,49
155782,2013,2012-13,1610612760,Oklahoma City Thunder,2555,Nick Collison,C,C,12-07-2012,21200280,OKC,LAL,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,4.45,1,3,1,6
155785,2013,2012-13,1610612747,Los Angeles Lakers,2730,Dwight Howard,C,C,12-07-2012,21200280,OKC,LAL,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,3,1,23
155796,2013,2012-13,1610612760,Oklahoma City Thunder,2755,Kevin Martin,G,SG,12-07-2012,21200280,OKC,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.8,19.55,24,3,1,35
