,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
119138,2013,2012-13,1610612748,Miami Heat,2617,Udonis Haslem,F,PF,01-06-2013,21200500,MIA,WAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-1.3,20.15,14,4,0,1
119141,2013,2012-13,1610612764,Washington Wizards,202066,Garrett Temple,G,SG,01-06-2013,21200500,MIA,WAS,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-6.2,10.45,8,4,0,24
119147,2013,2012-13,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,01-06-2013,21200500,MIA,WAS,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.6,5.85,0,4,0,36
119148,2013,2012-13,1610612748,Miami Heat,951,Ray Allen,G,SG,01-06-2013,21200500,MIA,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.4,6.15,23,4,0,46
119150,2013,2012-13,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,01-06-2013,21200500,MIA,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.0,21.15,24,4,1,8
119151,2013,2012-13,1610612748,Miami Heat,202708,Norris Cole,G,PG,01-06-2013,21200500,MIA,WAS,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,5.65,0,4,1,20
119152,2013,2012-13,1610612764,Washington Wizards,202714,Shelvin Mack,G,PG-SG,01-06-2013,21200500,MIA,WAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,14.9,5.95,14,4,1,38
119158,2013,2012-13,1610612748,Miami Heat,2544,LeBron James,F,PF,01-06-2013,21200500,MIA,WAS,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,6.15,0,4,1,50
119161,2013,2012-13,1610612748,Miami Heat,2548,Dwyane Wade,G,SG,01-06-2013,21200500,MIA,WAS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,5.85,1,4,2,26
119165,2013,2012-13,1610612764,Washington Wizards,101110,Martell Webster,F,SF,01-06-2013,21200500,MIA,WAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.7,22.05,24,4,2,37
